;Code;;Gender;Age;Mobile;Trial_number;Angle;distance_ratio;xtarget;ytarget;sd;nsamples;color_nube1;color_nube2;color_nube3;color_buttons1;color_buttons2;color_buttons3;correct_color;correct_cloud;Nalternativas;RT_type1;Response;Correct;Confidence;RT_Confidence;Nsujeto;binary_correct
1;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;1;601,396,094,148,694;3;683;256,666,666,666,667;60;375;2;1;0;0;1;2;1;2;2;6276;1;TRUE;1;1345;1;1
2;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;2;561,355,244,939,802;2,5;727;282;60;375;2;1;0;0;1;2;2;1;2;5010;2;TRUE;0,498516320474777;1380;1;1
3;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;3;38,736,522,797,032;2,1;706,571,428,571,429;270,238,095,238,095;60;375;2;1;0;0;1;2;1;2;2;5033;1;TRUE;0,732937685459941;2221;1;1
4;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;4;0,414520288777577;3;683;256,666,666,666,667;60;375;1;2;0;0;1;2;2;2;3;3099;2;TRUE;0,808605341246291;1669;1;1
5;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;5;0,811383392402344;2,5;694;263;60;375;1;0;2;0;1;2;0;2;3;4444;0;TRUE;0,799703264094956;1197;1;1
6;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;6;22,855,107,755,683;2,5;694;263;60;375;0;2;1;0;1;2;2;2;3;4924;2;TRUE;0,597922848664688;2750;1;1
7;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;7;127,277,181,835,338;2,5;694;263;60;375;2;0;1;0;1;2;0;2;3;3513;0;TRUE;0,620178041543027;3886;1;1
8;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;8;0,627365805863531;2,1;714,428,571,428,571;274,761,904,761,905;60;375;2;0;1;0;1;2;2;1;3;3457;0;FALSE;0,652818991097923;1158;1;0
9;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;9;317,851,188,688,192;2,5;727;282;60;375;1;0;2;0;1;2;1;1;2;2076;1;TRUE;0,900593471810089;2758;1;1
10;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;10;0,304738961022234;2,1;714,428,571,428,571;274,761,904,761,905;60;375;2;1;0;0;1;2;2;1;3;3238;2;TRUE;0,835311572700297;1534;1;1
11;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;11;354,260,651,106,486;2,1;706,571,428,571,429;270,238,095,238,095;60;375;0;1;2;0;1;2;1;2;3;3650;1;TRUE;0,710682492581602;1052;1;1
12;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;12;0,998873341143756;2,1;714,428,571,428,571;274,761,904,761,905;60;375;2;1;0;0;1;2;2;1;2;1966;2;TRUE;0,70919881305638;1229;1;1
13;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;13;615,956,554,222,283;2,5;727;282;60;375;0;2;1;0;1;2;0;1;2;2134;0;TRUE;0,997032640949555;1645;1;1
14;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;14;334,850,896,459,622;2,5;694;263;60;375;2;1;0;0;1;2;1;2;3;5839;2;FALSE;0,307121661721068;2217;1;0
15;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;15;598,189,672,369,332;3;738;288,333,333,333,333;60;375;2;0;1;0;1;2;2;1;2;1982;2;TRUE;0,905044510385757;4172;1;1
16;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;16;443,512,860,639,945;3;738;288,333,333,333,333;60;375;1;0;2;0;1;2;1;1;3;3368;1;TRUE;0,94213649851632;2174;1;1
17;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;17;316,855,459,858,821;3;683;256,666,666,666,667;60;375;2;1;0;0;1;2;1;2;3;2753;1;TRUE;0,939169139465875;1982;1;1
18;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;18;628,034,707,740,125;2,1;714,428,571,428,571;274,761,904,761,905;60;375;2;0;1;0;1;2;2;1;2;2613;2;TRUE;0,359050445103858;861;1;1
19;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;19;230,826,023,321,703;2,1;714,428,571,428,571;274,761,904,761,905;60;375;0;2;1;0;1;2;0;1;3;8127;0;TRUE;0,197329376854599;1789;1;1
20;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;20;438,381,221,077,257;3;738;288,333,333,333,333;60;375;2;0;1;0;1;2;2;1;2;5756;2;TRUE;0,836795252225519;1653;1;1
21;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;21;493,789,712,650,447;3;738;288,333,333,333,333;60;375;1;2;0;0;1;2;1;1;3;2008;1;TRUE;0,948071216617211;2551;1;1
22;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;22;413,652,160,005,633;3;738;288,333,333,333,333;60;375;1;2;0;0;1;2;1;1;2;1695;1;TRUE;0,910979228486647;1317;1;1
23;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;23;0,786302015288914;2,1;714,428,571,428,571;274,761,904,761,905;60;375;0;1;2;0;1;2;0;1;3;3473;1;FALSE;0,813056379821958;1246;1;0
24;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;24;557,970,397,285,481;2,5;727;282;60;375;1;0;2;0;1;2;1;1;2;1654;1;TRUE;0,902077151335312;1774;1;1
25;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;25;0,452908513214977;2,1;714,428,571,428,571;274,761,904,761,905;60;375;1;2;0;0;1;2;1;1;2;5078;2;FALSE;0,305637982195846;2095;1;0
26;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;26;390,499,698,897,712;3;683;256,666,666,666,667;60;375;2;0;1;0;1;2;0;2;2;2735;0;TRUE;0,632047477744807;1038;1;1
27;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;27;35,561,712,693,703;2,1;714,428,571,428,571;274,761,904,761,905;60;375;2;0;1;0;1;2;2;1;3;1865;0;FALSE;0,648367952522255;782;1;0
28;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;28;621,794,908,098,579;2,1;714,428,571,428,571;274,761,904,761,905;60;375;1;0;2;0;1;2;1;1;3;1745;1;TRUE;0,84272997032641;1054;1;1
29;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;29;430,402,390,769,886;2,1;706,571,428,571,429;270,238,095,238,095;60;375;2;0;1;0;1;2;0;2;3;2712;2;FALSE;0,669139465875371;2125;1;0
30;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;30;324,810,902,944,976;2,1;714,428,571,428,571;274,761,904,761,905;60;375;1;2;0;0;1;2;1;1;3;2835;1;TRUE;0,700296735905044;806;1;1
31;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;31;408,608,163,273,272;2,5;727;282;60;375;2;1;0;0;1;2;2;1;2;1749;2;TRUE;0,676557863501484;1087;1;1
32;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;32;523,606,115,322,269;2,5;727;282;60;375;1;0;2;0;1;2;1;1;3;1792;1;TRUE;0,700296735905044;1030;1;1
33;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;33;217,666,569,537,637;3;683;256,666,666,666,667;60;375;2;1;0;0;1;2;1;2;2;10045;1;TRUE;0,79673590504451;1605;1;1
34;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;34;413,049,221,508,234;2,5;727;282;60;375;0;1;2;0;1;2;0;1;3;2393;1;FALSE;0,802670623145401;900;1;0
35;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;35;0,268607704644419;2,1;714,428,571,428,571;274,761,904,761,905;60;375;1;0;2;0;1;2;1;1;3;1706;1;TRUE;0,870919881305638;1326;1;1
36;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;36;578,750,310,614,518;3;683;256,666,666,666,667;60;375;0;1;2;0;1;2;1;2;3;1576;1;TRUE;0,906528189910979;1278;1;1
37;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;37;0,98186433563189;3;683;256,666,666,666,667;60;375;2;0;1;0;1;2;0;2;2;1734;0;TRUE;0,835311572700297;765;1;1
38;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;38;0,493439204713312;3;738;288,333,333,333,333;60;375;2;1;0;0;1;2;2;1;2;1814;2;TRUE;0,747774480712166;1470;1;1
39;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;39;622,624,824,485,077;2,5;727;282;60;375;0;2;1;0;1;2;0;1;3;2892;0;TRUE;0,327893175074184;1709;1;1
40;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;40;351,867,690,220,846;3;738;288,333,333,333,333;60;375;1;2;0;0;1;2;1;1;2;1845;1;TRUE;0,945103857566766;1702;1;1
41;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;41;322,260,716,897,301;2,5;694;263;60;375;2;1;0;0;1;2;1;2;2;2348;1;TRUE;0,775964391691395;1582;1;1
42;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;42;472,393,343,053,175;2,5;694;263;60;375;1;0;2;0;1;2;0;2;2;11165;0;TRUE;0,807121661721068;1806;1;1
43;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;43;295,995,226,177,072;2,5;727;282;60;375;0;2;1;0;1;2;0;1;3;2238;0;TRUE;0,79673590504451;901;1;1
44;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;44;487,409,642,769,313;3;738;288,333,333,333,333;60;375;1;0;2;0;1;2;1;1;2;1717;1;TRUE;0,804154302670623;854;1;1
45;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;45;360,348,418,078,703;2,1;714,428,571,428,571;274,761,904,761,905;60;375;1;0;2;0;1;2;1;1;3;3178;1;TRUE;0,114243323442137;1038;1;1
46;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;46;11,354,238,793,493;2,1;706,571,428,571,429;270,238,095,238,095;60;375;0;1;2;0;1;2;1;2;2;3021;1;TRUE;0,77299703264095;3406;1;1
47;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;47;137,365,387,443,476;2,1;706,571,428,571,429;270,238,095,238,095;60;375;0;1;2;0;1;2;1;2;3;2083;1;TRUE;0,789317507418398;989;1;1
48;edd6dd0b1f1d647652335f32a3aada1b;;f;25;0;48;527,863,902,997,598;2,5;694;263;60;375;0;1;2;0;1;2;1;2;3;1665;1;TRUE;0,767062314540059;1085;1;1
