"Code","Gender","Age","Mobile","Trial_number","Angle","distance_ratio","xtarget","ytarget","sd","nsamples","color_nube1","color_nube2","color_nube3","color_buttons1","color_buttons2","color_buttons3","correct_color","correct_cloud","Nalternativas","RT_type1","Response","Correct","Confidence","RT_Confidence","Nsujeto","binary_correct"
"69098e4a89a3148bf3de54805dbd9744","f",31,0,2,"0,830786207104017",2.5,"1004","412",60,375,2,1,0,0,1,2,2,1,2,3468,1,FALSE,"0.513684211",1824,1,0
"69098e4a89a3148bf3de54805dbd9744","f",31,0,3,"536,635,251,208,445",3,"960","386,666,666,666,667",60,375,1,0,2,0,1,2,0,2,2,1723,0,TRUE,"0.989473684",1091,1,1
"69098e4a89a3148bf3de54805dbd9744","f",31,0,4,"621,564,110,334,485",2.1,"983,571,428,571,429","400,238,095,238,095",60,375,2,0,1,0,1,2,0,2,2,2706,2,FALSE,"0.496842105",2738,1,0
"69098e4a89a3148bf3de54805dbd9744","f",31,0,5,"361,915,002,314,567",2.5,"971","393",60,375,2,0,1,0,1,2,0,2,3,4572,0,TRUE,"0.64",1654,1,1
"69098e4a89a3148bf3de54805dbd9744","f",31,0,6,"51,154,171,335,334",3,"1015","418,333,333,333,333",60,375,0,1,2,0,1,2,0,1,2,1894,0,TRUE,"0.788421053",2747,1,1
"69098e4a89a3148bf3de54805dbd9744","f",31,0,7,"327,333,381,454,094",3,"960","386,666,666,666,667",60,375,1,2,0,0,1,2,2,2,2,2212,2,TRUE,"0.633684211",1550,1,1
"69098e4a89a3148bf3de54805dbd9744","f",31,0,8,"28,647,093,430,726",3,"960","386,666,666,666,667",60,375,2,1,0,0,1,2,1,2,3,2283,1,TRUE,"0.708421053",2162,1,1
"69098e4a89a3148bf3de54805dbd9744","f",31,0,9,"112,379,015,445,494",2.1,"983,571,428,571,429","400,238,095,238,095",60,375,0,2,1,0,1,2,2,2,3,2324,0,FALSE,"0.965263158",2272,1,0
"69098e4a89a3148bf3de54805dbd9744","f",31,0,10,"296,456,138,943,914",2.1,"991,428,571,428,571","404,761,904,761,905",60,375,1,0,2,0,1,2,1,1,3,2258,0,FALSE,"0.947368421",2097,1,0
"69098e4a89a3148bf3de54805dbd9744","f",31,0,11,"329,544,553,148,308",2.5,"971","393",60,375,1,2,0,0,1,2,2,2,3,5964,1,FALSE,"0.858947368",1881,1,0
