"Code","Gender","Age","Mobile","Trial_number","Angle","Step_Angle","Area1","Area2","Area3","n3SquareOrCircle","BiggerCircleOrSquare","PosBig","StimVal","StimVal3","Nalternativas","RT_type1","Response","Correct","Confidence","RT_Confidence","Nsujeto","binary_correct","squareResp","circleResp"
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,2,1.20540538246632,-2.0943951023932,9601.76202784825,7681.4096222786,4608.84577336716,1,2,2,0.8,0.6,3,2581,2,TRUE,0.921364985163205,3058,1,1,1,0
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,3,2.87636111772903,-2.0943951023932,5430.52890212488,3801.37023148742,1520.54809259497,0,1,1,0.7,0,2,1757,1,TRUE,0.961424332344214,2863,1,1,0,1
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,4,2.71549969355966,2.0943951023932,12653.1590589707,8857.21134127949,5314.32680476769,2,1,1,0.7,0.6,3,1625,1,TRUE,1,1130,1,1,0,1
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,5,2.83235648943429,-2.0943951023932,10119.9155865363,9107.92402788266,4553.96201394133,0,1,1,0.9,0,2,2041,1,TRUE,0.919881305637982,3829,1,1,0,1
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,6,0.870182248982082,-2.0943951023932,10197.9431143676,9688.04595864926,968.804595864926,2,1,1,0.95,0.1,3,14106,1,TRUE,0.565281899109792,4298,1,1,0,1
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,7,2.06579185134915,2.0943951023932,5739.57230675684,5165.61507608116,3099.36904564869,0,2,2,0.9,0,2,8925,2,TRUE,0.474777448071217,1747,1,1,1,0
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,8,0.000541382335893832,2.0943951023932,11471.8219296436,10668.7943945685,2133.7588789137,0,1,1,0.93,0,2,1875,1,TRUE,0.698813056379822,9846,1,1,0,1
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,9,0.66736850115104,-2.0943951023932,8022.31956366862,6417.85565093489,1283.57113018698,2,1,1,0.8,0.2,3,2784,1,TRUE,0.804154302670623,3447,1,1,0,1
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,10,3.11058261972288,2.0943951023932,9483.20861871051,6638.24603309736,1991.47380992921,2,2,2,0.7,0.3,3,2240,2,TRUE,0.971810089020771,3564,1,1,1,0
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,11,2.40589702124157,-2.0943951023932,10938.9308981278,10391.9843532214,5195.9921766107,2,2,2,0.95,0.5,3,5407,1,FALSE,0.799703264094956,8047,1,0,0,1
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,12,0.0144947631398324,-2.0943951023932,4903.10062280658,3922.48049824527,1961.24024912263,0,1,1,0.8,0,2,2640,1,TRUE,0.485163204747774,10129,1,1,0,1
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,13,0.562285838681318,-2.0943951023932,6877.42745539086,5501.94196431269,1100.38839286254,0,2,2,0.8,0,2,2556,2,TRUE,0.695845697329377,3107,1,1,1,0
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,14,3.10944084783866,2.0943951023932,9478.50287122173,8530.65258409956,3412.26103363982,0,1,1,0.9,0,2,1841,1,TRUE,0.802670623145401,3714,1,1,0,1
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,15,4.79200120697547,-2.0943951023932,8033.7750446336,5623.64253124352,1124.7285062487,2,2,2,0.7,0.2,3,1902,2,TRUE,1,2045,1,1,1,0
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,16,3.06923910521441,-2.0943951023932,6019.88272793086,4815.90618234469,1926.36247293788,0,2,2,0.8,0,2,2453,2,TRUE,0.795252225519288,7002,1,1,1,0
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,17,1.0371899103926,2.0943951023932,9356.5942322643,7485.27538581144,2245.58261574343,2,1,1,0.8,0.3,3,1658,1,TRUE,0.799703264094956,7914,1,1,0,1
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,18,1.70177796666711,2.0943951023932,9810.06290038149,9123.35849735478,4561.67924867739,1,1,1,0.93,0.5,3,13306,1,TRUE,0.29673590504451,5463,1,1,0,1
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,19,0.546889288185894,2.0943951023932,4982.75505494582,4733.61730219852,2366.80865109926,0,1,1,0.95,0,2,4891,1,TRUE,0.201780415430267,5162,1,1,0,1
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,20,1.0735018758847,2.0943951023932,8015.19228917486,7454.12882893262,2981.65153157305,0,1,1,0.93,0,2,3475,2,FALSE,0,1478,1,0,1,0
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,21,5.06313216807278,2.0943951023932,7695.99217662721,7311.19256779585,1462.23851355917,2,1,1,0.95,0.2,3,2175,1,TRUE,0.5,2431,1,1,0,1
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,22,4.31591242974885,2.0943951023932,8906.05799492454,8460.75509517832,846.075509517832,0,1,1,0.95,0,2,4092,1,TRUE,0.396142433234421,4546,1,1,0,1
"41a7b3f9312c7ebd5aaf7a21adda70ac","f",22,0,23,3.77830241869207,2.0943951023932,6892.9267509808,4825.04872568656,1447.51461770597,0,2,2,0.7,0,2,1824,2,TRUE,1,1561,1,1,1,0
