snapshot,N,method,rank,n_mc_samples,batch,factorization_seconds,pom_seconds,total_seconds,peak_memory_mb,qpo_objective,qpo_efficiency_normalised,tv_error,l1_error,max_abs_error,spearman,qpo_efficiency,top10_recall,top10_jaccard,top25_recall,top25_jaccard,top50_recall,top50_jaccard,top100_recall,top100_jaccard,mean_tanimoto,median_tanimoto,p90_tanimoto,max_tanimoto,frac_pairs_gt_0.4,batch_oracle_mean,batch_oracle_max,batch_oracle_top10,mc_seed,cov_offdiag_fro,cov_offdiag_rel,corr_offdiag_rmse,corr_offdiag_max,corr_true_rmse,diag_max_abs_err,quot_fro,quot_rel,sobol_nodes,quad_self_tv,min_d,eig_seconds
qm9_gap_seed7_random,1000,reference-2nd-seed,,10000000.0,100,0.0,144.6788399219513,144.6788399219513,,0.6404268999999998,0.9999999999999993,0.0036366999999999997,0.007273399999999999,0.00010310000000000007,0.9992559230026773,1.0,1.0,1.0,0.96,0.9230769230769231,1.0,1.0,1.0,1.0,0.21466600638612882,0.20754716981132076,0.3333333333333333,0.6666666666666666,0.025454545454545455,0.30767999999999995,0.3508,0.33965,,,,,,,,,,,,,
qm9_gap_seed7_random,1000,qPO-MC-10000,,10000.0,100,0.0,0.2652420997619629,0.2652420997619629,168.074784,0.6383919999999998,0.9962346433902526,0.07786850000000001,0.15573700000000001,0.0018375000000000006,0.9305782864261081,0.9968225881829762,1.0,1.0,0.84,0.7241379310344828,0.9,0.8181818181818182,0.95,0.9047619047619048,0.21265485602736212,0.20634920634920634,0.32727272727272727,0.6666666666666666,0.02383838383838384,0.308215,0.3508,0.33947,0.0,,,,,,,,,,,,
qm9_gap_seed7_random,1000,qPO-MC-10000,,10000.0,100,0.0,0.25225305557250977,0.25225305557250977,168.074784,0.6371247,0.9938896453895982,0.08260500000000001,0.16521000000000002,0.0022624999999999998,0.9305457192044087,0.9948437518786301,1.0,1.0,0.88,0.7857142857142857,0.94,0.8867924528301887,0.94,0.8867924528301887,0.21488789989965862,0.20689655172413793,0.3333333333333333,0.6666666666666666,0.02727272727272727,0.3078890000000001,0.3508,0.33828,1.0,,,,,,,,,,,,
qm9_gap_seed7_random,1000,qPO-MC-10000,,10000.0,100,0.0,0.3277621269226074,0.3277621269226074,168.074784,0.6377961999999999,0.9951321816142012,0.08403179999999999,0.16806359999999998,0.003104100000000002,0.9348002533774575,0.995892271233454,0.9,0.8181818181818182,0.88,0.7857142857142857,0.9,0.8181818181818182,0.95,0.9047619047619048,0.21662086597935437,0.21052631578947367,0.3333333333333333,0.6666666666666666,0.02484848484848485,0.30759000000000003,0.3508,0.33786,2.0,,,,,,,,,,,,
qm9_gap_seed7_random,1000,qPO-MC-10000,,10000.0,100,0.0,0.23220086097717285,0.23220086097717285,168.074784,0.6378478,0.9952276616874546,0.0817019,0.1634038,0.0024417999999999974,0.927074625026764,0.9959728424899081,1.0,1.0,0.84,0.7241379310344828,0.96,0.9230769230769231,0.94,0.8867924528301887,0.21516289843872813,0.20864427860696516,0.3333333333333333,0.6666666666666666,0.02707070707070707,0.30801199999999995,0.3508,0.33901,3.0,,,,,,,,,,,,
qm9_gap_seed7_random,1000,qPO-MC-10000,,10000.0,100,0.0,0.22263813018798828,0.22263813018798828,168.074784,0.6373383,0.9942848884835301,0.0837035,0.167407,0.002231200000000001,0.9237753702367877,0.995177279405347,0.9,0.8181818181818182,0.88,0.7857142857142857,0.9,0.8181818181818182,0.95,0.9047619047619048,0.21583864358989502,0.20967741935483872,0.3333333333333333,0.6666666666666666,0.02707070707070707,0.30746300000000004,0.3508,0.33965,4.0,,,,,,,,,,,,
qm9_gap_seed7_random,1000,qPO-fast-eig,0.0,0.0,100,0.1041102409362793,0.015216827392578125,0.11932706832885742,5.198751,0.6401611,0.9995081665994049,0.022762114196874277,0.045524228393748555,0.001468057153282975,0.9992946703932186,0.9995849643417543,1.0,1.0,0.92,0.8518518518518519,0.96,0.9230769230769231,0.98,0.9607843137254902,0.21739242252371233,0.21153846153846154,0.3333333333333333,0.6666666666666666,0.026868686868686868,0.308566,0.3508,0.33965,,0.030109459682176345,1.0,0.03126531806903712,0.49781520504562826,0.03126531806903712,0.0,0.02833160636573386,0.6794013273271683,0.0,0.0,0.0006937845690713285,0.10406827926635742
qm9_gap_seed7_random,1000,qPO-factorMC,0.0,2000000.0,100,0.1041102409362793,25.809608936309814,25.913719177246094,480.083096,0.6403757,0.9999052600823531,0.023957499999999993,0.047914999999999985,0.001489299999999999,0.9977845515365572,0.9999200533269296,1.0,1.0,0.92,0.8518518518518519,0.96,0.9230769230769231,0.99,0.9801980198019802,0.2158710560793498,0.21052631578947367,0.3333333333333333,0.6666666666666666,0.025454545454545455,0.307999,0.3508,0.33965,,0.030109459682176345,1.0,0.03126531806903712,0.49781520504562826,0.03126531806903712,0.0,0.02833160636573386,0.6794013273271683,,,,
qm9_gap_seed7_random,1000,qPO-fast-eig,2.0,0.0,100,0.10422825813293457,6.9061808586120605,7.010409116744995,293.598626,0.6399324999999999,0.9990851676702247,0.030733641998630018,0.061467283997260036,0.002517087967138773,0.9991421084842347,0.9992280149381609,1.0,1.0,0.92,0.8518518518518519,0.96,0.9230769230769231,0.98,0.9607843137254902,0.21537125130826792,0.20833333333333334,0.3333333333333333,0.6666666666666666,0.026262626262626262,0.30802799999999997,0.3508,0.33965,,0.025842957565527663,0.8583002763356032,0.026729706773185404,0.49288959886834144,0.03126531806903712,2.168404344971009e-19,0.0255368571371018,0.6123823129102631,1024.0,5.047693952812994e-05,0.0006891449513970551,0.10406827926635742
qm9_gap_seed7_random,1000,qPO-factorMC,2.0,2000000.0,100,0.10422825813293457,36.013588190078735,36.11781644821167,480.083096,0.6397212999999999,0.9986943655099326,0.0317442,0.0634884,0.002518799999999998,0.997915019746821,0.9988982349117442,1.0,1.0,0.92,0.8518518518518519,0.94,0.8867924528301887,0.98,0.9607843137254902,0.2153270551156108,0.20766968880176429,0.3333333333333333,0.6666666666666666,0.026060606060606062,0.30793799999999993,0.3508,0.33965,,0.025842957565527663,0.8583002763356032,0.026729706773185404,0.49288959886834144,0.03126531806903712,2.168404344971009e-19,0.0255368571371018,0.6123823129102631,,,,
