;Code;Gender;Age;Mobile;Trial_number;Angle;Step_Angle;Area1;Area2;Area3;n3SquareOrCircle;BiggerCircleOrSquare;PosBig;StimVal;StimVal3;Nalternativas;RT_type1;Response;Correct;Confidence;RT_Confidence;Nsujeto;binary_correct
14;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;14;605,940,087,170,284;20,943,951,023,932;826,665,593,249,829;743,999,033,924,846;446,399,420,354,908;0;1;1;0,9;0;2;2692;1;TRUE;0,0854341843548943;4175;1;1
15;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;15;187,673,587,443,191;-20,943,951,023,932;778,122,429,594,156;622,497,943,675,325;373,498,766,205,195;0;2;2;0,8;0;2;1862;2;TRUE;0,141456604003906;3525;1;1
17;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;17;0,387693545970222;20,943,951,023,932;657,379,215,733,121;624,510,254,946,465;18,735,307,648,394;0;2;2;0,95;0;2;3611;2;TRUE;0,0490196826411229;3357;1;1
18;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;18;409,936,984,080,639;20,943,951,023,932;528,490,668,239,669;502,066,134,827,686;100,413,226,965,537;0;2;2;0,95;0;2;2480;2;TRUE;0,0770308924656288;688;1;1
19;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;19;427,082,917,398,064;20,943,951,023,932;486,425,306,587,996;462,104,041,258,596;277,262,424,755,157;2;1;1;0,95;0,6;3;5673;2;FALSE;0;1741;1;0
20;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;20;28,915,263,515,147;20,943,951,023,932;520,377,859,300,529;483,951,409,149,492;967,902,818,298,984;2;2;2;0,93;0,2;3;4486;1;FALSE;0;978;1;0
21;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;21;561,308,356,100,674;-20,943,951,023,932;64,443,353,884,786;59,932,319,112,851;119,864,638,225,702;1;1;1;0,93;0,2;3;2238;2;FALSE;0,0182072882558785;2138;1;0
22;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;22;0,224715572103323;20,943,951,023,932;693,084,609,756,141;658,430,379,268,334;658,430,379,268,334;0;1;1;0,95;0;2;3077;1;TRUE;0,029411839503868;2184;1;1
23;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;23;46,028,668,770,548;20,943,951,023,932;63,156,352,492,789;505,250,819,942,312;303,150,491,965,387;1;1;1;0,8;0,6;3;2534;1;TRUE;0,119047688502891;6049;1;1
24;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;24;258,467,645,578,325;-20,943,951,023,932;608,404,385,960,367;565,816,078,943,141;565,816,078,943,141;2;1;1;0,93;0,1;3;2479;2;FALSE;0,116246578740139;3034;1;0
25;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;25;510,816,951,348,773;20,943,951,023,932;497,830,833,377,444;398,264,666,701,955;398,264,666,701,955;0;2;2;0,8;0;2;1807;2;TRUE;0,256302553064683;3545;1;1
26;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;26;269,111,465,565,154;20,943,951,023,932;635,623,104,743,852;572,060,794,269,467;572,060,794,269,467;2;2;2;0,9;0,1;3;3696;2;TRUE;0,166666666666667;2173;1;1
27;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;27;0,149880866321738;-20,943,951,023,932;345,381,132,984,861;328,112,076,335,618;196,867,245,801,371;0;1;1;0,95;0;2;2447;1;TRUE;0,00700281180587469;2640;1;1
28;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;28;100,380,562,543,394;20,943,951,023,932;649,927,448,482,982;617,431,076,058,832;18,522,932,281,765;1;1;1;0,95;0,3;3;2950;2;FALSE;0,0238095451803768;1931;1;0
29;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;29;0,721242327590926;20,943,951,023,932;839,249,185,455,896;587,474,429,819,127;587,474,429,819,127;0;2;2;0,7;0;2;1866;2;TRUE;0,757703220143038;7157;1;1
30;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;30;0,661752815004332;20,943,951,023,932;528,810,239,204,662;370,167,167,443,263;370,167,167,443,263;2;2;2;0,7;0,1;3;1820;2;TRUE;0,337535035376455;5135;1;1
31;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;31;138,900,478,296,274;-20,943,951,023,932;637,792,544,317,401;510,234,035,453,921;25,511,701,772,696;0;2;2;0,8;0;2;2053;2;TRUE;0,155462265014648;2333;1;1
32;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;32;354,573,279,796,448;20,943,951,023,932;647,286,738,420,023;582,558,064,578,021;233,023,225,831,208;0;2;2;0,9;0;2;2260;2;TRUE;0,124649870629404;2150;1;1
