0.00e+00 & -1.68e-01 & -1.32e-01 & -1.03e-01 & -1.10e-02 & 4.50e-02 & 2.90e-02 & 4.60e-02 & 1.25e-01 & 6.10e-02 & 7.60e-02 & 1.04e-01 & 1.69e-01 & 1.66e-01 & 1.77e-01 & 1.74e-01 & 1.71e-01 & 3.09e-01 & 2.20e-01 & 2.29e-01 & 3.54e-01 & 2.90e-01 & 2.90e-01 & 2.96e-01 & 3.70e-01 \\
-2.83e-01 & 0.00e+00 & 2.00e-02 & 1.31e-01 & 1.95e-01 & 2.38e-01 & 3.12e-01 & 2.02e-01 & 2.11e-01 & 3.34e-01 & 3.24e-01 & 4.63e-01 & 4.64e-01 & 2.37e-01 & 3.77e-01 & 2.18e-01 & 4.17e-01 & 5.28e-01 & 3.56e-01 & 6.99e-01 & 6.30e-01 & 8.62e-01 & 6.91e-01 & 3.85e-01 & 7.70e-01 \\
-2.97e-01 & -5.00e-03 & 0.00e+00 & 8.00e-02 & 2.70e-01 & 1.14e-01 & 2.50e-01 & 3.28e-01 & 4.26e-01 & 4.72e-01 & 4.27e-01 & 3.93e-01 & 4.47e-01 & 3.34e-01 & 4.85e-01 & 2.35e-01 & 4.60e-01 & 6.78e-01 & 4.86e-01 & 5.48e-01 & 3.39e-01 & 4.88e-01 & 9.05e-01 & 8.77e-01 & 7.20e-01 \\
-3.19e-01 & 6.30e-02 & -5.00e-02 & 0.00e+00 & 2.58e-01 & 4.28e-01 & 2.60e-01 & 4.30e-01 & 1.66e-01 & 3.93e-01 & 3.37e-01 & 1.65e-01 & 2.93e-01 & 5.13e-01 & 5.12e-01 & 6.80e-01 & 6.25e-01 & 6.02e-01 & 6.60e-01 & 6.32e-01 & 4.07e-01 & 6.50e-01 & 8.96e-01 & 8.09e-01 & 1.27e+00 \\
-3.12e-01 & -8.20e-02 & 5.80e-02 & 1.79e-01 & 0.00e+00 & 2.66e-01 & 3.35e-01 & 3.60e-01 & 3.33e-01 & 4.42e-01 & 7.60e-02 & 3.96e-01 & 3.38e-01 & 8.76e-01 & 4.96e-01 & 4.21e-01 & 1.30e-01 & 7.18e-01 & 6.91e-01 & 5.22e-01 & 1.14e+00 & 5.47e-01 & 3.36e-01 & 1.11e+00 & 1.11e+00 \\
-3.50e-01 & 3.90e-02 & 7.10e-02 & 1.43e-01 & 4.67e-01 & 0.00e+00 & 2.30e-01 & 5.79e-01 & 3.81e-01 & 4.59e-01 & 4.21e-01 & 3.08e-01 & 5.43e-01 & 5.71e-01 & 4.37e-01 & 4.37e-01 & 7.82e-01 & 4.26e-01 & 7.22e-01 & 5.55e-01 & 2.22e-01 & 2.47e-01 & 7.32e-01 & 4.95e-01 & 2.46e-01 \\
-3.29e-01 & -9.00e-03 & 2.50e-02 & 1.47e-01 & 2.09e-01 & 4.36e-01 & 0.00e+00 & 1.98e-01 & 6.16e-01 & 3.58e-01 & 5.27e-01 & 3.60e-01 & 5.54e-01 & 2.51e-01 & 4.97e-01 & 9.51e-01 & 3.16e-01 & 2.62e-01 & 1.12e+00 & 9.40e-02 & 9.15e-01 & 3.65e-01 & 2.80e-01 & 1.04e+00 & 6.36e-01 \\
-3.42e-01 & 1.70e-02 & 2.22e-01 & 9.60e-02 & 1.18e-01 & 1.50e-01 & 4.44e-01 & 0.00e+00 & -5.70e-02 & 6.55e-01 & 4.97e-01 & 3.41e-01 & 8.24e-01 & 1.00e+00 & 6.82e-01 & 4.78e-01 & 6.64e-01 & 3.56e-01 & 6.14e-01 & 2.29e-01 & -1.00e-03 & 7.25e-01 & 4.38e-01 & 6.08e-01 & 3.79e-01 \\
-3.88e-01 & -3.80e-02 & 5.40e-02 & 1.89e-01 & 2.32e-01 & 1.79e-01 & 4.38e-01 & 4.34e-01 & 0.00e+00 & 7.09e-01 & 2.37e-01 & 3.74e-01 & 6.67e-01 & 5.02e-01 & 2.91e-01 & 9.09e-01 & 6.29e-01 & 4.93e-01 & 1.28e+00 & 1.03e+00 & 6.93e-01 & 1.22e+00 & 1.22e+00 & 7.71e-01 & 8.98e-01 \\
-3.51e-01 & -4.20e-02 & 2.60e-02 & 7.20e-02 & 4.46e-01 & 2.02e-01 & 1.86e-01 & 4.53e-01 & 6.08e-01 & 0.00e+00 & 3.20e-01 & 6.14e-01 & 3.23e-01 & 4.53e-01 & 1.16e+00 & 5.58e-01 & 5.22e-01 & 1.03e+00 & 4.45e-01 & 7.17e-01 & 3.55e-01 & 2.40e-01 & 8.03e-01 & 7.56e-01 & 1.70e+00 \\
