stimulus,f,h,l,r,w,hw,y,NC
f,96,0,0,1,2,0,0,0
h,6,84,0,0,0,0,0,9
l,1,1,76,12,5,2,2,0
r,1,1,11,57,14,5,11,0
w,1,0,3,5,69,15,8,0
hw,1,1,2,3,25,62,7,0
y,0,1,1,1,3,1,94,0
NC,2,6,0,0,1,0,0,91
