stimulus,A,E,F,H,X
A,0.371,0.138,0.154,0.258,0.079
E,0.129,0.417,0.208,0.104,0.142
F,0.142,0.238,0.421,0.087,0.112
H,0.242,0.079,0.075,0.525,0.079
X,0.100,0.137,0.046,0.092,0.625
