stimulus,A,E,F,H,X
A,0.442,0.083,0.121,0.225,0.129
E,0.129,0.450,0.241,0.088,0.091
F,0.117,0.196,0.425,0.079,0.183
H,0.159,0.046,0.058,0.633,0.104
X,0.033,0.012,0.038,0.038,0.879
