stimulus,f,h,l,r,w,hw,y,NC
f,89,2,1,2,2,3,1,0
h,14,70,1,1,1,0,0,12
l,4,3,63,8,12,4,5,1
r,1,1,8,40,25,10,16,0
w,1,0,2,7,61,20,8,1
hw,5,1,1,1,20,65,8,0
y,1,1,6,7,12,2,71,0
NC,3,8,0,0,0,0,1,88
