stimulus,A,E,F,H,X
A,0.504,0.092,0.158,0.175,0.071
E,0.088,0.575,0.208,0.058,0.071
F,0.146,0.121,0.562,0.092,0.079
H,0.138,0.096,0.104,0.558,0.104
X,0.092,0.063,0.104,0.058,0.683
