0.634,0.191,0.096,0.033,0.023,0.012,0.005,0.001,0.003,0.002
0.184,0.466,0.179,0.091,0.034,0.023,0.014,0.007,0.001,0.003
0.050,0.158,0.417,0.177,0.096,0.057,0.026,0.012,0.004,0.003
0.013,0.055,0.183,0.397,0.178,0.097,0.049,0.018,0.006,0.005
0.003,0.026,0.066,0.194,0.382,0.165,0.103,0.039,0.018,0.005
0.001,0.010,0.032,0.084,0.197,0.375,0.184,0.085,0.029,0.004
0.001,0.006,0.012,0.038,0.105,0.202,0.376,0.169,0.074,0.017
0.002,0.003,0.011,0.022,0.056,0.088,0.194,0.436,0.139,0.049
0.001,0.003,0.006,0.005,0.015,0.056,0.108,0.182,0.452,0.171
0.001,0.001,0.001,0.005,0.007,0.023,0.040,0.102,0.178,0.642
