0.773,0.135,0.038,0.023,0.012,0.006,0.006,0.006
0.115,0.522,0.196,0.096,0.034,0.017,0.013,0.008
0.031,0.161,0.478,0.192,0.092,0.026,0.013,0.005
0.011,0.056,0.188,0.441,0.190,0.074,0.028,0.011
0.006,0.024,0.075,0.163,0.466,0.188,0.063,0.014
0.006,0.011,0.032,0.070,0.229,0.450,0.160,0.043
0.002,0.007,0.015,0.034,0.104,0.190,0.522,0.127
0.003,0.010,0.012,0.011,0.021,0.035,0.136,0.771
