0.748,0.144,0.062,0.021,0.014,0.006,0.002,0.003,0.001,0.000
0.160,0.494,0.188,0.079,0.044,0.018,0.007,0.008,0.000,0.002
0.045,0.156,0.442,0.148,0.099,0.059,0.029,0.017,0.003,0.002
0.014,0.068,0.173,0.387,0.178,0.095,0.051,0.022,0.010,0.002
0.014,0.035,0.094,0.152,0.363,0.181,0.095,0.042,0.018,0.007
0.006,0.013,0.053,0.091,0.157,0.418,0.157,0.080,0.022,0.003
0.005,0.005,0.024,0.035,0.094,0.155,0.436,0.171,0.064,0.012
0.002,0.005,0.012,0.017,0.035,0.074,0.179,0.468,0.174,0.035
0.001,0.001,0.004,0.007,0.014,0.046,0.078,0.188,0.513,0.147
0.000,0.000,0.000,0.003,0.005,0.008,0.018,0.042,0.130,0.794
