quantity,value
calib_residual_independent_Luce,2.567e-16
calib_residual_independent_probit,3.939e-10
calib_residual_factor_mixed_logit,2.002e-11
calib_residual_factor_probit,2.882e-10
n_blocks_skipped,45
n_blocks_>10%,26
n_blocks_2-10%,29
n_blocks_0.5-2%,28
n_blocks_0.05-0.5%,22
independent_Luce_>10%,0.22919
independent_Luce_2-10%,0.24507
independent_Luce_0.5-2%,0.26084
independent_Luce_0.05-0.5%,0.30508
independent_probit_>10%,0.21017
independent_probit_2-10%,0.23198
independent_probit_0.5-2%,0.22990
independent_probit_0.05-0.5%,0.26665
factor_mixed_logit_>10%,0.11404
factor_mixed_logit_2-10%,0.14608
factor_mixed_logit_0.5-2%,0.19858
factor_mixed_logit_0.05-0.5%,0.24390
factor_probit_>10%,0.04517
factor_probit_2-10%,0.06184
factor_probit_0.5-2%,0.09351
factor_probit_0.05-0.5%,0.11564
independent_Luce_singles_mean,0.26510
independent_Luce_pairs_mean,0.25543
independent_probit_singles_mean,0.24251
independent_probit_pairs_mean,0.23010
factor_mixed_logit_singles_mean,0.17870
factor_mixed_logit_pairs_mean,0.17054
factor_probit_singles_mean,0.08026
factor_probit_pairs_mean,0.07645
factor_incr_gumbel_>10%,0.11515
factor_incr_gaussian_>10%,0.16500
family_incr_indep_>10%,0.01903
family_incr_factor_>10%,0.06887
interaction_>10%,-0.04985
factor_incr_gumbel_2-10%,0.09899
factor_incr_gaussian_2-10%,0.17014
family_incr_indep_2-10%,0.01309
family_incr_factor_2-10%,0.08424
interaction_2-10%,-0.07115
