x1,x2
32,2
32,2
32,4
32,5
32,0
32,3
32,0
32,0
32,0
32,2
32,1
32,0
32,2
32,4
32,2
32,2
32,1
32,2
32,2
32,5
32,4
32,0
32,0
32,1
32,5
32,2
32,1
32,3
32,2
32,5
32,2
32,1
32,2
32,3
32,1
32,3
32,2
32,5
32,2
32,0
32,2
32,0
32,0
32,5
32,1
32,1
32,4
32,2
32,4
32,3
32,0
32,2
32,2
32,4
32,2
32,0
32,3
32,2
32,2
32,2
32,2
32,2
32,5
32,2
32,5
32,0
32,4
32,3
32,0
32,2
32,2
32,5
32,0
32,1
32,3
32,2
32,0
32,3
32,4
32,0
32,2
32,5
32,4
32,2
32,4
32,4
32,4
32,3
32,3
32,0
32,3
32,2
32,5
32,2
32,2
32,2
32,5
32,2
32,0
32,5
32,4
32,2
32,1
32,2
32,2
32,0
32,2
32,0
32,1
32,2
32,2
32,5
32,2
32,2
32,0
32,1
32,3
32,3
32,1
32,5
32,5
32,1
32,2
32,1
32,2
32,1
32,2
32,2
32,3
32,2
32,2
32,2
32,5
32,0
32,2
32,0
32,1
32,3
32,2
32,1
32,2
31,5
31,2
31,5
31,5
31,2
31,2
31,3
31,4
31,3
31,2
31,3
31,0
31,4
31,2
31,2
31,2
31,2
31,5
31,5
31,2
31,5
31,0
31,4
31,0
31,3
31,2
31,2
31,5
31,3
31,2
31,5
31,0
31,2
31,0
31,2
31,2
31,2
31,2
31,0
31,0
31,2
31,2
31,2
31,3
31,5
31,2
31,2
31,0
31,2
31,2
31,5
31,0
31,4
31,3
31,0
31,5
31,4
31,0
31,2
31,2
31,2
31,0
31,5
31,5
31,3
31,5
31,0
31,3
31,2
31,2
31,2
31,2
31,4
31,2
31,0
31,4
31,0
31,2
31,0
31,3
31,0
31,2
31,2
31,2
31,3
31,2
31,0
31,2
31,4
31,5
31,5
31,0
31,2
31,2
31,2
31,2
31,5
31,2
31,2
31,2
31,0
31,0
31,2
31,3
31,5
31,3
31,4
31,2
31,0
31,2
31,3
31,0
31,5
31,2
31,5
31,2
31,2
31,0
31,2
31,2
31,5
31,5
31,2
31,3
2,1
2,0
2,0
2,1
2,1
2,0
2,1
2,0
2,1
2,1
2,1
2,0
2,0
2,0
2,1
2,0
2,0
2,1
2,1
2,1
2,0
2,1
2,1
2,0
2,1
2,0
2,0
2,1
2,1
2,0
2,1
2,1
2,0
2,0
2,0
2,1
2,1
2,1
2,0
2,1
2,0
2,0
2,0
2,1
2,1
2,1
2,1
2,0
2,0
2,1
2,1
2,1
2,1
2,1
2,0
2,1
2,0
2,0
2,0
2,1
2,0
2,0
2,0
2,0
2,1
2,0
2,0
2,1
2,1
2,0
2,1
2,1
2,0
2,1
2,1
2,0
2,0
2,1
2,1
2,0
2,0
2,0
2,0
2,0
2,0
2,1
2,0
2,0
2,1
2,1
2,0
2,0
2,1
2,0
2,0
2,0
2,1
2,1
2,0
2,0
2,0
2,0
2,0
2,1
2,0
2,1
2,1
2,1
2,0
2,0
2,0
2,0
2,1
2,1
2,1
2,0
2,1
2,1
2,1
2,1
2,1
2,0
2,1
2,1
30,4
30,4
30,0
30,4
30,1
30,0
30,5
30,0
30,5
30,4
30,0
30,0
30,0
30,0
30,3
30,4
30,1
30,5
30,3
30,5
30,0
30,0
30,5
30,0
30,5
30,0
30,3
30,0
30,0
30,0
30,4
30,0
30,5
30,3
30,0
30,3
30,5
30,5
30,3
30,4
30,0
30,0
30,5
30,3
30,0
30,0
30,0
30,0
30,1
30,0
30,0
30,0
30,1
30,1
30,0
30,1
30,3
30,0
30,5
30,0
30,0
30,1
30,0
30,3
30,5
30,3
30,0
30,5
30,3
30,0
30,5
30,0
30,3
30,1
30,0
30,5
30,0
30,0
30,0
30,3
30,1
30,0
30,0
30,4
30,1
30,3
30,4
30,1
30,3
30,5
30,0
30,0
30,0
30,1
30,1
30,5
30,5
30,5
30,1
30,0
30,4
30,1
30,4
30,4
30,5
30,0
30,5
30,5
30,5
30,0
30,5
30,0
30,5
30,0
30,5
30,3
30,1
30,0
30,0
30,0
30,1
30,1
30,1
30,4
30,4
30,4
30,3
30,0
30,5
30,4
30,5
30,5
30,5
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,0
3,2
3,0
3,2
3,2
3,2
3,0
3,2
3,2
3,2
3,2
3,0
3,2
3,0
3,2
3,2
3,2
3,2
3,2
3,0
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,0
3,2
3,2
3,2
3,2
3,0
3,2
3,2
3,0
3,2
3,0
3,2
3,2
3,0
3,2
3,2
3,0
3,2
3,2
3,2
3,2
3,2
3,0
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,0
3,2
3,2
3,2
3,0
3,0
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,0
3,2
3,2
3,2
3,2
3,2
3,0
3,2
3,2
3,0
3,2
3,0
3,2
3,2
3,0
3,2
3,0
3,2
3,2
3,0
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,0
3,2
3,2
3,2
3,2
3,2
3,2
3,0
3,2
3,2
3,2
3,0
3,2
29,1
29,5
29,2
29,2
29,2
29,0
29,2
29,0
29,2
29,2
29,1
29,4
29,2
29,2
29,0
29,0
29,0
29,2
29,2
29,2
29,2
29,2
29,2
29,5
29,5
29,2
29,2
29,2
29,0
29,5
29,2
29,2
29,4
29,2
29,5
29,2
29,2
29,2
29,1
29,2
29,2
29,0
29,2
29,2
29,2
29,1
29,1
29,2
29,2
29,0
29,2
29,2
29,2
29,1
29,0
29,1
29,2
29,2
29,5
29,4
29,2
29,2
29,2
29,1
29,1
29,2
29,0
29,2
29,1
29,2
29,1
29,5
29,5
29,4
29,1
29,0
29,2
29,1
29,5
29,1
29,0
29,4
29,4
29,2
29,2
29,2
29,1
29,1
29,2
29,0
29,1
29,1
29,0
29,0
29,1
29,5
29,0
29,1
29,1
