case,rho,delta_hat,loglik,rho_true,delta_true
single composition (1 vs 3),0.0,-0.22108767022695527,-82627.39402116525,0.8,0.3
single composition (1 vs 3),0.049999999999999996,-0.1958228318164243,-82627.3940211673,0.8,0.3
single composition (1 vs 3),0.09999999999999999,-0.1699930942259577,-82627.39402116774,0.8,0.3
single composition (1 vs 3),0.15,-0.14355014002856695,-82627.39402116646,0.8,0.3
single composition (1 vs 3),0.19999999999999998,-0.11643836621396728,-82627.39402116349,0.8,0.3
single composition (1 vs 3),0.24999999999999997,-0.08859327538253958,-82627.39402115904,0.8,0.3
single composition (1 vs 3),0.3,-0.05993937321765151,-82627.39402115348,0.8,0.3
single composition (1 vs 3),0.35,-0.030387374348989686,-82627.39402114738,0.8,0.3
single composition (1 vs 3),0.39999999999999997,0.0001695692111126356,-82627.39402114168,0.8,0.3
single composition (1 vs 3),0.44999999999999996,0.03186056631925649,-82627.39402114914,0.8,0.3
single composition (1 vs 3),0.49999999999999994,0.06484616674209619,-82627.39402115671,0.8,0.3
single composition (1 vs 3),0.5499999999999999,0.09932750664447007,-82627.39402116319,0.8,0.3
single composition (1 vs 3),0.6,0.1355634506938653,-82627.39402116749,0.8,0.3
single composition (1 vs 3),0.6499999999999999,0.17389684591072965,-82627.39402116867,0.8,0.3
single composition (1 vs 3),0.7,0.21479848073308763,-82627.3940211662,0.8,0.3
single composition (1 vs 3),0.7499999999999999,0.25894598194920343,-82627.39402116007,0.8,0.3
single composition (1 vs 3),0.7999999999999999,0.30738269522019707,-82627.39402116922,0.8,0.3
single composition (1 vs 3),0.85,0.3618500744701248,-82627.39402114501,0.8,0.3
single composition (1 vs 3),0.8999999999999999,0.4257787575928434,-82627.39402330562,0.8,0.3
single composition (1 vs 3),0.95,0.5079402695532108,-82627.39402269742,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.0,0.019996236246877325,-83172.83122899973,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.049999999999999996,0.03420320934701958,-83119.01345007631,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.09999999999999999,0.04859068785280773,-83067.25005784156,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.15,0.0631846894156375,-83017.56214560429,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.19999999999999998,0.07801469461054325,-82969.98396148172,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.24999999999999997,0.09311446746229544,-82924.56492540974,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.3,0.10852312344886017,-82881.37235948794,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.35,0.12428654537542788,-82840.49520504386,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.39999999999999997,0.14045929896290493,-82802.0491413384,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.44999999999999996,0.15710059802768436,-82766.18375356263,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.49999999999999994,0.17431032809885638,-82733.09278684984,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.5499999999999999,0.19217707593013278,-82703.02924227598,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.6,0.21082418060129518,-82676.32833797135,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.6499999999999999,0.230436254658983,-82653.44398900945,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.7,0.25124745723801273,-82635.00991601609,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.7499999999999999,0.2736002393747876,-82621.9493208383,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.7999999999999999,0.29802123039903866,-82615.69066588805,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.85,0.3253976718658713,-82618.6508205083,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.8999999999999999,0.3574654049204887,-82635.55447901605,0.8,0.3
"mixed compositions (1v3, 2v2, 3v1)",0.95,0.39871803022573543,-82678.60527210418,0.8,0.3
