rho,p_lone,PL_gap_infinite_data,PL_gap_n,PL_perverse,probit_delta_rho_known,delta_true,seconds
0.0,0.1793569704845519,-0.4220978581317713,-0.3992136583063226,False,0.2841291511376881,0.3,0.05774807929992676
0.2,0.20541538446279423,-0.25417299855471603,-0.2619434194421689,False,0.30568518659218546,0.3,0.059391021728515625
0.4,0.23448500602392833,-0.0845448677588493,-0.05653591132113693,False,0.27849457117748866,0.3,0.061071157455444336
0.6,0.26840427996727834,0.09587857351235267,0.09279902123904596,True,0.30247655377389976,0.3,0.06010007858276367
0.7,0.28839849607391377,0.19543741010988708,0.20419938890580108,True,0.2928106298854422,0.3,0.06248903274536133
0.8,0.311953469236699,0.3076098607238815,0.32037539414669264,True,0.2892928139687736,0.3,0.053777217864990234
0.9,0.3424731528059562,0.4463199618774441,0.4608387178027221,True,0.28755237065003525,0.3,0.054023027420043945
0.95,0.3639911895649011,0.5405295353903393,0.5176013070515294,True,0.31987155669861966,0.3,0.05337381362915039
0.99,0.3927077670357371,0.6626679152371094,0.6565513561256731,True,0.3053436435673918,0.3,0.052642107009887695
