T,cos_v,med_abs_logD_err,contrast_frob_rel,heldout_gap_vs_true_per_race,heldout_gain_vs_diag_per_race
1000,0.845489,0.258597,0.432850,0.04302950,-0.03226956
5000,0.940691,0.129701,0.286396,0.00413682,0.00181720
20000,0.990532,0.041903,0.113923,0.00052090,0.00429566
