K,T,dim,rank,fit_seconds,subspace_deg,med_abs_logD_err,contrast_frob_rel,gap_per_race,gain_per_race
100,5000,32,2,203.8,12.673,0.1371,0.2467,0.011444,0.167656
200,10000,32,2,808.7,6.127,0.061,0.1469,0.004179,0.321461
400,20000,32,2,3235.1,4.254,0.0441,0.076,0.003515,0.30353
800,20000,32,2,7170.3,3.901,0.0231,0.0804,0.00172,0.414041
