ensemble,space,seed,tv,linf,med
lkj,raw,0,0.030440694703700123,0.0068604372513387385,2.721268481839231e-05
lkj,projected,0,0.028846237178959875,0.006502346980616344,2.4475878802383313e-05
lkj,raw,1,0.02589821605268694,0.00550242045491689,3.268604086394796e-05
lkj,projected,1,0.026248448277184488,0.005509751204903969,2.8029990985194348e-05
lkj,raw,2,0.021989389418778,0.00795466982381901,2.6257078911841813e-05
lkj,projected,2,0.024457390377208826,0.007860205033588002,2.9213969767141745e-05
lkj,raw,3,0.02691564563267603,0.005641428726253034,3.4826250300666974e-05
lkj,projected,3,0.024370002927368403,0.005091986579056698,3.4993532590441674e-05
lkj,raw,4,0.02687318799089367,0.004721768894900502,3.715531752228462e-05
lkj,projected,4,0.024784450307776967,0.004811036190304402,2.9951785049007923e-05
lkj,raw,5,0.031086920005266975,0.01402461237156559,4.34556685788378e-05
lkj,projected,5,0.034474619160969416,0.015847944816559018,3.973029012985921e-05
lkj,raw,6,0.02705663658988142,0.007648750086108852,2.836342875220583e-05
lkj,projected,6,0.026803507870371224,0.0073353439805739565,2.458018239816726e-05
lkj,raw,7,0.030642891647950653,0.007113749105380582,3.185227576456916e-05
lkj,projected,7,0.029872428914259837,0.00800289967551969,3.149886936072309e-05
lkj,raw,8,0.03193191447816973,0.012183731831382494,2.9264706530854475e-05
lkj,projected,8,0.03179033340441922,0.012654627198711688,2.6980587503097294e-05
lkj,raw,9,0.03100526512922428,0.015594863948120402,2.6675926219130965e-05
lkj,projected,9,0.030398329298269345,0.014632817381930799,2.607486741635037e-05
lkj,raw,10,0.03160026992252293,0.016072184490464686,3.5216969124640173e-05
lkj,projected,10,0.029308242575575426,0.015388576620870897,3.101186801792912e-05
lkj,raw,11,0.03519711311048074,0.015419215269463618,2.9160058191693447e-05
lkj,projected,11,0.03507627035858683,0.014809742547859162,3.1160091645313266e-05
lkj,raw,12,0.033767650055989924,0.012721379221548146,3.711173050479201e-05
lkj,projected,12,0.03352955109968001,0.011809392051560633,3.7599887408013965e-05
lkj,raw,13,0.02992506981479984,0.007750785311076855,2.4841319719262595e-05
lkj,projected,13,0.02891143621078904,0.007192361942004122,2.789619099833323e-05
lkj,raw,14,0.029640516038957093,0.008765703942423875,2.236282143979352e-05
lkj,projected,14,0.027418435692637414,0.009795860711588666,2.4152898019805675e-05
lkj,raw,15,0.022179338700917022,0.006626649837454854,2.3530743792479525e-05
lkj,projected,15,0.02296658155862109,0.0061687091992137025,2.597216996267928e-05
lkj,raw,16,0.03170521284084399,0.00610986966908976,5.905050976022432e-05
lkj,projected,16,0.02970310262231283,0.00410417688775002,4.005148423022573e-05
lkj,raw,17,0.026479685521844955,0.009993662296452696,2.7197997984092735e-05
lkj,projected,17,0.02471424974426393,0.008561272463306874,2.5305480004018076e-05
lkj,raw,18,0.0239039999662268,0.005656151491707423,2.9013906304796878e-05
lkj,projected,18,0.023959878611011034,0.0053621548819191844,2.2468366954865056e-05
lkj,raw,19,0.031630446976462834,0.008338733045475985,2.8934160118483703e-05
lkj,projected,19,0.029775242229188384,0.00819120945335286,3.059546440787965e-05
wishart,raw,0,0.010826692414743405,0.0015879608353367644,3.450816793863793e-05
wishart,projected,0,0.010374673636243906,0.0015144424990319837,3.12957663158598e-05
wishart,raw,1,0.011989588723303834,0.0021368080143240598,2.362782374059491e-05
wishart,projected,1,0.011612675979619175,0.0024322515505868364,2.473451314878339e-05
wishart,raw,2,0.009221112205506104,0.002146648744097736,2.6862902028231814e-05
wishart,projected,2,0.008815705130264632,0.0021603868809523946,2.9278179197168483e-05
wishart,raw,3,0.012605339106914332,0.002883952615103269,2.5685278108132832e-05
wishart,projected,3,0.012172123651062176,0.003983777671924801,2.3306761617978926e-05
wishart,raw,4,0.010068473251021786,0.0022563208080569747,2.52301423314022e-05
wishart,projected,4,0.009945307947161003,0.002329266665429111,2.6646475223074612e-05
wishart,raw,5,0.010188933292250145,0.001861074354968198,2.382937237475243e-05
wishart,projected,5,0.01092865305809867,0.0029291561716306425,2.7964884179815686e-05
wishart,raw,6,0.013915604943019513,0.00509220383284785,2.553631085439273e-05
wishart,projected,6,0.014366184010242535,0.004711971266272541,2.590475763387522e-05
wishart,raw,7,0.012974471789380205,0.003556430666711491,2.6056976327121514e-05
wishart,projected,7,0.012373278388463329,0.003302031729398247,2.489878110279104e-05
wishart,raw,8,0.01158429971255524,0.0021294385981440317,2.5312715676634564e-05
wishart,projected,8,0.010653418242542704,0.0014019357322287707,2.551384313170586e-05
wishart,raw,9,0.013759178051593997,0.0026326744569122457,2.6103326630006805e-05
wishart,projected,9,0.0123218121255875,0.0021934719595892993,2.2477626550039765e-05
wishart,raw,10,0.012854427549599848,0.002932926380021697,2.664972488509064e-05
wishart,projected,10,0.01189769833537433,0.0025001422452171074,2.6927186096801104e-05
wishart,raw,11,0.012394642611228197,0.002713866555627026,2.5890410333647023e-05
wishart,projected,11,0.012102937529537694,0.0023773967157888765,2.7041166834599766e-05
wishart,raw,12,0.01311328589133129,0.0026318039372398433,3.0130686900496943e-05
wishart,projected,12,0.013974385615319662,0.003048524807147679,3.228425607230815e-05
wishart,raw,13,0.014258690021850142,0.0030612881393343727,2.6576526174782372e-05
wishart,projected,13,0.014588497540903989,0.0030698388824588058,2.552158815255685e-05
wishart,raw,14,0.012845030813997783,0.0032700459080113042,2.949266333849627e-05
wishart,projected,14,0.01233662751994476,0.002600786899053742,2.9605347611617834e-05
wishart,raw,15,0.01052517917175491,0.0022205483892906858,2.358248553073456e-05
wishart,projected,15,0.009840709053841873,0.0021342526560274716,2.561241423587394e-05
wishart,raw,16,0.011885034149288334,0.002299490119435546,2.3535682916488744e-05
wishart,projected,16,0.01181969975948897,0.002424967203080594,2.4215325783316622e-05
wishart,raw,17,0.015431535711598224,0.004091600689883804,2.1632477603826007e-05
wishart,projected,17,0.01468705327680182,0.004588457320610473,2.3814765958037894e-05
wishart,raw,18,0.013436726815707532,0.0032507623034482014,2.293274457539768e-05
wishart,projected,18,0.01287025347523394,0.0030633403114258967,2.1890079322096304e-05
wishart,raw,19,0.010516239854033065,0.00200191437375051,2.493033024348598e-05
wishart,projected,19,0.011199372944766646,0.0017759985079178059,3.010514000542923e-05
residuals,raw,0,0.0701309723398634,0.017534044056619597,0.0002810407214079691
residuals,projected,0,0.07519282529505948,0.020853955222343373,0.00025677807450898295
residuals,raw,1,0.0715397239093175,0.02615452391131913,0.00032562493676128784
residuals,projected,1,0.07881933857806324,0.028994071909879515,0.0003169651131239475
residuals,raw,2,0.06766340505852753,0.01493622130522293,0.00023352337521726386
residuals,projected,2,0.0675224398439345,0.016360913568658347,0.00028553602945297757
residuals,raw,3,0.061832974193138886,0.012399362291515018,0.00023229157317002848
residuals,projected,3,0.06744098419328069,0.016456189841173308,0.00028808509586615875
residuals,raw,4,0.08377984342305109,0.03189791318037638,0.0002343456748766016
residuals,projected,4,0.09223380231489099,0.031149245100363362,0.00022669522558004348
residuals,raw,5,0.08059316934457246,0.019726598317306443,0.0003747659108693462
residuals,projected,5,0.07871895790314422,0.02072077095697139,0.00035423928958421317
residuals,raw,6,0.0515722240718472,0.007853892394350338,0.0003018662108281175
residuals,projected,6,0.05803248614426426,0.009250644522565507,0.00033797935698607115
residuals,raw,7,0.07904568966940258,0.027201039152633416,0.00021998774560512294
residuals,projected,7,0.08801483888313184,0.023327130419495162,0.00022256062054322543
residuals,raw,8,0.06638785814683337,0.019128014015818623,0.0001824240573673994
residuals,projected,8,0.06303256724116506,0.022959076150872088,0.00017330615349311646
residuals,raw,9,0.06584282846978898,0.010025337804843312,0.000323968941306602
residuals,projected,9,0.06965018812231628,0.012279060454828197,0.0002494378205982065
residuals,raw,10,0.06851551826401925,0.014051936819843958,0.0002846018763573298
residuals,projected,10,0.05949417043318122,0.014860219877584846,0.00024690529332597143
residuals,raw,11,0.052971916972654125,0.011151608822613374,0.0002362632860295358
residuals,projected,11,0.04901330462878035,0.007522242254482801,0.0001905062514364537
residuals,raw,12,0.060214185383464305,0.009335807516869549,0.0003513548769137941
residuals,projected,12,0.057737768413494574,0.011869287087582142,0.0003193858904735054
residuals,raw,13,0.0816823953433105,0.018784631340956565,0.0002349525143995457
residuals,projected,13,0.0776016394127673,0.016287957432765537,0.0002178100168657932
residuals,raw,14,0.0487622427985071,0.01644262596061885,0.0002646846869225326
residuals,projected,14,0.04713541425189123,0.010455334916408626,0.00028570539794226316
residuals,raw,15,0.04989911478414181,0.010898179467802707,0.00025915513482811597
residuals,projected,15,0.03934794654959809,0.008357784960134479,0.00028589914931868724
residuals,raw,16,0.07159860869974417,0.0113635638403283,0.00029843391102291994
residuals,projected,16,0.06889526678800077,0.01576744053247818,0.00028611183662925543
residuals,raw,17,0.056873052947840466,0.014407732308660312,0.0002191479134286702
residuals,projected,17,0.04754947191945066,0.008480993215378735,0.00018264536614475622
residuals,raw,18,0.08330212335984397,0.026547387316911725,0.0002494306027572022
residuals,projected,18,0.08623594400821744,0.0264208330074598,0.00020884148537799127
residuals,raw,19,0.08671419144242774,0.02140446352151905,0.00019802184840841228
residuals,projected,19,0.078314686506921,0.018653507711424253,0.000205201423865245
walk,raw,0,0.02218526237975666,0.005326409740942839,3.9656111812369044e-05
walk,projected,0,0.022976457381071406,0.004766122759319549,4.733682681313064e-05
walk,raw,1,0.01636911688258514,0.002524698314684423,4.2922843922982285e-05
walk,projected,1,0.016129968358997215,0.0029058371415261325,4.870684546173093e-05
walk,raw,2,0.017276031035177632,0.0043874392030722326,4.283312646872086e-05
walk,projected,2,0.018121288163850877,0.005087764930671673,5.547034325137151e-05
walk,raw,3,0.018253090862459947,0.0063420127144734745,3.2822218423174186e-05
walk,projected,3,0.016913834684584437,0.005256691478558048,3.448996378386886e-05
walk,raw,4,0.016872861896319303,0.004051208271876022,3.441812168655201e-05
walk,projected,4,0.01716603728905203,0.004072688813530026,3.6989191141405134e-05
walk,raw,5,0.01659148550696778,0.0030078863363176,3.587050726169995e-05
walk,projected,5,0.016965281672261995,0.0034134719278924724,3.337821917151192e-05
walk,raw,6,0.014708682906432775,0.0018523375020367827,3.2811592667762884e-05
walk,projected,6,0.016088434150447757,0.0027991163793488344,3.6617903307037546e-05
walk,raw,7,0.021827570220075514,0.004292546482015366,3.503412978223576e-05
walk,projected,7,0.02147958529893123,0.00436839604762955,3.426658808820448e-05
walk,raw,8,0.0170948692919293,0.0030690178949971253,2.7023877687542194e-05
walk,projected,8,0.01675351911548464,0.003270418223943493,3.23544613506266e-05
walk,raw,9,0.018164741436932415,0.003885810331793485,3.313754300059561e-05
walk,projected,9,0.01939461838243281,0.004717750634486442,3.898071319306002e-05
walk,raw,10,0.020548235442524106,0.0042064614606033,3.417163762738624e-05
walk,projected,10,0.021021806630559515,0.004626071289647024,3.416599853125494e-05
walk,raw,11,0.017697430977215982,0.003539096872686026,3.32528259733585e-05
walk,projected,11,0.01898234787684079,0.00405457806730955,2.99094729879383e-05
walk,raw,12,0.01761185871115413,0.0048298687964793835,3.836554733189911e-05
walk,projected,12,0.01621369760920332,0.0032802479423562347,4.101213234671882e-05
walk,raw,13,0.017737517257594704,0.0035273379828702836,3.8925625930354894e-05
walk,projected,13,0.018027321166693505,0.0038331547002387473,4.770972989832922e-05
walk,raw,14,0.019769670428314238,0.004525308310577347,3.4404838226263856e-05
walk,projected,14,0.02036781710077389,0.004746384133571077,4.213847838587461e-05
walk,raw,15,0.020937237323537364,0.004096131821251875,3.2307313846597935e-05
walk,projected,15,0.02080835727073653,0.004395309112177365,3.2627657098069666e-05
walk,raw,16,0.02018024837076702,0.007411893755755128,5.1414195336813e-05
walk,projected,16,0.020426759188263786,0.007760519888102446,5.3577016243754516e-05
walk,raw,17,0.017463851826468826,0.0037530304238438533,4.665843098039784e-05
walk,projected,17,0.01776524087609264,0.003155731756988689,4.179380227603552e-05
walk,raw,18,0.01972866780599853,0.005197748605581795,4.347305368900082e-05
walk,projected,18,0.01959263255733189,0.005447221555353363,3.76145917246305e-05
walk,raw,19,0.01566875950592696,0.00250086875857318,4.0163278918049696e-05
walk,projected,19,0.015227316948969942,0.0032214308545326226,3.7647897520639705e-05
animals,raw,0,0.029597677909118696,0.01134279064911703,0.00044755484193135056
