ensemble                 space           TV      Linf      med   p>1e-2 1e-3..1e-2    <1e-3
lkj                      raw       3.05e-02  7.39e-03  2.0e-05  1.7e-03    1.4e-04  7.7e-06
lkj                      contrast  3.03e-02  6.95e-03  2.1e-05  2.0e-03    1.2e-04  7.4e-06
wishart                  raw       1.23e-02  3.24e-03  2.5e-05  5.5e-04    1.1e-04  1.1e-05
wishart                  contrast  1.23e-02  3.29e-03  2.6e-05  3.9e-04    1.0e-04  1.1e-05
residuals                raw       6.04e-02  1.68e-02  2.0e-04  2.3e-03    6.8e-04  5.8e-05
residuals                contrast  6.37e-02  1.50e-02  2.5e-04  2.1e-03    6.8e-04  6.3e-05
walk                     raw       1.76e-02  5.42e-03  2.8e-05  1.1e-03    1.3e-04  9.9e-06
walk                     contrast  1.82e-02  4.98e-03  2.7e-05  1.2e-03    1.4e-04  1.1e-05
animals                  raw       4.95e-02  2.56e-02  4.0e-04  2.1e-03    7.0e-04  4.7e-05
animals                  contrast  1.27e-01  5.19e-02  8.1e-04  1.1e-02    1.2e-03  1.5e-04
onion                    raw       1.73e-02  3.64e-03  3.1e-05  8.7e-04    1.9e-04  1.3e-05
onion                    contrast  1.73e-02  3.59e-03  2.9e-05  8.4e-04    1.8e-04  1.1e-05
vine                     raw       1.53e-02  5.52e-03  2.6e-05  8.8e-04    1.2e-04  1.1e-05
vine                     contrast  1.56e-02  5.34e-03  2.5e-05  8.9e-04    1.4e-04  1.2e-05
archakov_hansen          raw       4.93e-02  1.06e-02  1.3e-04  1.9e-03    4.5e-04  3.8e-05
archakov_hansen          contrast  5.64e-02  9.20e-03  1.3e-04  2.7e-03    5.3e-04  6.1e-05
spectrum:marchenko_pastur raw       1.09e-02  2.89e-03  2.1e-05  4.0e-04    1.3e-04  8.6e-06
spectrum:marchenko_pastur contrast  1.16e-02  2.81e-03  2.4e-05  4.2e-04    1.3e-04  9.2e-06
spectrum:spiked          raw       1.11e-02  2.39e-03  3.9e-05  6.9e-04    1.4e-04  1.0e-05
spectrum:spiked          contrast  1.22e-02  3.30e-03  4.4e-05  6.8e-04    2.3e-04  1.5e-05
factor:30                raw       2.82e-03  7.06e-04  1.2e-05  1.2e-04    2.8e-05  6.5e-06
factor:30                contrast  1.63e-02  6.95e-03  2.9e-05  5.8e-04    9.0e-05  1.2e-05
hierarchical             raw       8.45e-03  1.42e-03  1.1e-05  4.6e-04    5.1e-05  5.8e-06
hierarchical             contrast  1.50e-02  2.74e-03  2.2e-05  6.2e-04    1.1e-04  7.4e-06
block_equicorr           raw       1.90e-02  3.31e-03  2.2e-05  1.7e-03    7.5e-05  8.2e-06
block_equicorr           contrast  3.35e-02  1.13e-02  7.7e-05  1.6e-03    3.2e-04  3.2e-05
ar1                      raw       2.95e-02  1.09e-02  3.6e-05  1.5e-03    2.1e-04  9.1e-06
ar1                      contrast  2.74e-02  1.03e-02  2.9e-05  1.6e-03    1.5e-04  1.2e-05
kernel                   raw       3.75e-02  1.34e-02  4.3e-03  8.8e-03    4.3e-03  4.4e-04
kernel                   contrast  2.46e-01  8.39e-02  8.9e-03  3.9e-02    4.3e-02  5.4e-03
sparse_precision         raw       4.76e-03  5.72e-04  1.2e-05  3.2e-04    5.1e-05  5.8e-06
sparse_precision         contrast  4.10e-03  6.09e-04  1.0e-05  2.3e-04    3.4e-05  5.4e-06
