N,rm,rs,r,max_err_vs_exact,seconds,exact_seconds
1000,16,8,128,4.127e-03,0.028,1.384
1000,32,12,384,2.691e-05,0.075,1.384
1000,48,14,672,1.566e-07,0.134,1.384
1000,64,16,1024,1.042e-09,0.225,1.384
5000,16,8,128,2.434e-01,0.151,7.174
5000,32,12,384,6.109e-05,0.310,7.174
5000,48,14,672,6.286e-07,0.834,7.174
5000,64,16,1024,9.126e-09,1.160,7.174
