seed,g_pool,g_tc,scalar,factor,headline,head_sig,estimator,structure,strat_value
0,0.6193251048088418,0.6176852507874513,0.6117220660969422,0.6072741175320141,-0.010411133255437188,True,-0.007603038711899601,-0.004447948564928139,-0.0016398540213905521
11,0.62059002260053,0.61911132930129,0.6133607124091018,0.6111399657735018,-0.007971363527788156,True,-0.00722931019142814,-0.0022207466356000127,-0.001478693299239997
22,0.6233207948356975,0.6231961956094219,0.6140237659547264,0.6107760279759238,-0.01242016763349807,True,-0.009297028880971059,-0.003247737978802623,-0.00012459922627561237
