threshold,players,games,margin_all,ridge,margin_sparse
100,639,59399,-0.01610414267784893,10.0,
50,1095,83444,-0.01702064459303351,3.0,-0.01600357224625943
25,1571,97844,-0.018983166748165362,10.0,-0.02215649384903571
10,2373,109129,-0.015720956682514328,10.0,-0.016925505175259602
