scalar,factor,strat,tc
0.5562820422086553,0.5578614306875979,0.5695608002481648,blitz
0.8312496184041382,0.7930733786099067,0.9260197394598417,classical
0.4476825159342519,0.45221347760311753,0.4081449139984219,blitz
0.30354481664211547,0.3051284981672692,0.2980205353768047,bullet
0.2778521684985225,0.31607541690856483,0.4316992505447307,classical
0.563250596575194,0.6235629170004077,0.6544967072678713,bullet
1.107729412630272,1.2234874454870037,1.2288801776885883,blitz
0.5768430618345931,0.5715658481383457,0.4896704173304523,blitz
1.986431161049607,2.091613572361688,2.016365019557872,blitz
0.17995186867341514,0.1398063507735715,0.1615379144003386,blitz
0.30046111838311457,0.3004958926567511,0.3356337598840109,classical
0.7024864307119345,0.7156458347672437,0.7345137451223229,blitz
0.5913640076227324,0.6116999220901761,0.623849847535575,bullet
0.8250982251332509,0.7972385674641267,0.7508723632831747,blitz
0.22369795045023455,0.21988391743761712,0.21823288036685876,classical
0.49694669831875954,0.45527087267289496,0.4068721064608798,blitz
0.3089307252954037,0.30262983026584706,0.2997749345842075,bullet
0.8520508272812036,0.8208878423052687,0.4764291165121426,classical
0.7952784458271018,0.7545091920367805,0.6987250759415775,blitz
0.2741721854603931,0.2754785092019017,0.29683586844440824,bullet
0.4312817158305709,0.5678347529809168,0.6359231730218746,bullet
0.4984326288908621,0.5356500043324302,0.6014803414145135,blitz
0.55251109351749,0.5384252830092964,0.5479089559889367,blitz
0.20800967574301973,0.21203767939798984,0.21974579044129589,bullet
0.6404761865607455,0.6408648981271137,0.6595095054361397,classical
0.2680388746649022,0.2771549742196171,0.31118223603327433,blitz
0.10164658031387036,0.07141994219186397,0.048233351571231674,blitz
0.4896095818657476,0.5054037829625344,0.5728604259258812,classical
0.5839864905058398,0.6483275730287668,0.7315952379539228,bullet
0.3460060289596104,0.36075759001264074,0.4094468723028701,blitz
0.8994621117836654,0.8415095444017352,0.7479708912444354,blitz
0.23676088217990912,0.256839305733151,0.2747530603604421,bullet
0.20599780512631075,0.19867801365775295,0.19635263927155236,bullet
0.2702733632990016,0.2554585648751662,0.27372371045845934,blitz
0.29547620046278433,0.3123806592693051,0.3445831938309542,bullet
0.14675654994516715,0.11849881984063143,0.11011747980108698,bullet
0.30910336387638737,0.2618433203499049,0.23249876278793863,blitz
0.1578533688845612,0.12120224882074034,0.11277313683358761,bullet
0.6734298473875653,0.6712092051778086,0.7592861322689632,classical
0.25431557107823605,0.23752293128768054,0.2383200716082897,blitz
0.9844862280974569,0.9775040579360202,0.8743621478864746,blitz
0.5243169233194358,0.5202630672536127,0.5533912628666591,blitz
0.3735807366844532,0.36201671745670944,0.3720671517677619,classical
0.20990734044276957,0.14465026585099958,0.14151191630757315,blitz
