"cond"	"subj"	"fixed"	"phase"	"trial"	"catordist"	"ic1"	"ic2"	"ic3"	"ic4"	"ic5"	"ic6"	"ic7"	"ic8"	"ic9"	"ic10"	"ic11"	"ic12"	"resp"	"rt"
1	1	1	0	1	1	8	20	30	28	10	31	27	36	15	5	39	7	-1	-1
1	1	1	0	2	2	6	34	21	38	25	9	3	33	4	11	1	37	-1	-1
1	1	1	0	3	3	26	18	2	16	29	35	22	12	23	17	40	13	-1	-1
1	1	1	0	4	4	14	19	24	32	0	0	0	0	0	0	0	0	-1	-1
1	1	1	1	1	2	11	40	6	26	29	37	1	3	9	4	13	34	-1	-1
1	1	1	1	2	3	12	26	2	23	29	13	17	16	22	18	35	40	-1	-1
1	1	1	1	3	3	35	16	26	18	17	12	1	22	23	29	2	13	-1	-1
1	1	1	1	4	3	13	23	26	22	40	17	16	18	2	35	29	12	-1	-1
1	1	1	1	5	2	34	21	11	37	6	4	33	9	23	3	25	38	-1	-1
1	1	1	1	6	3	12	2	40	29	23	34	17	26	13	22	18	35	-1	-1
1	1	1	1	7	1	39	10	31	5	20	7	27	30	28	36	8	15	-1	-1
1	1	1	1	8	1	30	31	10	28	27	7	8	15	36	39	1	20	-1	-1
1	1	1	1	9	3	26	27	18	22	17	35	37	13	2	29	16	23	-1	-1
1	1	1	1	10	1	31	28	30	1	39	36	27	20	8	5	7	15	-1	-1
1	1	1	1	11	1	39	28	5	7	20	31	25	16	29	27	30	10	-1	-1
1	1	1	1	12	1	31	2	11	28	13	37	39	30	27	10	8	36	-1	-1
1	1	1	1	13	3	18	35	26	16	12	25	2	21	23	13	22	17	-1	-1
1	1	1	1	14	3	40	2	16	12	22	29	18	26	13	23	17	35	-1	-1
1	1	1	1	15	3	22	12	16	35	26	23	13	29	40	28	17	2	-1	-1
1	1	1	1	16	3	22	40	26	18	17	16	29	23	2	12	37	35	-1	-1
1	1	1	1	17	1	37	15	26	31	20	9	30	39	8	7	27	5	-1	-1
1	1	1	1	18	3	26	16	29	13	11	22	12	35	17	23	2	40	-1	-1
1	1	1	1	19	2	18	25	38	11	3	9	36	6	34	33	21	17	-1	-1
1	1	1	1	20	2	4	25	11	38	6	33	37	21	2	34	1	3	-1	-1
1	1	1	1	21	1	15	3	8	27	36	31	10	20	5	39	30	7	-1	-1
1	1	1	1	22	3	17	2	22	13	26	15	12	7	16	35	18	23	-1	-1
1	1	1	1	23	2	1	37	11	6	34	38	4	3	33	21	9	25	-1	-1
1	1	1	1	24	3	16	29	18	22	26	13	17	35	23	33	2	40	-1	-1
1	1	1	1	25	1	15	31	36	8	27	39	5	20	10	1	28	30	-1	-1
1	1	1	1	26	2	6	4	3	1	33	34	37	38	21	11	25	9	-1	-1
1	1	1	1	27	2	1	11	34	33	26	3	38	21	4	9	5	25	-1	-1
1	1	1	1	28	3	22	26	13	2	16	8	27	12	29	35	18	17	-1	-1
1	1	1	1	29	3	13	26	29	2	35	23	17	16	12	40	22	18	-1	-1
1	1	1	1	30	3	3	35	13	17	26	23	22	12	2	18	16	29	-1	-1
1	1	1	1	31	3	11	12	20	26	35	2	13	23	16	40	29	17	-1	-1
1	1	1	1	32	3	12	13	23	4	17	29	2	35	26	34	22	16	-1	-1
1	1	1	1	33	2	21	1	3	34	6	33	38	9	4	37	25	11	-1	-1
1	1	1	1	34	1	27	15	5	10	20	39	36	28	31	7	30	8	-1	-1
1	1	1	1	35	3	26	21	34	29	8	2	12	18	16	35	40	22	-1	-1
1	1	1	1	36	3	22	26	2	29	13	16	35	23	12	40	17	36	-1	-1
1	1	1	1	37	1	28	20	15	5	3	36	30	8	27	1	31	39	-1	-1
1	1	1	1	38	3	39	18	29	16	26	22	12	13	23	40	17	2	-1	-1
1	1	1	1	39	2	25	21	3	34	9	23	4	12	6	1	37	11	-1	-1
1	1	1	1	40	1	15	30	5	20	25	8	28	27	39	10	7	36	-1	-1
1	1	1	1	41	1	31	7	10	30	28	39	5	20	27	36	15	8	-1	-1
1	1	1	1	42	2	6	33	34	1	3	37	11	4	25	21	9	38	-1	-1
1	1	1	1	43	3	10	18	40	16	23	17	13	2	22	35	26	29	-1	-1
1	1	1	1	44	2	5	9	22	33	34	25	3	11	1	38	6	37	-1	-1
1	1	1	1	45	1	35	31	7	27	13	29	8	39	28	15	10	30	-1	-1
1	1	1	1	46	2	33	37	11	3	1	6	36	25	21	34	4	38	-1	-1
1	1	1	1	47	1	30	31	5	4	7	36	8	33	28	39	20	27	-1	-1
1	1	1	1	48	3	2	22	36	18	16	8	17	28	15	35	29	40	-1	-1
1	1	1	1	49	2	21	38	33	6	18	1	9	11	37	34	4	3	-1	-1
1	1	1	1	50	1	27	8	5	36	15	39	7	28	30	10	31	20	-1	-1
1	1	1	1	51	1	8	15	36	9	4	20	27	28	30	39	7	10	-1	-1
1	1	1	1	52	1	10	20	27	30	33	7	1	5	8	28	31	35	-1	-1
1	1	1	1	53	3	29	17	23	16	35	26	3	15	18	13	12	22	-1	-1
1	1	1	1	54	2	38	34	21	37	11	20	6	1	4	3	9	33	-1	-1
1	1	1	1	55	1	8	15	20	10	37	28	7	4	31	39	16	5	-1	-1
1	1	1	1	56	1	7	30	39	5	31	36	15	20	28	27	8	10	-1	-1
1	1	1	1	57	1	5	29	39	11	37	27	20	36	28	22	15	31	-1	-1
1	1	1	1	58	1	5	8	27	10	28	31	30	20	15	7	36	39	-1	-1
1	1	1	1	59	1	36	20	31	5	27	8	7	10	39	28	15	30	-1	-1
1	1	1	1	60	1	28	36	5	20	18	39	15	1	7	27	8	31	-1	-1
1	1	1	1	61	2	33	25	6	3	9	37	11	38	27	4	1	10	-1	-1
1	1	1	1	62	2	1	26	39	38	25	33	11	6	3	21	37	34	-1	-1
1	1	1	1	63	2	3	35	25	11	13	33	26	1	4	6	34	31	-1	-1
1	1	1	1	64	2	34	25	21	16	38	11	4	37	15	33	9	6	-1	-1
1	1	1	1	65	1	8	31	5	39	10	27	15	28	16	36	13	7	-1	-1
1	1	1	1	66	2	21	34	1	3	38	4	11	9	25	6	33	37	-1	-1
1	1	1	1	67	1	31	8	10	36	7	27	5	15	30	28	20	39	-1	-1
1	1	1	1	68	3	23	31	40	18	13	16	29	2	35	17	26	12	-1	-1
1	1	1	1	69	2	21	3	31	25	9	34	37	38	4	33	30	26	-1	-1
1	1	1	1	70	2	21	40	6	15	10	33	34	3	9	22	25	11	-1	-1
1	1	1	1	71	3	22	16	18	2	7	17	40	29	13	26	23	12	-1	-1
1	1	1	1	72	1	8	36	30	20	3	10	31	15	7	29	40	27	-1	-1
1	1	1	1	73	2	3	9	20	33	21	11	34	38	5	25	4	6	-1	-1
1	1	1	1	74	3	35	22	29	16	2	18	26	40	12	23	10	13	-1	-1
1	1	1	1	75	2	1	27	35	11	3	29	21	9	38	8	12	4	-1	-1
1	1	1	1	76	3	17	40	18	2	29	16	12	22	13	3	28	23	-1	-1
1	1	1	1	77	1	8	30	27	7	5	10	36	15	12	40	28	39	-1	-1
1	1	1	1	78	1	10	39	5	20	27	8	30	36	31	7	15	28	-1	-1
1	1	1	1	79	3	2	40	15	13	27	23	12	17	16	26	29	35	-1	-1
1	1	1	1	80	2	6	11	4	25	33	34	27	5	3	38	21	37	-1	-1
1	1	1	1	81	2	9	37	21	33	11	3	6	1	38	4	25	34	-1	-1
1	1	1	1	82	2	25	4	33	10	37	11	21	34	9	6	26	38	-1	-1
1	1	1	1	83	2	9	25	1	38	37	11	33	4	6	21	3	34	-1	-1
1	1	1	1	84	1	10	27	31	36	5	30	15	7	39	28	8	20	-1	-1
1	1	1	1	85	2	25	11	33	23	9	34	38	1	4	37	40	21	-1	-1
1	1	1	1	86	2	21	25	7	3	37	6	33	11	20	17	38	40	-1	-1
1	1	1	1	87	2	25	6	21	9	34	37	3	4	1	38	11	33	-1	-1
1	1	1	1	88	3	18	40	13	16	26	29	17	22	35	2	12	23	-1	-1
1	1	1	1	89	1	5	30	10	15	31	27	7	33	39	28	8	20	-1	-1
1	1	1	1	90	3	3	26	12	6	40	35	11	22	16	13	5	18	-1	-1
1	1	1	2	1	2	33	9	6	5	11	27	36	37	1	25	35	8	2	17.56
1	1	1	2	2	3	10	34	7	21	25	13	3	5	20	9	16	11	2	11.48
1	1	1	2	3	6	12	22	8	10	40	27	3	39	26	13	9	34	1	10.36
1	1	1	2	4	7	13	36	38	10	18	2	23	28	22	12	11	5	1	7.74
1	1	1	2	5	8	36	12	15	13	30	22	29	2	18	25	28	23	3	8.829999998
1	1	1	2	6	5	28	13	22	37	20	38	3	8	29	12	27	25	3	18.85
1	1	1	2	7	13	31	16	36	23	2	8	15	17	28	20	7	10	3	12.11
1	1	1	2	8	13	40	5	22	20	36	28	26	18	39	10	27	30	1	4.75
1	1	1	2	9	12	6	34	8	10	7	30	3	21	36	28	27	15	1	14.91
1	1	1	2	10	12	20	25	9	8	15	28	31	33	36	37	39	10	1	10.51
1	1	1	2	11	7	16	35	27	1	38	7	20	5	12	13	22	23	3	5.57
1	1	1	2	12	13	39	31	7	28	27	13	10	20	36	35	16	2	3	12.95
1	1	1	2	13	1	33	1	27	15	38	7	21	25	11	3	10	34	2	9.02
1	1	1	2	14	6	21	34	13	33	27	31	7	18	22	12	17	10	1	15.5
1	1	1	2	15	8	40	18	4	13	35	5	39	12	31	10	26	16	1	6.539999999
1	1	1	2	16	10	23	26	25	11	1	21	9	33	2	29	37	38	3	15.6
1	1	1	2	17	4	12	18	3	6	7	20	36	26	37	27	4	11	3	10.55
1	1	1	2	18	1	7	37	28	25	9	6	21	31	34	3	8	33	2	4.83
1	1	1	2	19	6	2	21	17	38	8	35	13	4	30	20	5	23	3	3.95
1	1	1	2	20	4	20	37	6	25	8	35	26	1	4	7	10	18	3	5.630000001
1	1	1	2	21	13	29	15	20	31	18	30	13	28	5	26	27	36	1	5.34
1	1	1	2	22	8	16	31	8	17	3	29	20	22	23	40	7	18	3	5.27
1	1	1	2	23	5	10	25	16	2	38	18	8	4	28	5	6	22	1	14.76
1	1	1	2	24	9	40	26	35	22	28	13	18	23	27	36	2	8	3	3.65
1	1	1	2	25	9	2	23	29	7	36	16	13	31	12	10	17	22	3	2.77
1	1	1	2	26	5	3	35	15	36	40	1	17	25	34	22	8	20	3	5.140000001
1	1	1	2	27	3	10	6	30	23	3	25	21	8	38	40	5	9	2	23.2
1	1	1	2	28	3	40	1	3	2	8	30	27	31	11	37	34	38	2	12.07
1	1	1	2	29	11	26	23	12	40	33	2	34	29	11	13	16	21	2	13.65
1	1	1	2	30	10	9	40	33	11	4	37	29	13	38	18	6	1	2	7.369999999
1	1	1	2	31	4	21	18	3	1	20	7	6	36	23	31	11	35	2	9.600000001
1	1	1	2	32	12	30	27	9	36	20	8	1	4	31	15	33	39	1	7.18
1	1	1	2	33	4	10	7	1	36	34	3	18	23	25	30	9	35	3	7.390000001
1	1	1	2	34	12	8	37	10	27	33	9	7	25	28	39	5	30	1	4.220000001
1	1	1	2	35	7	20	5	9	35	18	4	39	40	13	8	2	22	3	6.539999999
1	1	1	2	36	11	9	35	40	26	2	16	17	18	25	6	22	21	3	10.44
1	1	1	2	37	2	34	30	25	11	39	38	17	21	6	20	28	37	2	8.510000002
1	1	1	2	38	3	3	34	20	31	11	4	2	15	38	25	22	28	2	3.34
1	1	1	2	39	1	9	10	11	31	34	1	6	25	37	30	21	36	2	2.46
1	1	1	2	40	8	7	40	17	18	31	28	27	21	23	2	12	26	3	7.060000001
1	1	1	2	41	5	20	4	23	28	3	12	17	36	29	25	21	7	3	7.140000001
1	1	1	2	42	10	29	21	12	2	9	6	18	37	34	4	33	38	2	6.16
1	1	1	2	43	10	25	4	6	37	33	22	23	26	9	3	40	11	2	2.77
1	1	1	2	44	7	35	21	5	22	12	16	31	8	38	23	27	26	1	4.77
1	1	1	2	45	10	21	29	22	11	9	2	38	40	3	37	4	6	2	6.76
1	1	1	2	46	10	1	25	4	6	23	38	13	3	40	22	37	33	3	12.47
1	1	1	2	47	10	37	17	33	3	25	1	18	11	12	2	21	9	2	3.9
1	1	1	2	48	9	13	10	26	22	2	20	12	23	39	27	29	17	1	3.06
1	1	1	2	49	12	39	31	30	36	3	15	28	37	34	38	7	5	1	6.539999999
1	1	1	2	50	13	17	10	31	7	2	29	8	15	39	27	22	36	1	4.91
1	1	1	2	51	12	34	6	25	20	31	36	27	28	8	5	39	21	1	12.04
1	1	1	2	52	3	34	31	11	33	20	13	40	7	37	6	21	30	2	5.199999999
1	1	1	2	53	6	36	25	8	35	1	26	38	16	7	2	18	15	3	2.42
1	1	1	2	54	4	35	11	1	6	10	33	20	8	25	39	22	29	2	6.23
1	1	1	2	55	6	30	17	34	13	20	5	16	18	38	9	36	23	3	23.77
1	1	1	2	56	7	12	23	2	27	28	13	15	3	8	11	35	16	3	7.390000001
1	1	1	2	57	5	38	22	18	11	10	7	37	36	9	23	15	16	1	14.3
1	1	1	2	58	2	15	9	33	21	22	36	1	38	30	25	4	39	1	7.039999999
1	1	1	2	59	9	18	2	12	40	30	10	26	17	22	39	35	31	3	5.949999999
1	1	1	2	60	12	28	15	33	39	8	5	30	3	38	6	10	27	1	3.32
1	1	1	2	61	11	3	22	26	18	17	1	35	6	4	12	13	23	3	3.28
1	1	1	2	62	2	25	3	33	15	1	37	35	7	8	9	21	27	2	8.469999999
1	1	1	2	63	9	8	12	16	23	13	27	29	28	18	10	35	40	1	1.89
1	1	1	2	64	5	23	40	11	18	9	5	15	1	28	27	21	13	1	1.62
1	1	1	2	65	4	8	31	5	29	11	33	13	30	4	38	9	17	3	3.71
1	1	1	2	66	9	15	35	20	27	13	29	18	31	12	22	16	17	3	10.9
1	1	1	2	67	1	34	4	10	20	1	7	38	37	30	9	6	3	3	8.890000001
1	1	1	2	68	5	5	22	12	4	3	6	29	30	10	35	8	1	1	6.77
1	1	1	2	69	11	35	9	29	22	13	16	2	34	21	4	26	40	3	4.289999999
1	1	1	2	70	5	31	2	10	25	18	6	3	34	36	40	8	12	1	10.69
1	1	1	2	71	7	28	23	29	36	12	10	3	18	22	20	37	2	3	4.779999999
1	1	1	2	72	3	30	1	36	8	5	25	33	9	40	16	6	21	1	19.02
1	1	1	2	73	7	2	3	18	10	26	17	36	35	13	34	31	7	3	5.949999999
1	1	1	2	74	13	18	27	39	23	15	2	30	31	17	8	10	7	1	6.869999999
1	1	1	2	75	2	11	9	8	34	27	30	3	4	28	33	37	22	2	2.85
1	1	1	2	76	2	27	4	20	23	21	39	38	1	36	34	25	6	3	14.93
1	1	1	2	77	11	16	21	11	26	22	18	35	3	4	17	23	29	2	5.76
1	1	1	2	78	4	22	27	29	5	34	38	8	21	9	10	3	35	1	6.68
1	1	1	2	79	11	23	26	16	34	13	11	22	3	1	17	35	2	3	11.49
1	1	1	2	80	1	34	39	6	3	37	33	25	20	36	28	21	4	2	11.3
1	1	1	2	81	7	5	31	12	8	35	36	18	26	17	1	11	29	3	5.689999999
1	1	1	2	82	7	10	30	16	8	34	11	26	35	17	5	40	13	3	9.09
1	1	1	2	83	1	6	4	38	28	11	9	39	21	15	33	7	3	2	2.38
1	1	1	2	84	13	20	15	16	36	10	12	28	39	30	35	7	17	1	2.25
1	1	1	2	85	6	21	29	30	27	15	4	40	3	22	12	20	16	3	6.82
1	1	1	2	86	13	17	39	26	8	28	27	7	30	2	20	36	23	3	2.73
1	1	1	2	87	9	23	15	5	12	27	29	2	36	40	22	35	16	1	2.45
1	1	1	2	88	7	26	21	37	28	13	7	35	40	27	17	2	10	3	5.289999999
1	1	1	2	89	10	3	37	34	23	21	26	9	12	11	4	25	18	3	5.17
1	1	1	2	90	2	34	7	6	8	28	25	37	23	1	33	21	20	3	5.83
1	1	1	2	91	3	25	38	39	34	5	6	9	37	36	27	12	29	1	4.140000001
1	1	1	2	92	12	34	6	20	5	7	28	30	39	4	15	10	9	1	2.47
1	1	1	2	93	6	3	36	20	18	10	12	1	17	16	9	23	28	3	6.5
1	1	1	2	94	6	35	29	40	39	23	11	12	21	6	7	20	27	3	10.44
1	1	1	2	95	13	39	29	13	20	15	31	40	16	5	28	30	10	1	4.34
1	1	1	2	96	1	25	36	21	11	4	1	6	34	39	31	9	20	2	1.82
1	1	1	2	97	8	29	17	37	35	30	26	36	13	8	40	23	15	3	1.21
1	1	1	2	98	12	7	34	39	36	30	28	27	25	21	37	20	31	3	8.739999998
1	1	1	2	99	11	35	18	22	17	13	1	12	9	38	33	16	26	2	3.96
1	1	1	2	100	12	25	38	7	28	27	36	39	20	10	9	21	8	1	5.57
1	1	1	2	101	4	28	26	34	11	38	36	22	8	33	25	15	23	2	6.51
1	1	1	2	102	8	28	27	8	33	20	22	13	23	26	16	17	18	3	4.59
1	1	1	2	103	8	27	12	39	17	35	18	31	5	3	22	2	26	1	5.83
1	1	1	2	104	8	13	40	27	21	39	18	10	23	8	17	22	35	1	6.949999999
1	1	1	2	105	9	16	30	40	28	2	22	17	35	12	27	29	39	3	6.369999999
1	1	1	2	106	9	17	26	18	2	16	23	5	13	39	10	35	28	3	5.77
1	1	1	2	107	11	4	23	16	40	9	26	3	13	22	18	12	11	3	2.63
1	1	1	2	108	6	18	26	5	39	30	13	8	25	6	40	3	12	3	5.91
1	1	1	2	109	5	33	31	15	34	5	38	1	17	18	10	35	12	1	1.74
1	1	1	2	110	4	3	37	39	31	9	36	18	27	11	2	34	13	2	3.31
1	1	1	2	111	11	2	35	16	18	11	34	22	33	13	29	23	1	3	6.33
1	1	1	2	112	9	16	31	18	30	26	36	17	12	23	10	29	40	3	5.15
1	1	1	2	113	3	8	22	5	17	20	4	34	7	21	37	3	9	3	2.46
1	1	1	2	114	3	1	39	25	13	21	40	6	8	7	15	33	11	2	3.15
1	1	1	2	115	6	17	8	37	6	28	22	30	40	10	26	18	4	3	3.48
1	1	1	2	116	2	36	40	3	1	10	4	9	20	37	11	39	25	2	4.99
1	1	1	2	117	8	17	16	18	35	29	8	28	2	9	7	27	26	3	2.5
1	1	1	2	118	10	16	34	25	37	13	3	33	35	11	23	4	1	2	5.949999999
1	1	1	2	119	11	29	40	23	35	21	2	18	1	17	6	22	33	3	3.39
1	1	1	2	120	10	13	1	9	21	35	22	25	38	33	26	6	4	2	1.43
1	1	1	2	121	5	28	22	8	34	35	3	38	36	39	25	18	23	3	1.12
1	1	1	2	122	1	38	4	5	33	28	1	30	9	21	3	10	11	2	3.27
1	1	1	2	123	1	39	38	11	20	34	37	27	1	31	9	33	21	2	1.65
1	1	1	2	124	13	29	5	10	8	27	20	7	15	39	35	12	26	1	2.91
1	1	1	2	125	1	8	9	38	7	34	3	39	6	25	11	33	36	2	1.49
1	1	1	2	126	4	28	27	6	17	18	3	38	5	36	34	25	16	1	6.300000001
1	1	1	2	127	2	30	34	3	15	7	26	9	1	11	39	25	21	2	3.65
1	1	1	2	128	2	33	15	3	1	8	9	34	10	22	37	5	6	1	4.33
1	1	1	2	129	3	3	39	5	6	2	10	38	15	13	34	21	11	1	1.31
1	1	1	2	130	8	8	13	12	23	17	30	20	28	40	35	22	25	3	1.38
1	2	2	0	1	1	30	3	8	27	37	9	33	36	20	14	17	19	-1	-1
1	2	2	0	2	2	13	11	16	21	32	31	23	10	1	29	28	39	-1	-1
1	2	2	0	3	3	25	2	38	35	4	18	24	5	40	34	12	7	-1	-1
1	2	2	0	4	4	6	15	22	26	0	0	0	0	0	0	0	0	-1	-1
1	2	2	1	1	1	14	37	19	36	30	3	10	9	20	27	8	17	-1	-1
1	2	2	1	2	3	18	5	35	30	25	24	4	7	40	34	2	12	-1	-1
1	2	2	1	3	1	14	37	17	36	20	19	13	3	27	30	9	33	-1	-1
1	2	2	1	4	2	32	39	16	10	11	38	1	23	29	5	28	21	-1	-1
1	2	2	1	5	3	2	18	7	5	40	4	39	20	12	25	38	34	-1	-1
1	2	2	1	6	1	3	29	17	19	33	20	8	27	30	36	37	9	-1	-1
1	2	2	1	7	2	1	21	11	12	10	31	16	32	39	13	28	29	-1	-1
1	2	2	1	8	3	24	2	25	18	4	38	40	5	7	35	34	12	-1	-1
1	2	2	1	9	3	4	13	25	12	35	7	24	34	5	38	2	18	-1	-1
1	2	2	1	10	1	36	19	17	37	14	33	8	20	3	9	27	30	-1	-1
1	2	2	1	11	3	12	2	24	40	5	3	4	20	38	7	25	34	-1	-1
1	2	2	1	12	2	31	2	1	28	19	23	32	21	29	16	13	11	-1	-1
1	2	2	1	13	1	8	19	17	37	3	33	10	14	27	9	30	36	-1	-1
1	2	2	1	14	1	17	12	14	34	9	8	30	20	36	37	33	3	-1	-1
1	2	2	1	15	2	29	11	23	1	32	28	31	21	13	10	39	16	-1	-1
1	2	2	1	16	2	11	39	1	13	29	21	31	10	32	23	16	28	-1	-1
1	2	2	1	17	1	8	14	33	34	30	25	3	36	37	19	17	20	-1	-1
1	2	2	1	18	3	25	34	24	40	7	12	4	38	18	35	5	2	-1	-1
1	2	2	1	19	1	27	3	33	9	20	8	7	17	36	30	19	14	-1	-1
1	2	2	1	20	2	29	11	23	21	39	1	31	32	16	8	28	30	-1	-1
1	2	2	1	21	3	35	40	27	2	17	18	7	25	5	14	34	12	-1	-1
1	2	2	1	22	1	30	36	8	3	17	33	37	27	20	9	19	14	-1	-1
1	2	2	1	23	2	8	21	13	28	32	24	10	11	1	16	39	23	-1	-1
1	2	2	1	24	1	3	27	36	20	19	35	37	9	30	8	13	17	-1	-1
1	2	2	1	25	1	25	20	27	36	30	3	33	19	9	14	37	8	-1	-1
1	2	2	1	26	2	32	28	10	39	1	11	31	21	29	13	16	23	-1	-1
1	2	2	1	27	3	12	27	34	38	25	35	40	5	9	7	4	18	-1	-1
1	2	2	1	28	2	11	39	29	1	9	13	16	23	10	21	2	28	-1	-1
1	2	2	1	29	3	40	25	35	12	14	4	2	5	38	34	18	7	-1	-1
1	2	2	1	30	3	38	25	12	35	40	34	7	2	4	24	18	5	-1	-1
1	2	2	1	31	3	7	12	4	38	18	35	24	5	40	2	34	25	-1	-1
1	2	2	1	32	3	12	5	38	7	40	18	35	24	2	4	34	21	-1	-1
1	2	2	1	33	3	5	7	38	2	12	25	4	35	34	29	18	40	-1	-1
1	2	2	1	34	3	35	4	34	38	18	25	2	5	40	12	11	24	-1	-1
1	2	2	1	35	2	30	21	29	13	23	1	12	28	31	10	39	16	-1	-1
1	2	2	1	36	3	3	4	40	25	12	5	7	24	38	18	35	34	-1	-1
1	2	2	1	37	3	38	40	18	7	10	4	25	21	2	5	13	24	-1	-1
1	2	2	1	38	3	25	7	2	34	40	35	5	4	27	24	18	12	-1	-1
1	2	2	1	39	2	39	10	17	11	32	16	29	31	23	1	21	28	-1	-1
1	2	2	1	40	2	13	16	11	31	39	21	1	29	28	23	10	32	-1	-1
1	2	2	1	41	1	14	8	11	37	9	36	20	27	30	33	19	3	-1	-1
1	2	2	1	42	1	14	9	33	37	20	8	3	17	36	19	30	27	-1	-1
1	2	2	1	43	1	36	17	3	8	37	27	29	9	20	33	30	14	-1	-1
1	2	2	1	44	3	38	24	40	2	5	7	4	35	34	18	25	12	-1	-1
1	2	2	1	45	2	10	11	12	28	1	23	13	31	16	21	39	29	-1	-1
1	2	2	1	46	1	17	13	27	36	3	8	29	33	20	37	9	14	-1	-1
1	2	2	1	47	1	17	33	3	36	20	37	19	8	14	30	9	27	-1	-1
1	2	2	1	48	2	29	31	1	13	28	11	23	21	10	16	32	39	-1	-1
1	2	2	1	49	2	31	33	23	21	1	13	32	16	4	28	39	30	-1	-1
1	2	2	1	50	1	9	14	8	20	17	30	19	27	3	33	36	37	-1	-1
1	2	2	1	51	1	17	14	20	30	33	36	37	8	27	19	3	9	-1	-1
1	2	2	1	52	1	20	9	19	33	12	30	37	3	14	36	16	27	-1	-1
1	2	2	1	53	2	31	29	32	10	23	11	24	39	21	28	1	16	-1	-1
1	2	2	1	54	3	35	34	4	7	5	2	12	40	38	25	24	18	-1	-1
1	2	2	1	55	2	16	28	29	39	31	1	21	32	10	23	38	13	-1	-1
1	2	2	1	56	2	32	39	23	1	16	18	29	31	13	11	21	10	-1	-1
1	2	2	1	57	1	20	14	3	8	2	30	16	36	19	37	33	39	-1	-1
1	2	2	1	58	3	35	18	25	4	12	2	40	24	34	38	5	7	-1	-1
1	2	2	1	59	3	18	38	35	2	12	34	40	24	7	4	25	5	-1	-1
1	2	2	1	60	2	23	10	31	39	24	29	1	28	21	16	32	13	-1	-1
1	2	2	1	61	1	30	3	36	27	19	20	4	37	14	32	8	33	-1	-1
1	2	2	1	62	3	18	38	24	3	2	4	12	34	23	39	35	40	-1	-1
1	2	2	1	63	3	18	34	35	25	5	13	24	40	38	12	4	7	-1	-1
1	2	2	1	64	1	33	19	3	8	27	14	30	17	20	9	36	37	-1	-1
1	2	2	1	65	3	5	7	25	24	34	40	38	2	18	12	4	35	-1	-1
1	2	2	1	66	1	27	9	37	36	3	14	1	8	30	33	24	20	-1	-1
1	2	2	1	67	3	38	18	25	35	21	34	5	12	24	40	2	4	-1	-1
1	2	2	1	68	1	9	35	17	8	3	19	30	33	14	37	27	36	-1	-1
1	2	2	1	69	2	28	10	31	29	8	32	16	1	39	23	11	13	-1	-1
1	2	2	1	70	3	18	38	24	34	4	25	7	12	5	35	2	40	-1	-1
1	2	2	1	71	2	8	11	23	13	39	32	16	10	28	31	1	29	-1	-1
1	2	2	1	72	2	17	40	32	11	28	39	23	1	10	29	16	13	-1	-1
1	2	2	1	73	2	28	13	16	1	31	32	23	39	11	21	10	29	-1	-1
1	2	2	1	74	1	27	33	14	36	30	19	20	8	3	17	9	37	-1	-1
1	2	2	1	75	3	40	7	5	25	12	34	23	35	2	4	9	24	-1	-1
1	2	2	1	76	2	29	21	11	16	10	39	31	13	1	28	23	32	-1	-1
1	2	2	1	77	1	36	27	17	37	23	20	33	19	9	14	30	3	-1	-1
1	2	2	1	78	1	10	27	17	20	30	33	9	19	14	37	8	3	-1	-1
1	2	2	1	79	2	21	31	1	10	39	13	32	23	16	29	28	11	-1	-1
1	2	2	1	80	1	17	16	3	37	31	20	27	36	14	33	30	19	-1	-1
1	2	2	1	81	1	17	14	20	37	36	30	33	27	9	19	8	34	-1	-1
1	2	2	1	82	2	30	16	35	1	31	28	23	10	29	11	39	24	-1	-1
1	2	2	1	83	2	32	39	1	24	29	16	23	10	21	35	11	28	-1	-1
1	2	2	1	84	2	16	21	38	13	29	28	1	23	32	39	10	11	-1	-1
1	2	2	1	85	1	28	9	36	14	33	20	17	12	3	19	30	8	-1	-1
1	2	2	1	86	3	18	40	5	25	12	34	4	35	24	38	2	7	-1	-1
1	2	2	1	87	2	10	32	21	31	1	13	23	28	29	39	16	35	-1	-1
1	2	2	1	88	3	25	38	4	5	24	2	35	18	7	34	40	12	-1	-1
1	2	2	1	89	3	34	35	40	2	12	4	7	25	9	38	18	5	-1	-1
1	2	2	1	90	2	29	39	23	13	28	32	11	10	16	1	21	31	-1	-1
1	2	2	2	1	5	12	30	20	16	32	25	9	10	11	17	24	2	2	8.600000001
1	2	2	2	2	7	24	38	5	18	17	27	39	1	40	28	34	23	3	9.920000002
1	2	2	2	3	8	28	27	1	5	39	11	7	25	2	40	38	24	3	3.62
1	2	2	2	4	4	3	30	20	34	27	1	39	12	32	33	7	29	1	6.41
1	2	2	2	5	11	18	34	5	2	20	14	9	36	24	12	38	25	3	10.12
1	2	2	2	6	8	12	4	25	20	21	34	24	38	39	40	16	31	3	5.960000001
1	2	2	2	7	9	28	18	23	4	7	40	35	12	21	38	24	32	3	7.35
1	2	2	2	8	13	28	10	32	16	39	25	4	11	29	34	5	21	2	3.65
1	2	2	2	9	2	36	8	31	37	20	10	32	14	9	7	21	19	1	4.189999999
1	2	2	2	10	13	28	31	7	39	2	11	10	24	29	13	21	34	2	3.09
