Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Version,Condition,Wrong_option
1,4,4,1,2.41473131199928,4.31905314199958,1,2,1
1,2,2,4,1.567965792,1.95188435599994,1,2,3
1,2,2,4,1.48905611400005,1.92095650700048,1,2,4
1,2,2,4,1.15627637299986,1.70013750399994,1,2,4
1,3,3,3,1.72744187900025,2.39983415699953,1,2,2
1,3,3,4,1.24746291100018,1.6476119050003,1,2,2
1,1,1,3,2.30230498200035,2.75015053199968,1,2,2
1,2,2,2,1.96696918599991,2.52756435100036,1,2,1
1,1,1,2,1.64143108899952,2.87311175899958,1,2,4
1,1,1,2,1.63724057699983,2.27778977700018,1,2,3
1,2,2,3,1.54586372199992,3.30575206599951,1,2,1
1,2,2,3,1.70011749900004,2.01896753500023,1,2,4
1,1,1,1,2.05034302900003,2.45017819500026,1,2,2
1,3,3,3,2.27222516699931,3.69594430300003,1,2,1
1,1,1,1,2.80969456599996,3.25840594399961,1,2,3
1,1,1,1,1.68654943700039,2.42289455300033,1,2,4
1,2,2,2,1.15710045499964,2.1973399819999,1,2,4
1,3,3,3,1.9172056110001,2.73295799300013,1,2,4
1,2,2,4,1.69490250099989,2.01919580899994,1,2,1
1,3,3,3,2.06123186900004,2.57364738700016,1,2,4
1,2,2,4,1.46200487799979,2.00516252299985,1,2,1
1,2,2,4,1.3491810509995,1.71689134499957,1,2,4
1,2,2,4,1.27992339100001,2.63986541099985,1,2,1
1,2,2,3,1.83003310500044,5.60573149300035,1,2,4
1,4,4,1,2.59294241999942,3.04101640499994,1,2,2
1,4,4,1,3.59024636599952,4.05427297999995,1,2,1
1,2,3,1,2.89733778499976,3.21701561999998,1,2,3
1,2,2,3,1.47165510900049,1.91933001800044,1,2,4
1,4,2,2,1.90523934399971,2.35399792699991,1,2,2
1,1,2,2,2.86621908400048,3.34644158300034,1,2,2
1,4,1,1,1.72313741499966,2.23526899099943,1,2,1
1,2,2,3,1.56876630599982,2.27345499500007,1,2,4
1,3,3,4,1.58918575900043,3.71756489600011,1,2,2
1,2,2,3,1.64704792300017,2.0315503719994,1,2,3
1,4,1,1,3.1503710549996,3.53402933300003,1,2,1
1,2,2,4,2.70817584100041,3.23651110100036,1,3,3
1,2,2,2,1.92174034799973,2.36925984299978,1,3,3
1,2,2,1,1.13709651499994,1.5372795129997,1,3,3
1,2,2,1,1.09164067200072,1.81141355100044,1,3,3
1,2,2,3,1.3555078469999,1.80292016200019,1,3,3
1,3,3,2,1.65055624099932,2.27509052000005,1,3,2
1,3,3,3,1.15905508800006,1.59168438399956,1,3,2
1,3,3,4,1.01554803300041,1.83168654100064,1,3,2
1,3,3,4,0.799234932999752,1.15075989100023,1,3,2
1,3,3,3,0.897341554999912,1.58496724199995,1,3,2
1,2,2,2,1.50526655700014,1.92168687699996,1,3,3
1,3,3,1,1.71647499400024,2.1640383189997,1,3,2
1,2,3,2,1.67704130699985,2.31709991499974,1,3,3
1,3,3,2,1.63172757999928,3.29567022299943,1,3,2
1,2,2,2,1.38640398100051,2.23483261500041,1,3,3
1,3,3,4,1.4243884739999,2.00072648600053,1,3,2
1,3,3,3,1.11925343199982,1.45520411300004,1,3,2
1,2,2,2,1.25330519700037,1.58960554900023,1,3,3
1,2,2,2,1.31751436299965,1.70123549599975,1,3,3
1,3,3,1,2.09794585399959,2.43364503099929,1,3,2
1,2,2,2,1.44000722099918,2.20765805299925,1,3,3
1,2,3,2,1.575085726,2.0234401129992,1,3,3
1,2,2,1,1.18897979599933,1.60474764299943,1,3,3
1,3,3,3,1.36427438700048,1.68521311800032,1,3,2
