key,method,M,tr_cov,mean_l1,R
clustered_moderate_n50_s0,lowrank4_shift,32,0.006037744140624998,0.1406250000000002,200
clustered_moderate_n50_s0,lowrank4_shift,64,0.003237719726562501,0.12468750000000037,200
clustered_moderate_n50_s0,lowrank4_shift,128,0.0015556701660156282,0.10117187500000037,200
clustered_moderate_n50_s0,lowrank4_shift,256,0.0007760192871093644,0.07738281250000044,200
clustered_moderate_n50_s0,lowrank4_shift,512,0.0003880001068115286,0.05677734375000066,200
clustered_moderate_n50_s0,lowrank4_shift,1024,0.00020463938713073183,0.04271484375000152,200
clustered_moderate_n50_s0,rb,8,0.06597652990691626,0.6742720882060076,200
clustered_moderate_n50_s0,rb,16,0.031989345600802445,0.49274520383864695,200
clustered_moderate_n50_s0,rb,32,0.016142880485738215,0.3621699241341216,200
clustered_moderate_n50_s0,rb,64,0.007851966988605004,0.2561596612595156,200
clustered_moderate_n50_s0,rb,128,0.004005222218306124,0.18238027686777541,200
clustered_moderate_n50_s0,rb,256,0.002143536234627942,0.1339584563242429,200
clustered_moderate_n50_s0,rb,512,0.0010610854902895497,0.09474334065000481,200
clustered_moderate_n50_s0,rb,1024,0.0005359754072586527,0.06762070959164333,200
clustered_moderate_n50_s0,rb_lowrank4_shift,8,0.012606433218600482,0.16211820542512342,200
clustered_moderate_n50_s0,rb_lowrank4_shift,16,0.006444268710302809,0.14302602295507116,200
clustered_moderate_n50_s0,rb_lowrank4_shift,32,0.0029364450987286366,0.11349038372961992,200
clustered_moderate_n50_s0,rb_lowrank4_shift,64,0.0015551768719684652,0.09366109427941083,200
clustered_moderate_n50_s0,rb_lowrank4_shift,128,0.000808713233953181,0.07315069220106767,200
clustered_moderate_n50_s0,rb_lowrank4_shift,256,0.00038574364149331216,0.05339284819070622,200
clustered_moderate_n50_s0,rb_lowrank4_shift,512,0.00019411954086678547,0.040099347854967125,200
clustered_moderate_n50_s0,rb_lowrank4_shift,1024,0.0001098543736572735,0.03018651969308693,200
