key,method,M,tr_cov,mean_l1,R
dense_moderate_n50_s0,raw,8,0.09325781250000004,0.8871138185056128,200
dense_moderate_n50_s0,raw,16,0.04724335937499997,0.6887664519224336,200
dense_moderate_n50_s0,raw,32,0.02312739257812499,0.5436023902336107,200
dense_moderate_n50_s0,raw,64,0.011707739257812495,0.39771800699757365,200
dense_moderate_n50_s0,raw,128,0.005741949462890624,0.2849227518602162,200
dense_moderate_n50_s0,raw,256,0.002714559173583984,0.2048757416102119,200
dense_moderate_n50_s0,raw,512,0.001445373344421387,0.14814341444974727,200
dense_moderate_n50_s0,raw,1024,0.0007313755035400388,0.10508897610044185,200
dense_moderate_n50_s0,logit_shift,8,0.07052031249999999,0.485,200
dense_moderate_n50_s0,logit_shift,16,0.03595722656250004,0.425,200
dense_moderate_n50_s0,logit_shift,32,0.01930908203125003,0.38156250000000014,200
dense_moderate_n50_s0,logit_shift,64,0.010203161621093762,0.31296875000000024,200
dense_moderate_n50_s0,logit_shift,128,0.00485959472656248,0.24390625,200
dense_moderate_n50_s0,logit_shift,256,0.0023514961242675917,0.18238281250000093,200
dense_moderate_n50_s0,logit_shift,512,0.001232780647277815,0.13654296875000033,200
dense_moderate_n50_s0,logit_shift,1024,0.0006200396060943836,0.1010546875000032,200
dense_moderate_n50_s0,lowrank4_shift,8,0.06008281250000004,0.41875,200
dense_moderate_n50_s0,lowrank4_shift,16,0.029475781250000024,0.3675,200
dense_moderate_n50_s0,lowrank4_shift,32,0.014546044921875015,0.32343750000000027,200
dense_moderate_n50_s0,lowrank4_shift,64,0.007083508300781256,0.25812500000000016,200
dense_moderate_n50_s0,lowrank4_shift,128,0.003576876831054674,0.20804687499999994,200
dense_moderate_n50_s0,lowrank4_shift,256,0.0018890739440918102,0.16265625000000106,200
dense_moderate_n50_s0,lowrank4_shift,512,0.0009247261047363196,0.1207812500000004,200
dense_moderate_n50_s0,lowrank4_shift,1024,0.0004411931991577313,0.08667968750000289,200
dense_moderate_n50_s0,rb,8,0.07304379222105578,0.7662879249352263,200
dense_moderate_n50_s0,rb,16,0.03157949883465407,0.5764831018565577,200
dense_moderate_n50_s0,rb,32,0.01584523678724166,0.428654115482473,200
dense_moderate_n50_s0,rb,64,0.007998423222939878,0.3215769152768165,200
dense_moderate_n50_s0,rb,128,0.00411797742545971,0.23231627169372934,200
dense_moderate_n50_s0,rb,256,0.0021526822353643876,0.16988461967072183,200
dense_moderate_n50_s0,rb,512,0.0008854974942842136,0.1152254643936586,200
dense_moderate_n50_s0,rb,1024,0.0004985430978860002,0.08492227948508041,200
dense_moderate_n50_s0,rb_lowrank4_shift,8,0.030088731139606136,0.3705088459714585,200
dense_moderate_n50_s0,rb_lowrank4_shift,16,0.013494739647230435,0.3148624919036672,200
dense_moderate_n50_s0,rb_lowrank4_shift,32,0.006807916281495782,0.25315922514858263,200
dense_moderate_n50_s0,rb_lowrank4_shift,64,0.0034672483073101006,0.1980827722298266,200
dense_moderate_n50_s0,rb_lowrank4_shift,128,0.0017392346173210982,0.1550079975093276,200
dense_moderate_n50_s0,rb_lowrank4_shift,256,0.0008786768117428488,0.1148501818987345,200
dense_moderate_n50_s0,rb_lowrank4_shift,512,0.0004296438044081987,0.08404352994511395,200
dense_moderate_n50_s0,rb_lowrank4_shift,1024,0.00021377554826382153,0.06067194911455195,200
factor_moderate_n50_s0,raw,8,0.08093046875000001,0.6882707947468691,200
factor_moderate_n50_s0,raw,16,0.04072031250000001,0.49508109876651707,200
factor_moderate_n50_s0,raw,32,0.021980859374999998,0.3672136434889845,200
factor_moderate_n50_s0,raw,64,0.010591577148437498,0.26832343852030893,200
factor_moderate_n50_s0,raw,128,0.005505722045898434,0.1992586874359719,200
factor_moderate_n50_s0,raw,256,0.0029683158874511707,0.14414738069756108,200
factor_moderate_n50_s0,raw,512,0.0012972164154052735,0.09971471623199388,200
factor_moderate_n50_s0,raw,1024,0.0006630324363708496,0.07035609183613163,200
factor_moderate_n50_s0,logit_shift,8,0.11129609375000005,0.59,200
factor_moderate_n50_s0,logit_shift,16,0.05449003906250002,0.480625,200
factor_moderate_n50_s0,logit_shift,32,0.029115478515624994,0.388125,200
factor_moderate_n50_s0,logit_shift,64,0.013520153808593744,0.28234375,200
factor_moderate_n50_s0,logit_shift,128,0.006392105102539036,0.20640624999999982,200
factor_moderate_n50_s0,logit_shift,256,0.003185650634765629,0.15058593750000088,200
factor_moderate_n50_s0,logit_shift,512,0.0016278442382812864,0.10890625000000063,200
factor_moderate_n50_s0,logit_shift,1024,0.0008208668708801423,0.07909179687500037,200
factor_moderate_n50_s0,lowrank4_shift,8,0.00200234375,0.016250000000000087,200
factor_moderate_n50_s0,lowrank4_shift,16,0.0007724609375000003,0.012500000000000185,200
factor_moderate_n50_s0,lowrank4_shift,32,0.000510693359375,0.01687500000000028,200
factor_moderate_n50_s0,lowrank4_shift,64,0.00025286865234375037,0.016250000000000635,200
factor_moderate_n50_s0,lowrank4_shift,128,0.00012631225585937438,0.014375000000000852,200
factor_moderate_n50_s0,lowrank4_shift,256,5.763931274414075e-05,0.01300781250000319,200
factor_moderate_n50_s0,lowrank4_shift,512,2.653522491455092e-05,0.012519531250005538,200
factor_moderate_n50_s0,lowrank4_shift,1024,1.4681148529053037e-05,0.011953125000002972,200
factor_moderate_n50_s0,rb,8,0.04032484991245667,0.4419158609622133,200
factor_moderate_n50_s0,rb,16,0.01838616749094225,0.3130355501871956,200
factor_moderate_n50_s0,rb,32,0.008554229087100447,0.22118772806704992,200
factor_moderate_n50_s0,rb,64,0.004581187021641464,0.16634479297319324,200
factor_moderate_n50_s0,rb,128,0.0024449253407593185,0.12071536167983946,200
factor_moderate_n50_s0,rb,256,0.0011611712882108318,0.08486871149037616,200
factor_moderate_n50_s0,rb,512,0.000578750116391525,0.059397230959716045,200
factor_moderate_n50_s0,rb,1024,0.0002856165141943018,0.042703545018490094,200
factor_moderate_n50_s0,rb_lowrank4_shift,8,2.532161015984399e-05,0.011816033881835981,200
factor_moderate_n50_s0,rb_lowrank4_shift,16,1.7101494591616155e-05,0.011165592528346664,200
factor_moderate_n50_s0,rb_lowrank4_shift,32,6.773416525191171e-06,0.010404820011985394,200
factor_moderate_n50_s0,rb_lowrank4_shift,64,4.006811725242895e-06,0.010295817276803896,200
factor_moderate_n50_s0,rb_lowrank4_shift,128,2.4735603629646087e-06,0.010061565336056504,200
factor_moderate_n50_s0,rb_lowrank4_shift,256,1.0712030033725245e-06,0.00997558518129468,200
factor_moderate_n50_s0,rb_lowrank4_shift,512,5.171352492007337e-07,0.009750201535869897,200
factor_moderate_n50_s0,rb_lowrank4_shift,1024,2.873766944090252e-07,0.009789461841228942,200
clustered_moderate_n50_s0,raw,8,0.10979296874999997,0.8783782329892847,200
clustered_moderate_n50_s0,raw,16,0.055416406249999994,0.6470730370892172,200
clustered_moderate_n50_s0,raw,32,0.026948388671874986,0.47270292219531923,200
clustered_moderate_n50_s0,raw,64,0.013088085937500006,0.3356432327501524,200
clustered_moderate_n50_s0,raw,128,0.006562017822265624,0.24342291884128364,200
clustered_moderate_n50_s0,raw,256,0.0030832481384277352,0.16777605027548767,200
clustered_moderate_n50_s0,raw,512,0.001671476554870605,0.12233049709542977,200
clustered_moderate_n50_s0,raw,1024,0.0007810359954833984,0.08511126549239276,200
clustered_moderate_n50_s0,logit_shift,8,0.09157109375000001,0.57125,200
clustered_moderate_n50_s0,logit_shift,16,0.05041796875000002,0.498125,200
clustered_moderate_n50_s0,logit_shift,32,0.022078076171875006,0.37750000000000017,200
clustered_moderate_n50_s0,logit_shift,64,0.011954321289062505,0.2984375000000002,200
clustered_moderate_n50_s0,logit_shift,128,0.00560110473632813,0.22023437500000026,200
clustered_moderate_n50_s0,logit_shift,256,0.0030506866455077756,0.16265624999999959,200
clustered_moderate_n50_s0,logit_shift,512,0.0015266536712646608,0.11949218750000068,200
clustered_moderate_n50_s0,logit_shift,1024,0.0007587662220001092,0.08458984375000074,200
clustered_moderate_n50_s0,lowrank4_shift,8,0.027570312499999996,0.19875,200
clustered_moderate_n50_s0,lowrank4_shift,16,0.012944335937500018,0.17312500000000014,200
