key,family,regime,n,method,ref,rank,coupling,tau_mult,sqrt,beta,M,tr_var,tr_var_raw,vrf,vrf_cost,agreement,chance,sqdiff,bias_l1,bias_se_l1,ref_seconds,ref_nodes,ref_converged,ref_resid,seconds,q_steps_accepted,q_pilot_gain
dense_diffuse_n50_s0,dense,diffuse,50,raw,none,,none,,sym,1.0,40000,0.9699712887499999,0.9699712887499999,1.0,1.0,nan,0.030308794747495878,nan,0.03406654159104742,0.03278443843194806,,,,,0.08967208862304688,,
dense_diffuse_n50_s0,dense,diffuse,50,rb,none,,none,,sym,1.0,40000,0.6871757162502174,0.9699712887499999,1.4115331287358963,1.4115331287358963,nan,0.030308794747495878,nan,0.02738211419184245,0.027040827142500976,,,,,0.15456795692443848,,
dense_diffuse_n50_s0,dense,diffuse,50,logit_commonz,logit,,commonz,1.0,sym,1.0,40000,0.8862560425000013,0.9699712887499999,1.0944594363654208,0.5472297181827104,0.55685,0.030308794747495878,0.8863,0.032649999999999804,0.03169502098060541,0.0,,,,0.33701086044311523,,
dense_diffuse_n50_s0,dense,diffuse,50,logit_indep,logit,,indep,1.0,sym,1.0,40000,1.939765396249996,0.9699712887499999,0.500045670793578,0.250022835396789,0.030075,0.030308794747495878,1.93985,0.05010000000000045,0.04634018082317503,0.0,,,,0.264819860458374,,
dense_diffuse_n50_s0,dense,diffuse,50,logit_commonz_beta,logit,,commonz,1.0,sym,0.5414960345471294,40000,0.6838716622672637,0.9699712887499999,1.4183528025334755,0.7091764012667378,0.55685,0.030308794747495878,0.8863,0.03082003146821245,0.027761568835904086,,,,,0.22817707061767578,,
dense_diffuse_n50_s0,dense,diffuse,50,logit_samemu_tm0.25,logit_samemu,,commonz,0.25,sym,1.0,40000,1.0516801524999986,0.9699712887499999,0.9223063556388654,0.4611531778194327,0.46295,0.030308794747495878,1.0741,0.029939598640441725,0.033277684565130194,,,,,0.23030400276184082,,
dense_diffuse_n50_s0,dense,diffuse,50,logit_samemu_tm0.5,logit_samemu,,commonz,0.5,sym,1.0,40000,0.9432527037500006,0.9699712887499999,1.028326009449829,0.5141630047249145,0.526775,0.030308794747495878,0.94645,0.03370514569437292,0.03279766270683322,,,,,0.2361922264099121,,
dense_diffuse_n50_s0,dense,diffuse,50,logit_samemu_tm0.75,logit_samemu,,commonz,0.75,sym,1.0,40000,0.9539837125000031,0.9699712887499999,1.016758751790531,0.5083793758952655,0.521425,0.030308794747495878,0.95715,0.03325231172297477,0.0334992664479821,,,,,0.24034619331359863,,
dense_diffuse_n50_s0,dense,diffuse,50,logit_samemu_tm1,logit_samemu,,commonz,1,sym,1.0,40000,0.9709268299999978,0.9699712887499999,0.9990158462816422,0.4995079231408211,0.5125,0.030308794747495878,0.975,0.03360129300823143,0.03402667782338734,,,,,0.2577061653137207,,
dense_diffuse_n50_s0,dense,diffuse,50,logit_samemu_tm1.5,logit_samemu,,commonz,1.5,sym,1.0,40000,0.9992703162500068,0.9699712887499999,0.9706795778644178,0.4853397889322089,0.497575,0.030308794747495878,1.00485,0.03438228073180062,0.034724708742723605,,,,,0.21044301986694336,,
