key,n,ref,M,method,jv_rel_err_mean,jv_rel_err_median,fro_rel_err,coupling
dense_moderate_n50_s0,50,lowrank4,16,ref_only,0.08497794577106807,0.08738243039434211,0.08068896267683595,none
dense_moderate_n50_s0,50,lowrank4,16,target_only,1.6232917609405457,1.09369925323412,1.5601341434979086,procrustes
dense_moderate_n50_s0,50,lowrank4,16,ref_plus_correction,1.7356151798348367,1.4010399728482308,1.7324345624754347,procrustes
dense_moderate_n50_s0,50,lowrank4,16,ref_plus_correction_indep,2.2767696405795483,1.8183814470783295,2.1318216031277046,procrustes
dense_moderate_n50_s0,50,lowrank4,64,ref_only,0.08497794577106807,0.08738243039434211,0.08068896267683595,none
dense_moderate_n50_s0,50,lowrank4,64,target_only,1.061675636083137,0.6955880479845422,1.071947100207544,procrustes
dense_moderate_n50_s0,50,lowrank4,64,ref_plus_correction,1.226868984809417,0.9869917915412707,1.230832729312823,procrustes
dense_moderate_n50_s0,50,lowrank4,64,ref_plus_correction_indep,1.2865004685964743,0.9825723868654445,1.2877367223135077,procrustes
dense_moderate_n50_s0,50,lowrank4,256,ref_only,0.08497794577106807,0.08738243039434211,0.08068896267683595,none
dense_moderate_n50_s0,50,lowrank4,256,target_only,0.5199557047421772,0.47310953023480806,0.5145324801288075,procrustes
dense_moderate_n50_s0,50,lowrank4,256,ref_plus_correction,0.6541443954658275,0.6010633809589523,0.6530359897394787,procrustes
dense_moderate_n50_s0,50,lowrank4,256,ref_plus_correction_indep,0.6563455641384606,0.6282802866602997,0.6284588069890241,procrustes
factor_moderate_n50_s0,50,lowrank4,16,ref_only,0.020266977572408883,0.020266494875912606,0.0189184425613346,none
factor_moderate_n50_s0,50,lowrank4,16,target_only,0.5329628697655066,0.4853369989415488,0.533347106011026,procrustes
factor_moderate_n50_s0,50,lowrank4,16,ref_plus_correction,0.09384460850386295,0.03867373096053454,0.10762095755456295,procrustes
factor_moderate_n50_s0,50,lowrank4,16,ref_plus_correction_indep,0.732372934401846,0.6342976752933076,0.7355786225272475,procrustes
factor_moderate_n50_s0,50,lowrank4,64,ref_only,0.020266977572408883,0.020266494875912606,0.0189184425613346,none
factor_moderate_n50_s0,50,lowrank4,64,target_only,0.26508513477642703,0.25685454533241914,0.25956192702138414,procrustes
factor_moderate_n50_s0,50,lowrank4,64,ref_plus_correction,0.08202161910018814,0.05491864804597367,0.08900419722887834,procrustes
factor_moderate_n50_s0,50,lowrank4,64,ref_plus_correction_indep,0.42583673942182887,0.4045356639825719,0.4140794586810118,procrustes
factor_moderate_n50_s0,50,lowrank4,256,ref_only,0.020266977572408883,0.020266494875912606,0.0189184425613346,none
factor_moderate_n50_s0,50,lowrank4,256,target_only,0.1565427463185033,0.1427700488468363,0.16000860930320504,procrustes
factor_moderate_n50_s0,50,lowrank4,256,ref_plus_correction,0.049784177260082364,0.041380357562149445,0.048080283129055004,procrustes
factor_moderate_n50_s0,50,lowrank4,256,ref_plus_correction_indep,0.21833817663922678,0.21655467620622565,0.22133625927556416,procrustes
clustered_moderate_n50_s0,50,lowrank4,16,ref_only,0.12518095408966706,0.13125144508790287,0.0995068620663066,none
clustered_moderate_n50_s0,50,lowrank4,16,target_only,2.0674943776566272,0.9652702113368812,1.849135059210973,procrustes
clustered_moderate_n50_s0,50,lowrank4,16,ref_plus_correction,2.263990220078058,1.0418542887105622,2.151093764514951,procrustes
clustered_moderate_n50_s0,50,lowrank4,16,ref_plus_correction_indep,2.7735821350798706,1.6258587745272588,2.436268218208336,procrustes
clustered_moderate_n50_s0,50,lowrank4,64,ref_only,0.12518095408966706,0.13125144508790287,0.0995068620663066,none
clustered_moderate_n50_s0,50,lowrank4,64,target_only,0.9477393278580823,0.8165495050889603,0.9435839365195685,procrustes
clustered_moderate_n50_s0,50,lowrank4,64,ref_plus_correction,1.4235787722388207,0.998905540903694,1.4616993887131426,procrustes
clustered_moderate_n50_s0,50,lowrank4,64,ref_plus_correction_indep,1.324680342298471,1.159250298818384,1.1835579181417881,procrustes
clustered_moderate_n50_s0,50,lowrank4,256,ref_only,0.12518095408966706,0.13125144508790287,0.0995068620663066,none
clustered_moderate_n50_s0,50,lowrank4,256,target_only,0.8357605752026671,0.5978662268102766,0.6625172693875319,procrustes
clustered_moderate_n50_s0,50,lowrank4,256,ref_plus_correction,1.19463601791934,0.9021966670076439,0.9279953906762334,procrustes
clustered_moderate_n50_s0,50,lowrank4,256,ref_plus_correction_indep,1.1579710786668227,0.8537610921535734,0.9105488505614783,procrustes
