subject,session,run,block,trial_in_block,n_options,dominant_symbol,alternative_symbol,response,correct,rt
1,1,1,1,1,6,3,,2,0,2.6917
1,1,1,1,2,6,5,,6,0,1.2231
1,1,1,1,3,6,3,,5,0,1.7347
1,1,1,1,4,6,5,,1,0,3.5526
1,1,1,1,5,6,3,,6,0,2.4962
1,1,1,1,6,6,4,,1,0,2.5242
1,1,1,1,7,6,4,,4,1,2.1819
1,1,1,1,8,6,6,,6,1,1.1384
1,1,1,1,9,6,5,,6,0,1.8984
1,1,1,1,10,6,6,,6,1,1.1181
1,1,1,1,11,6,5,,5,1,1.9906
1,1,1,1,12,6,6,,6,1,1.0834
1,1,1,1,13,6,3,,1,0,3.8767
1,1,1,1,14,6,4,,2,0,2.0556
1,1,1,1,15,6,5,,6,0,1.0454
1,1,1,1,16,6,4,,4,1,1.5316
1,1,1,1,17,6,1,,5,0,2.1462
1,1,1,1,18,6,5,,2,0,2.6035
1,1,1,1,19,6,1,,6,0,1.0094
1,1,1,1,20,6,1,,1,1,2.6822
1,1,1,1,21,6,2,,2,1,1.4268
1,1,1,1,22,6,4,,2,0,1.4706
1,1,1,1,23,6,4,,5,0,2.0838
1,1,1,1,24,6,3,,6,0,1.0233
1,1,1,1,25,6,2,,1,0,2.6797
1,1,1,1,26,6,1,,6,0,1.1153
1,1,1,1,27,6,2,,2,1,1.4227
1,1,1,1,28,6,1,,5,0,2.0749
1,1,1,1,29,6,3,,1,0,1.6394
1,1,1,1,30,6,4,,2,0,3.67
1,1,1,1,31,6,3,,6,0,2.977
1,1,1,1,32,6,6,,6,1,1.3847
1,1,1,1,33,6,2,,2,1,1.3822
1,1,1,1,34,6,5,,3,0,1.6194
1,1,1,1,35,6,6,,1,0,3.5382
1,1,1,1,36,6,6,,6,1,1.8753
1,1,1,1,37,6,6,,6,1,1.2444
1,1,1,1,38,6,2,,1,0,3.28
1,1,1,1,39,6,6,,6,1,1.1317
1,1,1,1,40,6,5,,5,1,1.3946
1,1,1,1,41,6,1,,1,1,1.7124
1,1,1,1,42,6,1,,5,0,2.5283
1,1,1,1,43,6,3,,6,0,1.3391
1,1,1,1,44,6,1,,1,1,1.3975
1,1,1,1,45,6,6,,6,1,1.9857
1,1,1,1,46,6,2,,2,1,1.1907
1,1,1,1,47,6,6,,5,0,2.9402
1,1,1,1,48,6,2,,2,1,1.3491
1,1,1,1,49,6,2,,6,0,1.5072
1,1,1,1,50,6,4,,1,0,1.9759
1,1,1,2,1,2,6,3,6,1,2.8701
1,1,1,2,2,2,1,4,1,1,2.1185
1,1,1,2,3,2,3,6,3,1,2.9494
1,1,1,2,4,2,6,2,6,1,1.3627
1,1,1,2,5,2,1,3,1,1,3.569
1,1,1,2,6,2,5,1,1,0,3.2684
1,1,1,2,7,2,3,5,5,0,3.008
1,1,1,2,8,2,2,3,2,1,1.9741
1,1,1,2,9,2,3,4,3,1,2.5717
1,1,1,2,10,2,1,2,1,1,3.8
1,1,1,2,11,2,3,4,3,1,2.1938
1,1,1,2,12,2,2,5,2,1,1.6786
1,1,1,2,13,2,4,2,2,0,5.1359
1,1,1,2,14,2,1,6,1,1,2.5902
1,1,1,2,15,2,5,1,5,1,1.7062
1,1,1,2,16,2,4,2,4,1,2.8427
1,1,1,2,17,2,2,4,4,0,3.5166
1,1,1,2,18,2,6,5,6,1,1.4216
1,1,1,2,19,2,6,2,6,1,1.2894
1,1,1,2,20,2,5,1,5,1,1.6908
1,1,1,2,21,2,1,6,1,1,2.3635
1,1,1,2,22,2,4,5,4,1,2.9612
1,1,1,2,23,2,6,3,6,1,1.3105
1,1,1,2,24,2,1,2,1,1,2.3834
