subject,dominant_symbol,alternative_symbol,n_correct,n_wrong
9,3,4,37,8
9,3,5,42,11
9,3,6,39,6
9,4,1,35,15
9,4,2,27,17
9,4,3,18,20
9,4,5,31,18
9,4,6,47,12
9,5,1,25,13
9,5,2,39,18
9,5,3,28,16
9,5,4,34,20
9,5,6,34,13
9,6,1,42,14
9,6,2,42,26
9,6,3,42,27
9,6,4,35,22
9,6,5,37,13
10,1,2,12,25
10,1,3,15,38
10,1,4,9,38
10,1,5,23,21
10,1,6,24,35
10,2,1,43,3
10,2,3,54,14
10,2,4,38,5
10,2,5,48,3
10,2,6,29,3
10,3,1,30,5
10,3,2,41,23
10,3,4,31,15
10,3,5,41,8
10,3,6,35,11
10,4,1,27,27
10,4,2,11,33
10,4,3,21,29
10,4,5,22,20
10,4,6,23,27
10,5,1,31,13
10,5,2,17,24
10,5,3,31,25
10,5,4,33,10
10,5,6,17,39
10,6,1,55,10
10,6,2,33,21
10,6,3,57,11
10,6,4,48,9
10,6,5,52,4
