subject,session,run,block,trial_in_block,n_options,dominant_label,alternative_label,excluded_label,response,correct,rt,prop_dominant_dots,dir1_deg,dir2_deg,dir3_deg
1,1,1,1,27,3,3,,,2,0,0.4589,0.55,244.16,4.16,124.16
1,1,1,1,28,3,3,,,1,0,0.7629,0.55,319.025,79.025,199.025
1,1,1,1,29,3,2,,,1,0,0.5559,0.55,23.843,143.843,263.843
1,1,1,1,30,3,2,,,2,1,0.5843,0.55,54.007,174.007,294.007
1,1,1,1,31,3,1,,,1,1,0.4811,0.55,54.113,174.113,294.113
1,1,1,1,32,3,2,,,2,1,0.7041,0.55,53.03,173.03,293.03
1,1,1,1,33,3,2,,,3,0,0.5169,0.55,265.972,25.972,145.972
1,1,1,1,34,3,2,,,1,0,0.4822,0.55,261.659,21.659,141.659
1,1,1,1,35,3,3,,,2,0,0.4154,0.55,15.082,135.082,255.082
1,1,1,1,36,3,3,,,2,0,0.3523,0.55,15.199,135.199,255.199
1,1,1,1,37,3,2,,,1,0,0.4504,0.55,349.826,109.826,229.826
1,1,1,1,38,3,1,,,1,1,0.8183,0.55,214.668,334.668,94.668
1,1,1,1,39,3,1,,,3,0,0.483,0.55,314.713,74.713,194.713
1,1,1,1,40,3,3,,,2,0,0.4481,0.55,270.493,30.493,150.493
1,1,1,1,41,3,2,,,3,0,0.5103,0.55,171.184,291.184,51.184
1,1,1,1,42,3,3,,,2,0,0.7323,0.55,181.523,301.523,61.523
1,1,1,1,43,3,3,,,1,0,0.4807,0.55,269.215,29.215,149.215
1,1,1,1,44,3,3,,,2,0,0.4144,0.55,229.384,349.384,109.384
1,1,1,1,45,3,2,,,2,1,0.4641,0.55,22.876,142.876,262.876
1,1,1,1,46,3,2,,,2,1,0.51,0.55,104.7,224.7,344.7
1,1,1,1,47,3,2,,,2,1,0.4274,0.55,30.981,150.981,270.981
1,1,1,1,48,3,2,,,2,1,0.379,0.55,216.282,336.282,96.282
1,1,1,1,49,3,2,,,2,1,0.6389,0.55,352.128,112.128,232.128
1,1,1,1,50,3,3,,,1,0,0.4703,0.55,270.665,30.665,150.665
1,1,1,2,1,2,3,,,3,1,1.0782,0.55,102.812,222.812,342.812
1,1,1,2,2,2,1,,,2,0,1.2127,0.55,215.58,335.58,95.58
1,1,1,2,3,2,3,,,3,1,0.9242,0.55,32.484,152.484,272.484
1,1,1,2,4,2,1,,,1,1,0.4404,0.55,124.908,244.908,4.908
1,1,1,2,5,2,2,,,3,0,0.4876,0.55,20.363,140.363,260.363
1,1,1,2,6,2,2,,,2,1,0.5182,0.55,36.244,156.244,276.244
1,1,1,2,7,2,3,,,3,1,0.5463,0.55,163.806,283.806,43.806
1,1,1,2,8,2,1,,,3,0,0.5254,0.55,319.324,79.324,199.324
1,1,1,2,9,2,2,,,1,0,0.4573,0.55,358.472,118.472,238.472
1,1,1,2,10,2,1,,,1,1,0.4577,0.55,133.443,253.443,13.443
1,1,1,2,11,2,1,,,1,1,0.5208,0.55,33.433,153.433,273.433
1,1,1,2,12,2,3,,,3,1,0.3887,0.55,137.775,257.775,17.775
1,1,1,2,13,2,3,,,1,0,0.5665,0.55,325.659,85.659,205.659
1,1,1,2,14,2,2,,,2,1,0.3378,0.55,36.188,156.188,276.188
1,1,1,2,15,2,1,,,3,0,0.7407,0.55,290.67,50.67,170.67
1,1,1,2,16,2,1,,,1,1,0.6653,0.55,39.921,159.921,279.921
1,1,1,2,17,2,1,,,2,0,0.4949,0.55,339.366,99.366,219.366
1,1,1,2,18,2,3,,,1,0,0.4123,0.55,278.068,38.068,158.068
1,1,1,2,19,2,1,,,1,1,0.9575,0.55,225.305,345.305,105.305
1,1,1,2,20,2,3,,,3,1,0.4401,0.55,73.709,193.709,313.709
1,1,1,2,21,2,3,,,2,0,0.281,0.55,26.135,146.135,266.135
1,1,1,2,22,2,3,,,1,0,0.4477,0.55,274.215,34.215,154.215
1,1,1,2,23,2,2,,,1,0,0.3667,0.55,278.862,38.862,158.862
1,1,1,2,24,2,1,,,2,0,0.5128,0.55,305.69,65.69,185.69
1,1,1,2,25,2,1,,,1,1,0.3502,0.55,40.315,160.315,280.315
1,1,1,2,26,2,3,,,2,0,0.3694,0.55,266.037,26.037,146.037
1,1,1,2,27,2,2,,,2,1,0.3723,0.55,35.955,155.955,275.955
1,1,1,2,28,2,1,,,2,0,0.9509,0.55,231.774,351.774,111.774
1,1,1,2,29,2,1,,,1,1,0.3842,0.55,26.407,146.407,266.407
1,1,1,2,30,2,3,,,1,0,0.9793,0.55,214.536,334.536,94.536
1,1,1,2,31,2,3,,,3,1,0.525,0.55,118.433,238.433,358.433
1,1,1,2,32,2,2,,,2,1,0.4252,0.55,30.443,150.443,270.443
1,1,1,2,33,2,1,,,1,1,0.4574,0.55,97.236,217.236,337.236
1,1,1,2,34,2,3,,,3,1,0.6332,0.55,15.696,135.696,255.696
1,1,1,2,35,2,3,,,3,1,1.0887,0.55,262.551,22.551,142.551
1,1,1,2,36,2,2,,,2,1,0.646,0.55,99.793,219.793,339.793
1,1,1,2,37,2,2,,,2,1,0.5738,0.55,4.827,124.827,244.827
1,1,1,2,38,2,3,,,1,0,0.4563,0.55,301.959,61.959,181.959
1,1,1,2,39,2,1,,,3,0,0.5187,0.55,333.197,93.197,213.197
1,1,1,2,40,2,2,,,1,0,0.4999,0.55,342.658,102.658,222.658
1,1,1,2,41,2,2,,,3,0,0.9131,0.55,157.295,277.295,37.295
1,1,1,2,42,2,1,,,3,0,0.5256,0.55,348.64,108.64,228.64
1,1,1,2,43,2,3,,,3,1,0.5696,0.55,133.085,253.085,13.085
1,1,1,2,44,2,1,,,2,0,1.0611,0.55,281.737,41.737,161.737
1,1,1,2,45,2,2,,,2,1,0.4266,0.55,40.896,160.896,280.896
1,1,1,2,46,2,3,,,2,0,0.7159,0.55,241.985,1.985,121.985
1,1,1,2,47,2,1,,,1,1,0.4961,0.55,97.44,217.44,337.44
1,1,1,2,48,2,3,,,3,1,1.5978,0.55,16.633,136.633,256.633
1,1,1,2,49,2,1,,,3,0,1.3576,0.55,225.261,345.261,105.261
1,1,1,2,50,2,3,,,3,1,0.4404,0.55,101.336,221.336,341.336
1,1,1,3,1,3,3,,,2,0,0.5214,0.55,283.637,43.637,163.637
1,1,1,3,2,3,1,,,2,0,0.295,0.55,272.013,32.013,152.013
1,1,1,3,3,3,3,,,3,1,0.6053,0.55,266.94,26.94,146.94
1,1,1,3,4,3,2,,,2,1,0.7257,0.55,202.863,322.863,82.863
1,1,1,3,5,3,3,,,2,0,0.4101,0.55,21.814,141.814,261.814
1,1,1,3,6,3,3,,,3,1,0.4422,0.55,119.502,239.502,359.502
1,1,1,3,7,3,2,,,2,1,0.4429,0.55,65.699,185.699,305.699
1,1,1,3,8,3,1,,,1,1,0.5071,0.55,144.742,264.742,24.742
1,1,1,3,9,3,2,,,3,0,0.4878,0.55,197.086,317.086,77.086
1,1,1,3,10,3,2,,,2,1,0.5013,0.55,107.304,227.304,347.304
1,1,1,3,11,3,3,,,3,1,0.4992,0.55,99.245,219.245,339.245
1,1,1,3,12,3,1,,,1,1,0.4167,0.55,52.266,172.266,292.266
1,1,1,3,13,3,1,,,1,1,0.5125,0.55,89.431,209.431,329.431
1,1,1,3,14,3,2,,,1,0,0.4939,0.55,195.834,315.834,75.834
1,1,1,3,15,3,3,,,3,1,0.4756,0.55,123.727,243.727,3.727
1,1,1,3,16,3,3,,,3,1,0.7298,0.55,275.938,35.938,155.938
1,1,1,3,17,3,2,,,3,0,0.5112,0.55,223.34,343.34,103.34
1,1,1,3,18,3,2,,,2,1,0.3801,0.55,13.362,133.362,253.362
1,1,1,3,19,3,3,,,2,0,0.4459,0.55,222.097,342.097,102.097
