subject,run,block,condition,trial_in_block,dominant_color,alternative_color,response,correct,confidence,rt_choice,rt_confidence
1,1,3,1,16,2,,3,0,2,1.6293,1.9525
1,1,3,1,17,2,,2,1,2,1.2292,1.5515
1,1,3,1,18,3,,3,1,3,1.2952,1.6798
1,1,3,1,19,4,,4,1,1,1.5164,2.2043
1,1,3,1,20,2,,2,1,2,1.2837,1.6018
1,1,3,1,21,3,,3,1,4,1.2999,2.5796
1,1,3,1,22,2,,3,0,4,1.4845,1.9639
1,1,3,1,23,3,,3,1,4,1.1497,1.5331
1,1,3,1,24,1,,1,1,1,1.2964,1.7598
1,1,3,1,25,1,,1,1,2,3.0823,3.5297
1,1,3,1,26,3,,3,1,3,1.083,1.4017
1,1,3,1,27,2,,2,1,2,1.3153,1.6666
1,1,3,1,28,3,,3,1,3,1.1838,2.2719
1,1,3,1,29,1,,1,1,2,1.5725,1.9562
1,1,3,1,30,1,,1,1,2,1.7984,2.119
1,1,3,1,31,3,,3,1,3,1.0091,1.3445
1,1,3,1,32,3,,3,1,3,0.9234,1.2917
1,1,3,1,33,1,,3,0,3,1.1928,2.4564
1,1,3,1,34,2,,2,1,2,2.1498,3.1259
1,1,3,1,35,3,,3,1,4,1.0951,1.6394
1,2,1,1,1,2,,2,1,2,1.5726,1.9245
1,2,1,1,2,4,,3,0,2,1.2389,1.9593
1,2,1,1,3,1,,3,0,3,1.5607,2.1051
1,2,1,1,4,1,,1,1,1,1.3964,1.7188
1,2,1,1,5,4,,3,0,3,1.7275,2.1428
1,2,1,1,6,3,,3,1,4,1.0009,1.4495
1,2,1,1,7,3,,3,1,4,0.975,1.4074
1,2,1,1,8,4,,4,1,1,1.5907,1.9015
1,2,1,1,9,3,,3,1,4,1.0193,1.499
1,2,1,1,10,1,,1,1,3,1.8556,2.2398
1,2,1,1,11,3,,3,1,4,1.0294,1.4777
1,2,1,1,12,2,,2,1,3,2.1547,2.715
1,2,1,1,13,3,,3,1,4,1.2618,1.7417
1,2,1,1,14,3,,1,0,1,4.2164,4.9516
1,2,1,1,15,3,,3,1,3,1.4066,1.7186
1,2,1,1,16,4,,2,0,1,1.5938,2.1698
1,2,1,1,17,2,,2,1,2,1.3786,1.7469
1,2,1,1,18,1,,1,1,2,1.4368,1.9008
1,2,1,1,19,1,,1,1,1,2.4325,2.7532
1,2,1,1,20,2,,2,1,2,1.1371,1.4516
1,2,1,1,21,2,,2,1,3,1.2384,1.7181
1,2,1,1,22,3,,3,1,3,1.3934,1.8259
1,2,1,1,23,3,,3,1,3,1.1604,1.4684
1,2,1,1,24,4,,1,0,1,1.9017,2.219
1,2,1,1,25,1,,4,0,1,1.8604,2.6603
1,2,1,1,26,4,,3,0,2,1.2894,1.6017
1,2,1,1,27,1,,1,1,1,1.1766,2.4399
1,2,1,1,28,1,,1,1,3,1.2703,1.6861
1,2,1,1,29,1,,1,1,2,1.3295,1.6512
1,2,1,1,30,3,,3,1,2,1.4563,1.8406
1,2,1,1,31,2,,2,1,3,1.1901,1.5011
1,2,1,1,32,3,,3,1,1,1.5628,1.9783
1,2,1,1,33,1,,1,1,3,1.2111,1.5351
1,2,1,1,34,1,,1,1,2,1.0858,1.4383
1,2,1,1,35,2,,2,1,3,1.7173,2.3408
1,2,2,3,1,4,2,4,1,2,6.3817,7.8056
1,2,2,3,2,4,2,4,1,3,1.631,2.1912
1,2,2,3,3,4,2,2,0,1,3.7184,4.0373
1,2,2,3,4,4,2,2,0,2,1.315,1.6351
1,2,2,3,5,4,2,4,1,2,1.5849,1.9217
1,2,2,3,6,4,2,2,0,2,1.2844,1.7007
1,2,2,3,7,2,4,2,1,4,1.4722,1.8081
1,2,2,3,8,4,2,2,0,4,1.592,1.9121
1,2,2,3,9,4,2,2,0,3,1.2271,1.5351
1,2,2,3,10,4,2,4,1,3,1.5017,2.2541
1,2,2,3,11,4,2,4,1,2,1.7305,2.3705
1,2,2,3,12,4,2,4,1,1,1.5387,1.852
1,2,2,3,13,4,2,4,1,1,2.4395,2.7599
1,2,2,3,14,4,2,4,1,1,1.4964,2.2644
1,2,2,3,15,4,2,4,1,2,1.4378,1.8058
1,2,2,3,16,4,2,2,0,1,1.7653,2.0858
1,2,2,3,17,2,4,2,1,4,1.089,1.5854
1,2,2,3,18,4,2,2,0,4,0.8658,1.1846
1,2,2,3,19,2,4,2,1,4,0.7383,1.0509
1,2,2,3,20,2,4,2,1,4,0.7605,1.0965
1,2,2,3,21,4,2,4,1,1,3.9497,4.7339
1,2,2,3,22,4,2,2,0,2,1.358,1.6686
1,2,2,3,23,4,2,2,0,2,1.5308,1.8524
1,2,2,3,24,4,2,2,0,1,2.6567,2.97
1,2,2,3,25,4,2,4,1,1,1.512,1.8355
1,2,2,3,26,2,4,2,1,4,1.1823,1.5341
1,2,2,3,27,4,2,2,0,3,1.2006,1.5373
1,2,2,3,28,4,2,2,0,2,1.6517,1.9688
1,2,2,3,29,2,4,2,1,4,1.4125,1.9408
1,2,2,3,30,4,2,4,1,3,1.3504,1.8309
1,2,2,3,31,4,2,4,1,2,1.3571,1.8056
1,2,2,3,32,2,4,2,1,4,1.3331,1.6848
1,2,2,3,33,4,2,4,1,3,1.4415,1.8578
1,2,2,3,34,2,4,2,1,4,1.1596,1.4789
1,2,2,3,35,4,2,2,0,2,1.7248,2.2371
1,2,3,2,1,1,4,1,1,4,7.0169,10.217
1,2,3,2,2,3,2,3,1,4,1.8961,2.5514
1,2,3,2,3,1,3,3,0,2,3.1844,4.6085
1,2,3,2,4,2,1,2,1,3,1.7651,2.1171
1,2,3,2,5,4,2,2,0,3,1.8558,2.3839
1,2,3,2,6,2,3,2,1,4,1.1682,1.664
1,2,3,2,7,2,4,2,1,4,1.5979,1.9821
1,2,3,2,8,1,3,1,1,4,1.7108,2.1431
1,2,3,2,9,2,3,2,1,3,1.2723,1.7047
1,2,3,2,10,3,2,3,1,3,1.7965,2.2288
1,2,3,2,11,2,1,2,1,3,2.1075,3.3389
1,2,3,2,12,3,4,3,1,4,1.892,2.4357
