subject,dominant_color,alternative_color,n_correct,n_wrong
16,1,2,11,4
16,1,3,12,3
16,1,4,20,4
16,2,1,15,1
16,2,3,12,1
16,2,4,15,0
16,3,1,16,1
16,3,2,17,3
16,3,4,18,2
16,4,1,10,4
16,4,2,11,8
16,4,3,16,6
17,1,2,15,7
17,1,3,13,1
17,1,4,19,2
17,2,1,17,1
17,2,3,17,3
17,2,4,15,1
17,3,1,10,6
17,3,2,10,7
17,3,4,9,1
17,4,1,15,6
17,4,2,7,10
17,4,3,10,8
18,1,2,14,7
18,1,3,16,4
18,1,4,12,2
18,2,1,12,0
18,2,3,13,2
18,2,4,17,2
18,3,1,15,2
18,3,2,22,2
18,3,4,15,2
18,4,1,19,3
18,4,2,13,3
18,4,3,9,4
19,1,2,14,7
19,1,3,16,3
19,1,4,13,7
19,2,1,19,2
19,2,3,13,5
19,2,4,13,3
19,3,1,14,3
19,3,2,8,3
19,3,4,14,1
19,4,1,18,3
19,4,2,7,1
19,4,3,17,6
20,1,2,11,3
20,1,3,19,1
20,1,4,14,1
20,2,1,21,2
20,2,3,16,0
20,2,4,21,0
20,3,1,8,2
20,3,2,13,2
20,3,4,18,3
20,4,1,10,9
20,4,2,6,13
20,4,3,11,6
21,1,2,10,4
21,1,3,9,4
21,1,4,18,0
21,2,1,15,1
21,2,3,17,1
21,2,4,19,1
21,3,1,12,3
21,3,2,8,5
21,3,4,22,2
21,4,1,9,12
21,4,2,5,17
21,4,3,6,10
22,1,2,17,3
22,1,3,9,3
22,1,4,16,3
22,2,1,23,1
22,2,3,27,1
22,2,4,9,0
22,3,1,12,3
22,3,2,9,3
22,3,4,15,2
22,4,1,12,8
22,4,2,14,6
22,4,3,9,5
23,1,2,17,12
23,1,3,12,3
23,1,4,21,3
23,2,1,10,0
23,2,3,10,0
23,2,4,17,0
23,3,1,19,0
23,3,2,26,1
23,3,4,13,1
23,4,1,8,6
23,4,2,5,10
23,4,3,6,10
24,1,2,11,8
24,1,3,8,6
24,1,4,14,4
24,2,1,15,1
24,2,3,23,1
24,2,4,21,1
24,3,1,12,3
24,3,2,11,5
24,3,4,17,3
24,4,1,16,6
24,4,2,2,10
24,4,3,10,2
25,1,2,12,8
25,1,3,11,3
25,1,4,18,3
25,2,1,18,1
25,2,3,16,0
25,2,4,14,1
25,3,1,17,0
25,3,2,17,0
25,3,4,22,0
25,4,1,10,3
25,4,2,12,8
25,4,3,6,10
26,1,2,20,4
26,1,3,17,3
26,1,4,14,3
26,2,1,14,2
26,2,3,13,2
26,2,4,14,0
26,3,1,16,1
26,3,2,18,0
26,3,4,12,0
26,4,1,11,7
26,4,2,11,11
26,4,3,7,10
27,1,2,5,6
27,1,3,10,3
27,1,4,17,3
27,2,1,15,2
27,2,3,17,0
27,2,4,15,1
27,3,1,7,1
27,3,2,15,5
27,3,4,20,5
27,4,1,15,8
27,4,2,8,11
27,4,3,18,3
28,1,2,14,1
28,1,3,14,2
28,1,4,18,4
28,2,1,19,3
28,2,3,18,1
28,2,4,17,1
28,3,1,13,4
28,3,2,11,2
28,3,4,15,2
28,4,1,7,7
28,4,2,7,9
28,4,3,10,11
29,1,2,19,8
29,1,3,14,2
29,1,4,14,2
29,2,1,10,1
29,2,3,14,6
29,2,4,13,1
29,3,1,21,1
29,3,2,10,0
29,3,4,19,0
29,4,1,18,3
29,4,2,13,5
29,4,3,14,2
30,1,2,14,3
30,1,3,17,4
30,1,4,15,1
30,2,1,16,5
30,2,3,15,3
30,2,4,16,2
30,3,1,7,2
30,3,2,21,1
30,3,4,18,1
30,4,1,15,5
30,4,2,9,4
30,4,3,7,9
31,1,2,12,8
31,1,3,22,8
31,1,4,14,3
31,2,1,27,0
31,2,3,19,0
31,2,4,18,0
31,3,1,10,3
31,3,2,13,4
31,3,4,14,3
31,4,1,8,3
31,4,2,3,7
31,4,3,7,4
32,1,2,9,10
32,1,3,17,8
32,1,4,8,3
32,2,1,14,2
32,2,3,19,4
32,2,4,14,1
32,3,1,17,2
32,3,2,16,4
32,3,4,16,1
32,4,1,6,9
32,4,2,4,14
32,4,3,4,8
