subject,dominant_color,response,n
1,1,1,49
1,1,2,5
1,1,3,5
1,1,4,2
1,2,1,0
1,2,2,49
1,2,3,4
1,2,4,0
1,3,1,2
1,3,2,3
1,3,3,54
1,3,4,1
1,4,1,5
1,4,2,10
1,4,3,11
1,4,4,10
2,1,1,42
2,1,2,2
2,1,3,5
2,1,4,0
2,2,1,0
2,2,2,58
2,2,3,1
2,2,4,1
2,3,1,1
2,3,2,6
2,3,3,39
2,3,4,2
2,4,1,3
2,4,2,12
2,4,3,10
2,4,4,28
3,1,1,13
3,1,2,25
3,1,3,14
3,1,4,0
3,2,1,0
3,2,2,46
3,2,3,6
3,2,4,0
3,3,1,0
3,3,2,4
3,3,3,47
3,3,4,1
3,4,1,2
3,4,2,23
3,4,3,17
3,4,4,12
4,1,1,38
4,1,2,4
4,1,3,6
4,1,4,1
4,2,1,1
4,2,2,51
4,2,3,0
4,2,4,0
4,3,1,1
4,3,2,6
4,3,3,44
4,3,4,2
4,4,1,7
4,4,2,20
4,4,3,12
4,4,4,17
5,1,1,40
5,1,2,6
5,1,3,5
5,1,4,6
5,2,1,2
5,2,2,49
5,2,3,1
5,2,4,0
5,3,1,1
5,3,2,2
5,3,3,44
5,3,4,9
5,4,1,1
5,4,2,2
5,4,3,3
5,4,4,39
6,1,1,42
6,1,2,2
6,1,3,2
6,1,4,1
6,2,1,4
6,2,2,40
6,2,3,4
6,2,4,5
6,3,1,3
6,3,2,4
6,3,3,39
6,3,4,7
6,4,1,7
6,4,2,10
6,4,3,3
6,4,4,37
7,1,1,24
7,1,2,12
7,1,3,6
7,1,4,1
7,2,1,5
7,2,2,43
7,2,3,4
7,2,4,1
7,3,1,1
7,3,2,4
7,3,3,42
7,3,4,6
7,4,1,10
7,4,2,7
7,4,3,14
7,4,4,30
8,1,1,33
8,1,2,12
8,1,3,9
8,1,4,1
8,2,1,0
8,2,2,51
8,2,3,5
8,2,4,0
8,3,1,1
8,3,2,3
8,3,3,30
8,3,4,2
8,4,1,3
8,4,2,21
8,4,3,10
8,4,4,29
9,1,1,43
9,1,2,8
9,1,3,7
9,1,4,1
9,2,1,0
9,2,2,45
9,2,3,2
9,2,4,0
9,3,1,2
9,3,2,0
9,3,3,49
9,3,4,0
9,4,1,6
9,4,2,17
9,4,3,16
9,4,4,14
10,1,1,33
10,1,2,12
10,1,3,9
10,1,4,3
10,2,1,2
10,2,2,46
10,2,3,1
10,2,4,2
10,3,1,3
10,3,2,7
10,3,3,30
10,3,4,4
10,4,1,8
10,4,2,11
10,4,3,15
10,4,4,24
11,1,1,25
11,1,2,8
11,1,3,3
11,1,4,1
11,2,1,3
11,2,2,50
11,2,3,3
11,2,4,0
11,3,1,4
11,3,2,9
11,3,3,48
11,3,4,0
11,4,1,9
11,4,2,16
11,4,3,11
11,4,4,20
12,1,1,21
12,1,2,8
12,1,3,16
12,1,4,5
12,2,1,0
12,2,2,51
12,2,3,5
12,2,4,2
12,3,1,1
12,3,2,2
12,3,3,45
12,3,4,1
12,4,1,1
12,4,2,8
12,4,3,12
12,4,4,32
13,1,1,22
13,1,2,7
13,1,3,9
13,1,4,14
13,2,1,1
13,2,2,48
13,2,3,6
13,2,4,5
13,3,1,1
13,3,2,4
13,3,3,37
13,3,4,8
13,4,1,1
13,4,2,7
13,4,3,3
13,4,4,37
14,1,1,31
14,1,2,9
14,1,3,7
14,1,4,1
14,2,1,2
14,2,2,38
14,2,3,7
14,2,4,3
14,3,1,2
14,3,2,4
14,3,3,44
14,3,4,4
14,4,1,13
14,4,2,13
14,4,3,14
14,4,4,18
15,1,1,29
15,1,2,7
15,1,3,4
15,1,4,10
15,2,1,0
15,2,2,43
15,2,3,5
15,2,4,4
15,3,1,4
15,3,2,5
15,3,3,44
15,3,4,2
15,4,1,6
15,4,2,8
15,4,3,8
15,4,4,31
16,1,1,32
16,1,2,10
16,1,3,7
16,1,4,3
16,2,1,0
16,2,2,54
16,2,3,2
16,2,4,1
16,3,1,1
16,3,2,6
16,3,3,48
16,3,4,2
16,4,1,4
16,4,2,12
16,4,3,2
16,4,4,26
17,1,1,40
17,1,2,11
17,1,3,6
17,1,4,3
17,2,1,1
17,2,2,38
17,2,3,2
17,2,4,1
17,3,1,8
17,3,2,8
17,3,3,28
17,3,4,3
17,4,1,4
17,4,2,13
17,4,3,5
17,4,4,39
18,1,1,41
18,1,2,7
18,1,3,1
18,1,4,5
18,2,1,0
18,2,2,54
18,2,3,1
18,2,4,0
18,3,1,4
18,3,2,1
18,3,3,40
18,3,4,5
18,4,1,4
18,4,2,7
18,4,3,4
18,4,4,36
19,1,1,30
19,1,2,9
19,1,3,5
19,1,4,9
19,2,1,3
19,2,2,42
19,2,3,4
19,2,4,4
19,3,1,3
19,3,2,5
19,3,3,52
19,3,4,10
19,4,1,4
19,4,2,7
19,4,3,6
19,4,4,17
20,1,1,37
20,1,2,4
20,1,3,7
20,1,4,0
20,2,1,1
20,2,2,50
20,2,3,2
20,2,4,0
20,3,1,0
20,3,2,6
20,3,3,44
20,3,4,1
20,4,1,14
20,4,2,16
20,4,3,21
20,4,4,7
21,1,1,35
21,1,2,10
21,1,3,2
21,1,4,1
21,2,1,5
21,2,2,39
21,2,3,1
21,2,4,0
21,3,1,9
21,3,2,18
21,3,3,30
21,3,4,3
21,4,1,8
21,4,2,18
21,4,3,11
21,4,4,20
22,1,1,38
22,1,2,8
22,1,3,9
22,1,4,2
