dataset,objective,method,seed,iteration,n_acquired,acquisition_seconds,peak_memory_mb,cumulative_seconds,library_scoring_seconds,top1_ave,top10_ave,top100_ave,frac_top1pct,frac_top0.01pct,simple_regret,gp_noise,gp_outputscale,rank,n_scored,sobol_nodes,n_mc_samples,mean_tanimoto,median_tanimoto,p90_tanimoto,max_tanimoto,frac_pairs_gt_0.4
qm9,gap,qPO-MC-10k,3,1,200,23.596962791867554,2643.234634,28.100479125976562,3.9202439168002456,0.3676,0.34575,0.32245999999999997,0.0029895366218236174,0.0,0.2545,0.00010000041947932914,0.001503119245171547,,10000,,10000.0,0.30619905260652563,0.2982456140350877,0.4,0.7674418604651163,0.09393939393939393
qm9,gap,qPO-MC-10k,3,2,300,31.372376749990508,2643.233092,64.10955500602722,4.138300250051543,0.3758,0.37234,0.34464500000000003,0.025411061285500747,0.0,0.24629999999999996,0.00010000007750932127,0.0009246724657714367,,10000,,10000.0,0.344730828585449,0.3333333333333333,0.45173463177115075,0.7857142857142857,0.21232323232323233
qm9,gap,qPO-MC-10k,3,3,400,25.419719000114128,2643.232292,93.48293685913086,3.2253002079669386,0.386,0.37818,0.35636900000000005,0.06053811659192825,0.0,0.23609999999999998,0.00010000268230214715,0.0007735244580544531,,10000,,10000.0,0.38109082685126733,0.3728813559322034,0.5,0.8333333333333334,0.37595959595959594
qm9,gap,qPO-MC-10k,3,4,500,14.915309167001396,2643.231492,112.34277582168579,3.1280311660375446,0.4056,0.3833000000000001,0.3657379999999999,0.09865470852017937,0.0,0.21649999999999997,0.00010000081965699792,0.0006801311974413693,,10000,,10000.0,0.3604392176490449,0.35,0.47540983606557374,0.9,0.27131313131313134
qm9,gap,qPO-MC-10k,3,5,600,9.630176083184779,2643.230692,125.16634392738342,2.6002003750763834,0.4056,0.38628,0.36986300000000005,0.14424514200298955,0.0,0.21649999999999997,0.00010000001202570274,0.0006706059793941677,,10000,,10000.0,0.33724165919941107,0.3275862068965517,0.4576271186440678,0.8387096774193549,0.23232323232323232
qm9,gap,qPO-MC-10k,3,6,700,9.575307207880542,2643.229892,137.98716711997986,2.7196990421507508,0.4056,0.38920000000000005,0.373284,0.1898355754857997,0.0,0.21649999999999997,0.00010000002657761797,0.0006517409929074347,,10000,,10000.0,0.31115207438785664,0.30158730158730157,0.4423076923076923,0.8888888888888888,0.1717171717171717
qm9,gap,qPO-MC-10k,3,7,800,9.974017708096653,2643.229092,151.8304340839386,3.2244327918160707,0.4056,0.38965,0.37426000000000004,0.2257100149476831,0.0,0.21649999999999997,0.00010000004840549082,0.0006418736302293837,,10000,,10000.0,0.3010238933188084,0.28169014084507044,0.4696969696969697,0.9166666666666666,0.20565656565656565
qm9,gap,qPO-MC-10k,3,8,900,10.021489375038072,2643.228292,166.5778980255127,3.651104958029464,0.4056,0.38965,0.374581,0.2526158445440957,0.0,0.21649999999999997,0.00010000000474974513,0.0006044109468348324,,10000,,10000.0,0.3306905235376208,0.3263157894736842,0.4642857142857143,0.8571428571428571,0.24828282828282827
qm9,gap,qPO-MC-10k,3,9,1000,10.133096749894321,2643.227492,182.0598611831665,4.220862749963999,0.4056,0.39163000000000003,0.37500700000000003,0.2952167414050822,0.0,0.21649999999999997,0.00010000011388910934,0.0005792311276309192,,10000,,10000.0,0.30928776556725657,0.29850746268656714,0.45589411764705884,0.8734177215189873,0.19757575757575757
qm9,gap,qPO-MC-10k,3,10,1100,10.447722333017737,2643.226692,198.53655099868774,4.5882590839173645,0.415,0.40104999999999996,0.378211,0.33408071748878926,0.07692307692307693,0.2071,0.00010000001930166036,0.0005596490809693933,,10000,,10000.0,0.2613792212515991,0.23636363636363636,0.4328855721393036,0.9259259259259259,0.13232323232323231
qm9,gap,qPO-MC-10k,3,11,1200,33.612830833066255,2643.225892,239.8696711063385,5.428250332828611,0.4802,0.43044000000000004,0.385392,0.3617339312406577,0.5384615384615384,0.14189999999999997,0.00010000000474974513,0.0005698548629879951,,10000,,10000.0,0.40822895300859,0.4339622641509434,0.5384615384615384,0.8780487804878049,0.6458585858585859
qm9,gap,qPO-MC-10k,3,12,1300,33.4130527919624,2643.225092,298.90553402900696,16.436785417143255,0.6221,0.45389,0.38990900000000006,0.3953662182361734,0.7692307692307693,0.0,0.00010000000474974513,0.0006867522606626153,,10000,,10000.0,0.3763878044377959,0.44680851063829785,0.5714285714285714,0.9824561403508771,0.6577777777777778
qm9,gap,qPO-MC-10k,3,13,1400,29.998290583025664,2643.224292,355.69269585609436,19.176220666151494,0.6221,0.45389,0.3907900000000001,0.4312406576980568,0.7692307692307693,0.0,0.00010000556358136237,0.0009401878342032433,,10000,,10000.0,0.19512508860489786,0.1686746987951807,0.4098360655737705,0.90625,0.10828282828282829
qm9,gap,qPO-MC-10k,3,14,1500,32.81803591689095,2643.223492,425.09900093078613,24.65145770809613,0.6221,0.45389,0.3931840000000002,0.4693572496263079,0.7692307692307693,0.0,0.00010000023758038878,0.0009443176677450538,,10000,,10000.0,0.3637561663234012,0.373075100687041,0.5571662763466043,0.96,0.4197979797979798
