dataset,objective,method,seed,iteration,n_acquired,acquisition_seconds,peak_memory_mb,cumulative_seconds,library_scoring_seconds,top1_ave,top10_ave,top100_ave,frac_top1pct,frac_top0.01pct,simple_regret,gp_noise,gp_outputscale,rank,n_scored,sobol_nodes,n_mc_samples,mean_tanimoto,median_tanimoto,p90_tanimoto,max_tanimoto,frac_pairs_gt_0.4
wong_antibiotics,Mean_50uM,qPO-fast-r4-thompson-10k,0,1,150,4.426059707999229,1206.039381,5.889500856399536,0.9630331250373274,-0.187845,-0.48599168430000006,-0.89714660504,0.0,0.0,0.09887045400000001,0.04137421399354935,6.58358789706881e-09,4.0,10000,64.0,,0.22693525471371026,0.1861198738170347,0.4363081141717563,0.8256658595641646,0.12816326530612246
wong_antibiotics,Mean_50uM,qPO-fast-r4-thompson-10k,0,2,200,4.494271667208523,1204.346986,11.142054796218872,0.5293897080700845,-0.091556712,-0.25906059039999996,-0.83436252161,0.002544529262086514,0.3333333333333333,0.002582165999999997,0.03833393380045891,5.632956878720563e-10,4.0,10000,64.0,,0.18903832628326447,0.15565610859728507,0.4121915525610378,0.8408304498269896,0.10938775510204081
wong_antibiotics,Mean_50uM,qPO-fast-r4-thompson-10k,0,3,250,4.519352291943505,1204.346331,16.41690492630005,0.5668140421621501,-0.091556712,-0.1628990502,-0.7761742812300001,0.01272264631043257,0.3333333333333333,0.002582165999999997,0.03611428290605545,0.010262556374073029,4.0,10000,64.0,,0.14940924009902515,0.12631578947368421,0.2761942545428785,0.8646616541353384,0.04653061224489796
wong_antibiotics,Mean_50uM,qPO-fast-r4-thompson-10k,0,4,300,4.76167695899494,1204.346492,22.080382823944092,0.6863804159220308,-0.091556712,-0.10708795239999999,-0.56587701056,0.05343511450381679,0.3333333333333333,0.002582165999999997,0.03029434196650982,0.027999108657240868,4.0,10000,64.0,,0.3190100908674718,0.23526287838555496,0.688470066518847,1.0,0.29959183673469386
wong_antibiotics,Mean_50uM,qPO-fast-r4-thompson-10k,0,5,350,4.812493874924257,1204.345174,27.884203910827637,0.7697038329206407,-0.091556712,-0.102067456,-0.41463838633,0.089058524173028,0.3333333333333333,0.002582165999999997,0.030783969908952713,0.03939555957913399,4.0,10000,64.0,,0.2605078231163156,0.2345679012345679,0.491786619224757,0.9994404029099049,0.18775510204081633
wong_antibiotics,Mean_50uM,qPO-fast-r4-thompson-10k,0,6,400,4.927554541034624,1204.34508,33.825756788253784,0.8082788751926273,-0.091556712,-0.102067456,-0.34387944177,0.10178117048346055,0.3333333333333333,0.002582165999999997,0.030651839450001717,0.05260398983955383,4.0,10000,64.0,,0.13939160293342936,0.10813492063492064,0.29751796812760467,1.0,0.044897959183673466
wong_antibiotics,Mean_50uM,qPO-fast-r4-thompson-10k,0,7,450,4.97563441703096,1204.344833,40.01928186416626,0.9409850828815252,-0.091556712,-0.1019354374,-0.28404473231,0.10941475826972011,0.3333333333333333,0.002582165999999997,0.030815744772553444,0.05632631853222847,4.0,10000,64.0,,0.1559283089485438,0.13636363636363635,0.2976448943390972,0.7284263959390863,0.0326530612244898
wong_antibiotics,Mean_50uM,qPO-fast-r4-thompson-10k,0,8,500,5.073445333167911,1204.344127,46.43152475357056,1.0279686250723898,-0.091556712,-0.1019354374,-0.22240007939,0.11959287531806616,0.3333333333333333,0.002582165999999997,0.031602635979652405,0.05809081345796585,4.0,10000,64.0,,0.20021303655011433,0.17452830188679244,0.3692020129403307,1.0,0.06938775510204082
wong_antibiotics,Mean_50uM,qPO-fast-r4-thompson-10k,0,9,550,5.3135695001110435,1204.34388,53.216933727264404,1.1373715421650559,-0.091556712,-0.10078497639999999,-0.18397816396,0.1297709923664122,0.3333333333333333,0.002582165999999997,0.035105977207422256,0.06042170524597168,4.0,10000,64.0,,0.18192642290176012,0.16831683168316833,0.3447224749772522,0.7283464566929134,0.0563265306122449
wong_antibiotics,Mean_50uM,qPO-fast-r4-thompson-10k,0,10,600,5.453582084039226,1204.343633,60.344451665878296,1.2619967081118375,-0.091556712,-0.0995051625,-0.17424734350999999,0.13994910941475827,0.3333333333333333,0.002582165999999997,0.03400346636772156,0.07019414752721786,4.0,10000,64.0,,0.18880127472066544,0.18292682926829268,0.3181818181818182,1.0,0.026938775510204082
