rank,scale,frobenius_ratio,captured,predicted_tv,measured_tv,prediction_rel_err,prediction_corr,seconds
2,1.0,0.3469147864286424,1.0,0.012165678357788295,0.015986118494916567,0.7123656060565995,0.7047064148004203,251.44260501861572
4,1.0,0.27870843688403524,1.0000000000000002,0.012236033578752916,0.014511895927261514,0.5670351620788071,0.8236966255374278,242.72958421707153
8,1.0,0.22570265767192768,1.0000000000000002,0.007953294724731216,0.010678299238785872,0.6445335118446287,0.766225363706962,416.22742986679077
16,1.0,0.1758164969692448,1.0,0.005855121135659706,0.013811785476390776,0.8217410924570638,0.5846329659359225,214.6727638244629
2,0.05,,,0.0006082839178894147,0.002943152850138986,0.9842100243611372,0.18282145886214266,
2,0.1,,,0.0012165678357788294,0.003045640727093947,0.9201870318116615,0.3934713878130053,
2,0.25,,,0.0030414195894470737,0.0038626380459155256,0.6942801277561066,0.7246758250213611,
2,0.5,,,0.006082839178894147,0.006503237222410261,0.5469785654442476,0.8440392674515724,
2,1.0,,,0.012165678357788295,0.01583816256334314,0.7390957982715007,0.6809351106516217,
