N,rank,method,budget,seconds,peak_mb,self_tv,tv_vs_converged
10000,2,qPO-fast,32,1.0576565000228584,250.890696,0.01524500607641306,0.013770316798826322
10000,2,qPO-fast,64,2.043204708956182,253.45058,0.008922834715666423,0.006852046335424276
10000,2,qPO-fast,128,4.062386624980718,258.571655,0.004648138135812969,0.004002617268935085
10000,2,qPO-fast,256,8.077391166007146,268.813397,0.0015669933136224598,0.0011275693382439456
10000,2,qPO-fast,512,16.36807266692631,332.936068,0.0014473769028175403,0.0009054636168621321
10000,2,qPO-factorMC,30000,2.427531125023961,480.165472,0.056133333333333355,0.0395537362332021
10000,2,qPO-factorMC,100000,7.653448416851461,480.169672,0.02910999999999999,0.021428893343946362
10000,2,qPO-factorMC,300000,24.09459187509492,480.173152,0.017656666666666668,0.013233520175859024
10000,2,qPO-factorMC,1000000,78.1308962921612,480.173152,0.01055199999999999,0.007417110884898486
10000,2,qPO-factorMC,3000000,234.46939758281223,480.173152,0.005815333333333329,0.004172409237237183
10000,4,qPO-fast,32,1.0009511669632047,250.890017,0.052670775428063935,0.042754115455360675
10000,4,qPO-fast,64,2.011829791823402,253.450529,0.033378441724316324,0.021705008725804345
10000,4,qPO-fast,128,3.997659874847159,258.571502,0.02350613777697443,0.013824646816728441
10000,4,qPO-fast,256,8.134728542063385,268.813295,0.012901569025792793,0.008381074630646166
10000,4,qPO-fast,512,16.238585083046928,332.936527,0.005140345547059038,0.0037998163665067157
10000,4,qPO-factorMC,30000,2.401348208077252,480.165472,0.07446666666666667,0.05462447873107451
10000,4,qPO-factorMC,100000,7.633397416910157,480.169672,0.04135000000000001,0.03128233894896573
10000,4,qPO-factorMC,300000,22.924097207840532,480.173152,0.024603333333333338,0.01879541071401178
10000,4,qPO-factorMC,1000000,78.37431687489152,480.173152,0.014917000000000007,0.01066157777542797
10000,4,qPO-factorMC,3000000,235.07033216604032,480.173152,0.007710000000000005,0.005798864981305964
10000,8,qPO-fast,32,1.0221422088798136,250.89017,0.11486864168263991,0.08657568981278557
10000,8,qPO-fast,64,2.0249992080498487,253.450478,0.07731393226750191,0.05530145313606165
10000,8,qPO-fast,128,3.99098483286798,258.571094,0.033381085482389564,0.02630891203754618
10000,8,qPO-fast,256,8.123738333117217,268.813295,0.023445683508005362,0.016561262397852012
10000,8,qPO-fast,512,16.295641124946997,332.936017,0.014072838623359351,0.010930972624141966
10000,8,qPO-factorMC,30000,2.39347912510857,480.165472,0.08066666666666666,0.05878407256888543
10000,8,qPO-factorMC,100000,7.82908770814538,480.169672,0.04614,0.032546238087789656
10000,8,qPO-factorMC,300000,23.402274874970317,480.173152,0.02674666666666667,0.018973413036520607
10000,8,qPO-factorMC,1000000,78.20269141695462,480.173152,0.014749999999999996,0.01170922578754495
10000,8,qPO-factorMC,3000000,241.26006191712804,480.173152,0.00827933333333333,0.007576899122090571
