kernel,d,seed,rank,n,n_train,lengthscale,cov_offdiag_rel,trace_frac_r,tv_vs_ref,ref_self_tv,top10_recall,ref_top10_recall,qpo_efficiency,max_p,sobol_nodes
matern52,1,0,0,1000,30,0.3,1.0,0.0,0.08436226830729485,0.003268999999999987,1.0,1.0,1.0,0.13090775,0
matern52,1,0,2,1000,30,0.3,0.6068641991533478,0.14227789138713257,0.08436013464259806,0.003268999999999987,1.0,1.0,1.0,0.13090775,512
matern52,1,0,4,1000,30,0.3,0.43346068123130566,0.2203550890499745,0.08436004102445291,0.003268999999999987,1.0,1.0,1.0,0.13090775,512
matern52,1,0,8,1000,30,0.3,0.24140295569920167,0.3135889454049992,0.14822215565635488,0.003268999999999987,1.0,1.0,1.0,0.13090775,512
matern52,1,0,16,1000,30,0.3,0.05096113393360687,0.39717062709239276,0.04137986168902802,0.003268999999999987,1.0,1.0,1.0,0.13090775,512
matern52,1,0,32,1000,30,0.3,0.026070623855809365,0.42294247262204265,0.025963405581054592,0.003268999999999987,1.0,1.0,1.0,0.13090775,512
matern52,1,0,64,1000,30,0.3,0.03611110331883849,0.44251816186380244,0.02568439087517612,0.003268999999999987,1.0,1.0,1.0,0.13090775,512
matern52,1,1,0,1000,30,0.3,1.0,0.0,0.31055379850333176,0.004312999999999999,0.5,1.0,0.9464667497589888,0.0136645,0
matern52,1,1,2,1000,30,0.3,0.32821398336346475,0.2966639857571996,0.06394467851149047,0.004312999999999999,1.0,1.0,1.0,0.0136645,512
matern52,1,1,4,1000,30,0.3,0.19110415232947042,0.3854860786153578,0.06382210856061468,0.004312999999999999,1.0,1.0,1.0,0.0136645,512
matern52,1,1,8,1000,30,0.3,0.09502363162580972,0.4703549436850588,0.04141419097901388,0.004312999999999999,1.0,1.0,1.0,0.0136645,512
matern52,1,1,16,1000,30,0.3,0.020969062100837862,0.5374843981210721,0.010683391170067662,0.004312999999999999,1.0,1.0,1.0,0.0136645,512
matern52,1,1,32,1000,30,0.3,0.0101355788227491,0.5579378834887131,0.010942052750342098,0.004312999999999999,1.0,1.0,1.0,0.0136645,512
matern52,1,1,64,1000,30,0.3,0.014060266357851483,0.5729409446218668,0.01470011352413239,0.004312999999999999,1.0,1.0,1.0,0.0136645,512
matern52,2,0,0,1000,30,0.3,1.0,0.0,0.34695698109813033,0.002345250000000002,0.6,1.0,0.8391129181468324,0.06764175,0
matern52,2,0,2,1000,30,0.3,0.5957135423092937,0.32637242428440805,0.2400574309840242,0.002345250000000002,0.7,1.0,0.9082852279455298,0.06764175,512
matern52,2,0,4,1000,30,0.3,0.3591321582299812,0.5219076230074878,0.22807304072364654,0.002345250000000002,0.8,1.0,0.9408535005920663,0.06764175,512
matern52,2,0,8,1000,30,0.3,0.1900243853713889,0.6928305142858466,0.14583364518582784,0.002345250000000002,0.8,1.0,0.9398144935982831,0.06764175,512
matern52,2,0,16,1000,30,0.3,0.09446327892809474,0.8290587095520892,0.12341777638392112,0.002345250000000002,0.8,1.0,0.9425678332223208,0.06764175,512
matern52,2,0,32,1000,30,0.3,0.026930540184216947,0.9279015354806174,0.06813696312395395,0.002345250000000002,0.9,1.0,0.99770805580225,0.06764175,512
matern52,2,0,64,1000,30,0.3,0.006143521657203175,0.9683262720153889,0.05823496206908796,0.002345250000000002,0.9,1.0,0.99770805580225,0.06764175,512
matern52,2,1,0,1000,30,0.3,1.0,0.0,0.32251877232656895,0.0016417499999999894,0.7,1.0,0.921197845962275,0.1309085,0
matern52,2,1,2,1000,30,0.3,0.37344069708518673,0.4225139001696617,0.32244160730845445,0.0016417499999999894,0.7,1.0,0.921197845962275,0.1309085,512
matern52,2,1,4,1000,30,0.3,0.2567199847745384,0.559200207712304,0.31874172336574436,0.0016417499999999894,0.7,1.0,0.9133039340029514,0.1309085,512
matern52,2,1,8,1000,30,0.3,0.15530096898465479,0.7043922609801962,0.26196811168755546,0.0016417499999999894,0.7,1.0,0.9133039340029514,0.1309085,512
matern52,2,1,16,1000,30,0.3,0.06781497652132372,0.8459087800582409,0.12355600841891176,0.0016417499999999894,0.9,1.0,0.966724022623579,0.1309085,512
matern52,2,1,32,1000,30,0.3,0.019735993511105575,0.9329319215363201,0.08595946059788978,0.0016417499999999894,0.9,1.0,0.9947980482017009,0.1309085,512
matern52,2,1,64,1000,30,0.3,0.0048572138478132935,0.9697013723379163,0.04182315115550828,0.0016417499999999894,0.9,1.0,0.9947980482017009,0.1309085,512
matern52,3,0,0,1000,30,0.3,1.0,0.0,0.38467548893073505,0.00272725000000002,0.5,1.0,0.7665079883868791,0.17771325,0
matern52,3,0,2,1000,30,0.3,0.6962681178999158,0.18597475242699738,0.30511365570669935,0.00272725000000002,0.6,1.0,0.9071678006175814,0.17771325,512
matern52,3,0,4,1000,30,0.3,0.5701528059844356,0.29043111818094974,0.2922408358468547,0.00272725000000002,0.6,1.0,0.9071678006175812,0.17771325,512
matern52,3,0,8,1000,30,0.3,0.4005439161035138,0.4411011109568156,0.22787252281050221,0.00272725000000002,0.8,1.0,0.9664455316845098,0.17771325,512
matern52,3,0,16,1000,30,0.3,0.2453863869835843,0.6055252296517668,0.16005736677762644,0.00272725000000002,0.7,1.0,0.9229499689379782,0.17771325,512
matern52,3,0,32,1000,30,0.3,0.12643249551169497,0.7608093579230469,0.13862116787536172,0.00272725000000002,0.7,1.0,0.9229499689379782,0.17771325,512
matern52,3,0,64,1000,30,0.3,0.050936850848860626,0.880648149621831,0.10874066945625674,0.00272725000000002,0.9,1.0,0.9958242995659634,0.17771325,512
matern52,3,1,0,1000,30,0.3,1.0,0.0,0.4143992941412373,0.0025630000000000123,0.6,1.0,0.6245169065797277,0.192295,0
matern52,3,1,2,1000,30,0.3,0.6875952852824259,0.18930376916129585,0.41197264579440257,0.0025630000000000123,0.6,1.0,0.6245169065797277,0.192295,512
matern52,3,1,4,1000,30,0.3,0.5575354143072261,0.29789813794814324,0.3516104930579055,0.0025630000000000123,0.4,1.0,0.5861873427109628,0.192295,512
matern52,3,1,8,1000,30,0.3,0.38678857470811623,0.44834418737220566,0.26873795566755837,0.0025630000000000123,0.6,1.0,0.8996293628091941,0.192295,512
matern52,3,1,16,1000,30,0.3,0.24153700921452242,0.6103585426744128,0.15577022674034002,0.0025630000000000123,0.8,1.0,0.9641240968253448,0.192295,512
matern52,3,1,32,1000,30,0.3,0.12028283697731099,0.7676559936317279,0.1206609281679495,0.0025630000000000123,0.9,1.0,0.9730472016795524,0.192295,512
matern52,3,1,64,1000,30,0.3,0.04808165330185789,0.8850113119470684,0.0979835477367538,0.0025630000000000123,0.9,1.0,0.9970947761208443,0.192295,512
matern52,5,0,0,1000,30,0.3,1.0,0.0,0.11188445618609599,0.007090249999999999,0.7,1.0,0.9314509053902302,0.0172775,0
