N,rank,sobol_nodes,points,mc_samples,fast_pom_seconds,fast_peak_mb,fast_candidates_per_second,factormc_pom_seconds,factormc_peak_mb,flite_seconds,flite_peak_mb,dense_build_seconds,dense_mc10k_seconds,dense_peak_mb,dense_cov_gb
10000,128,64,129,100000,2.0076941249426454,253.450223,4980.838403502164,8.395513666095212,480.169672,0.0061442500445991755,0.321144,0.23089737491682172,7.407235707854852,1760.083984,0.8
50000,4,64,129,100000,10.183492375072092,336.883956,4909.906951213879,38.006550332996994,480.813152,0.030858458019793034,1.601144,,,,20.0
50000,8,64,129,100000,10.318775417050347,336.884211,4845.536217154405,38.673401582986116,480.813152,0.026928249979391694,1.601144,,,,20.0
50000,16,64,129,100000,10.238554124953225,336.88416,4883.502044311205,39.31204550014809,480.813152,0.02658824995160103,1.601144,,,,20.0
50000,32,64,129,100000,10.129641874926165,336.883956,4936.008658288766,40.570736665977165,480.813152,0.02729141595773399,1.601144,,,,20.0
50000,64,64,129,100000,10.148559000110254,336.884364,4926.807835423413,41.35200187494047,480.813152,0.027839833172038198,1.601144,,,,20.0
50000,128,64,129,100000,10.070870833937079,336.884007,4964.813949505609,43.55668116686866,480.813152,0.02755541610531509,1.601144,,,,20.0
100000,4,64,129,100000,20.581210958072916,673.683905,4858.800592623794,79.00465029082261,481.613152,0.055269042029976845,3.201144,,,,80.0
100000,8,64,129,100000,20.898596917046234,673.684313,4785.010228051893,80.6059644590132,481.613152,0.05861395807005465,3.201144,,,,80.0
100000,16,64,129,100000,42.07562154112384,673.683956,2376.6731503244005,136.1882598749362,481.613152,0.05640033399686217,3.201144,,,,80.0
100000,32,64,129,100000,22.044033749960363,673.68416,4536.374836578165,108.88210083404556,481.613152,0.11551262508146465,3.201144,,,,80.0
100000,64,64,129,100000,43.242992042098194,673.684007,2312.5134334517684,121.92019524984062,481.613152,0.05479520815424621,3.201144,,,,80.0
100000,128,64,129,100000,21.454597416101024,673.683956,4661.005660490886,138.78461312502623,481.613152,0.1284897921141237,3.201144,,,,80.0
250000,4,64,129,100000,96.06928979186341,1684.083905,2602.2884164297607,243.7886972501874,484.013152,0.3740241250488907,8.001144,,,,500.0
250000,8,64,129,100000,87.66002795798704,1684.083905,2851.9269936785545,277.4151532088872,484.013152,0.15988750010728836,8.001144,,,,500.0
250000,16,64,129,100000,58.53635608404875,1684.083854,4270.850061815266,370.97435608296655,484.013152,0.4475146671757102,8.001144,,,,500.0
250000,32,64,129,100000,74.87749445810914,1684.083956,3338.7869320315554,282.7148209582083,484.013152,0.26280637504532933,8.001144,,,,500.0
250000,64,64,129,100000,62.60451233293861,1684.083905,3993.3223769952683,396.1276389998384,484.013152,0.15675420803017914,8.001144,,,,500.0
250000,128,64,129,100000,58.14306587493047,1684.083905,4299.738863749743,226.22325679217465,484.013152,0.1513404999859631,8.001144,,,,500.0
