N,rank,sobol_nodes,points,mc_samples,fast_pom_seconds,fast_peak_mb,fast_candidates_per_second,factormc_pom_seconds,factormc_peak_mb,flite_seconds,flite_peak_mb,dense_build_seconds,dense_mc10k_seconds,dense_peak_mb,dense_cov_gb
1000,4,64,129,100000,0.20374204101972282,238.009959,4908.167185304662,0.7013096248265356,480.084272,0.0008226667996495962,0.0332,0.0015419998671859503,0.10737462504766881,168.075472,0.008
1000,8,64,129,100000,0.20790604199282825,238.007293,4809.865025637375,0.7232167080510408,480.084272,0.000842957990244031,0.033144,0.0015443749725818634,0.10724916704930365,168.075472,0.008
1000,16,64,129,100000,0.20895729190669954,238.007446,4785.666922054603,0.7484615000430495,480.084272,0.000857125036418438,0.033144,0.0017369161359965801,0.10651058400981128,168.075472,0.008
1000,32,64,129,100000,0.2064237908925861,238.007344,4844.402845602018,0.7944513340480626,480.084272,0.0008335839956998825,0.033144,0.001674083061516285,0.1058504160027951,168.075472,0.008
1000,64,64,129,100000,0.21292729210108519,238.007497,4696.438817834867,0.7970250421203673,480.084272,0.0008251671679317951,0.033144,0.0016094169113785028,0.10481437505222857,168.075472,0.008
1000,128,64,129,100000,0.20467233285307884,238.007395,4885.85822060198,0.8718415410257876,480.084272,0.0008164581377059221,0.033144,0.001844167010858655,0.10690008290112019,168.075472,0.008
5000,4,64,129,100000,1.0160836251452565,281.780685,4920.854815749259,3.7836041250266135,480.086672,0.0027403749991208315,0.161144,0.04934916598722339,1.8468043329194188,840.04344,0.2
5000,8,64,129,100000,1.0127218749839813,281.780481,4937.189689991724,3.820825792150572,480.086672,0.0036964579485356808,0.161144,0.04680045903660357,1.8179088330361992,840.04344,0.2
5000,16,64,129,100000,1.0169775420799851,281.780736,4916.529414969865,3.815318709006533,480.086672,0.002712792018428445,0.161144,0.04894108301959932,1.833155957981944,840.04344,0.2
5000,32,64,129,100000,1.0171959588769823,281.780991,4915.473716116769,3.9367007908876985,480.086672,0.003485750174149871,0.161144,0.04874024982564151,1.8472344998735934,840.04344,0.2
5000,64,64,129,100000,1.0270987921394408,281.780787,4868.080887900792,4.056779709178954,480.086672,0.002738083014264703,0.161144,0.052584083983674645,1.8161233328282833,840.04344,0.2
5000,128,64,129,100000,1.0110019999556243,281.780685,4945.588634067453,4.05747383297421,480.086672,0.002601874992251396,0.161144,0.0519450418651104,1.8099949590396136,840.04344,0.2
10000,4,64,129,100000,2.0587314169388264,253.450172,4857.360177108106,7.547631208086386,480.169672,0.005281874909996986,0.321144,0.20378562505356967,7.395548291038722,1760.083984,0.8
10000,8,64,129,100000,2.019787540892139,253.450274,4951.015786335133,7.5815557080786675,480.169672,0.006361125037074089,0.321144,0.20199979189783335,7.3197179168928415,1760.083984,0.8
10000,16,64,129,100000,2.021658917190507,253.450274,4946.4328106825105,7.915492083877325,480.169672,0.005214083008468151,0.321144,0.19978933385573328,7.230280416086316,1760.083984,0.8
10000,32,64,129,100000,2.0160714159719646,253.450121,4960.141749333278,7.814529208932072,480.169672,0.005004417151212692,0.321144,0.20638379105366766,7.285563083831221,1760.083984,0.8
10000,64,64,129,100000,2.013184833107516,253.450427,4967.253793862623,8.049074667040259,480.169672,0.004999709082767367,0.321144,0.20372649980708957,7.245820207986981,1760.083984,0.8
