snapshot,N,rank,points,nodes,seconds,tv_vs_previous,tv_scramble_pair,mc_samples,max_abs_z,mean_z,sd_z,tv_fast_vs_fmc,tv_mc_noise_floor
qm9_gap_seed7,1000,2,257,64.0,0.6485891342163086,,0.0027181570913849436,,,,,,
qm9_gap_seed7,1000,2,257,128.0,1.2462739944458008,0.0036113678148397338,0.0007736340723303187,,,,,,
qm9_gap_seed7,1000,2,257,256.0,2.3284900188446045,0.000768940952650252,0.0003405324921731362,,,,,,
qm9_gap_seed7,1000,2,257,512.0,4.239917039871216,0.00020313300077483943,0.00030795653357497995,,,,,,
qm9_gap_seed7,1000,2,257,1024.0,6.906955003738403,0.00018447234745773677,9.954811262501186e-05,,,,,,
qm9_gap_seed7,1000,2,257,2048.0,11.441019773483276,8.72541378519545e-05,2.9462255543810894e-05,,,,,,
qm9_gap_seed7,1000,2,257,,32.64407396316528,,,4000000.0,2.9396454039331745,0.006752586422340763,0.9602646089003296,0.005963574068242884,0.007776951616473745
qm9_gap_seed7,1000,8,257,64.0,0.3499488830566406,,0.030742706686192958,,,,,,
qm9_gap_seed7,1000,8,257,128.0,0.6995692253112793,0.02131931973352067,0.010611931282533658,,,,,,
qm9_gap_seed7,1000,8,257,256.0,1.4253711700439453,0.008218355678092829,0.0070764185364579155,,,,,,
qm9_gap_seed7,1000,8,257,512.0,2.8444888591766357,0.004668294090706059,0.004098161126923225,,,,,,
qm9_gap_seed7,1000,8,257,1024.0,6.935247182846069,0.002319655407720953,0.0023266976947322548,,,,,,
qm9_gap_seed7,1000,8,257,2048.0,22.79342222213745,0.0015845228108071394,0.001472909910259917,,,,,,
qm9_gap_seed7,1000,8,257,,58.088475942611694,,,4000000.0,3.012740915949911,0.003546450369719194,1.03433252635246,0.006534116638605531,0.007773595452413004
qm9_gap_seed7,1000,32,257,64.0,0.9147589206695557,,0.11491354259228091,,,,,,
qm9_gap_seed7,1000,32,257,128.0,1.7778301239013672,0.06564520547852314,0.0639354293695949,,,,,,
qm9_gap_seed7,1000,32,257,256.0,2.679661989212036,0.032610496241938514,0.04612887995458885,,,,,,
qm9_gap_seed7,1000,32,257,512.0,4.7650580406188965,0.022576298028588775,0.030706987606862843,,,,,,
qm9_gap_seed7,1000,32,257,1024.0,7.204384088516235,0.014482078610102233,0.021759495121000505,,,,,,
qm9_gap_seed7,1000,32,257,2048.0,11.496184825897217,0.010960986723243369,0.014237000910694117,,,,,,
qm9_gap_seed7,1000,32,257,,33.364999294281006,,,4000000.0,7.9435229691305675,0.007180767884554761,2.0423906364860396,0.01259292329068968,0.007778455440668842
