snapshot,N_scored,method,seconds,peak_memory_mb,batch,batch_oracle_mean,batch_oracle_max,batch_oracle_top10,n_in_true_top1pct,n_in_true_top0.01pct,frac_outside_prefilter,mean_tanimoto,median_tanimoto,p90_tanimoto,max_tanimoto,frac_pairs_gt_0.4,mc_seed,cov_seconds,rank,factorization_seconds,sobol_nodes,pom_seconds,n_floored,max_p
qm9_gap_seed7,10000,prefiltered-MC-qPO-10000,35.41223075101152,1760.083646,100,0.32180299999999995,0.3733,0.35551999999999995,8,0,0.0,0.31377985416823595,0.31158186076218863,0.4153846153846154,0.7446808510638298,0.1292929292929293,0.0,5.678647791966796,,,,,,
qm9_gap_seed7,10000,prefiltered-MC-qPO-10000,30.290401583886705,1760.083048,100,0.322077,0.3733,0.35503,8,0,0.0,0.29741016788582014,0.29411764705882354,0.40384615384615385,0.7446808510638298,0.10222222222222223,1.0,5.678647791966796,,,,,,
qm9_gap_seed7,10000,prefiltered-MC-qPO-10000,31.100987375946715,1760.083048,100,0.324367,0.3771,0.36075,11,0,0.0,0.3158519639085908,0.3090909090909091,0.42,0.7446808510638298,0.1408080808080808,2.0,5.678647791966796,,,,,,
qm9_gap_seed7,10000,prefiltered-fast-qPO-r2,29.325284166960046,1136.838529,100,0.32927499999999993,0.3733,0.36526000000000003,15,0,0.0,0.33624709706361344,0.3333333333333333,0.43478260869565216,0.7446808510638298,0.18868686868686868,,,2.0,1.860367999994196,256.0,,,
qm9_gap_seed7,10000,prefiltered-fast-qPO-r4,24.124152416945435,1136.832266,100,0.32921100000000003,0.3733,0.36566,15,0,0.0,0.3445820845028789,0.34,0.4444444444444444,0.7446808510638298,0.2175757575757576,,,4.0,2.6794620419386774,256.0,,,
qm9_gap_seed7,10000,prefiltered-fast-qPO-r8,14.481110417167656,1136.832215,100,0.328635,0.3733,0.36554,14,0,0.0,0.34389774161087666,0.33962264150943394,0.4423392181588904,0.7446808510638298,0.2107070707070707,,,8.0,0.900637875078246,256.0,,,
qm9_gap_seed7,133702,full-library-fast-qPO-r2,232.26314054103568,3285.798732,100,0.33369299999999996,0.3778,0.37221000000000004,23,0,0.0,0.37482440563744457,0.37254901960784315,0.47058823529411764,0.9487179487179487,0.3416161616161616,,,2.0,8.366311750025488,256.0,223.8968287910102,0.0,0.0008219325182873256
qm9_gap_seed7,133702,full-library-fast-qPO-r4,160.72730387502816,3285.798732,100,0.33374499999999996,0.3778,0.37221000000000004,23,0,0.0,0.37993045951787163,0.375,0.4716981132075472,0.9487179487179487,0.3597979797979798,,,4.0,23.34392216708511,256.0,137.38338170794304,0.0,0.0008336706923911054
qm9_gap_seed7,133702,full-library-fast-qPO-r8,237.2723939169664,3285.798732,100,0.331911,0.3771,0.37077,21,0,0.0,0.36793564462466655,0.36538461538461536,0.4643687707641199,0.9487179487179487,0.3113131313131313,,,8.0,8.169523166958243,256.0,229.10287075000815,0.0,0.0008751309249017988
qm9_gap_seed7,133702,full-library-F-LITE,0.060122417053207755,4.27904,100,0.33388200000000007,0.3778,0.37221000000000004,24,0,0.0,0.37527785729018176,0.37254901960784315,0.47058823529411764,0.9487179487179487,0.3426262626262626,,,0.0,,,,,
qm9_gap_seed7,133702,full-library-UCB,0.0,0.0,100,0.33362499999999995,0.3771,0.36702,22,0,0.0,0.3916513433253858,0.3888888888888889,0.4909090909090909,0.8958333333333334,0.43474747474747477,,,,,,,,
qm9_gap_seed7,133702,full-library-Greedy,0.0,0.0,100,0.33389,0.3771,0.36594999999999994,24,0,0.0,0.39861408200496523,0.3966885604816639,0.52,0.8958333333333334,0.48484848484848486,,,,,,,,
