dataset,seed,iteration,N,rank,method,n_mc_samples,factorization_seconds,pom_seconds,total_seconds,peak_memory_mb,tv_error,spearman,top10_recall,top100_recall,top100_jaccard,qpo_efficiency,mean_batch_tanimoto,snapshot,batch,qpo_objective,qpo_efficiency_normalised,l1_error,max_abs_error,top10_jaccard,top25_recall,top25_jaccard,top50_recall,top50_jaccard,mean_tanimoto,median_tanimoto,p90_tanimoto,max_tanimoto,frac_pairs_gt_0.4,batch_oracle_mean,batch_oracle_max,batch_oracle_top10,mc_seed,cov_offdiag_fro,cov_offdiag_rel,corr_offdiag_rmse,corr_offdiag_max,corr_true_rmse,diag_max_abs_err,quot_fro,quot_rel,sobol_nodes,quad_self_tv,min_d,eig_seconds,N_scored,seconds,n_in_true_top1pct,n_in_true_top0.01pct,frac_outside_prefilter,cov_seconds,n_floored,max_p,objective,n_acquired,cumulative_seconds,library_scoring_seconds,top1_ave,top10_ave,top100_ave,frac_top1pct,frac_top0.01pct,simple_regret,gp_noise,gp_outputscale
qm9_gap_bo0,-1,0,1000,,reference-2nd-seed,10000000.0,0.0,113.64254188537598,113.64254188537598,,0.0051685,0.9995772724707498,1.0,0.99,0.9801980198019802,0.9998484901651428,0.2322978707723373,qm9_gap_bo0_iter10,100.0,0.3048845,0.9997745579359272,0.010337,7.099999999999988e-05,1.0,1.0,1.0,0.98,0.9607843137254902,0.2322978707723373,0.2105263157894736,0.4444444444444444,0.9108910891089108,0.1408080808080808,0.344831,0.4107,0.39186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qm9_gap_bo0,-1,0,1000,,qPO-MC-10000,10000.0,0.0,0.1105968952178955,0.1105968952178955,168.074784,0.1166181999999999,0.8560330101784747,0.8,0.78,0.639344262295082,0.9586558519689884,0.230462851342297,qm9_gap_bo0_iter10,100.0,0.2923236,0.9384811548489322,0.2332363999999999,0.0024524,0.6666666666666666,0.84,0.7241379310344828,0.76,0.6129032258064516,0.230462851342297,0.2105263157894736,0.4375856164383565,0.9108910891089108,0.138989898989899,0.3457099999999999,0.4107,0.39186,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qm9_gap_bo0,-1,0,1000,,qPO-MC-10000,10000.0,0.0,0.1085901260375976,0.1085901260375976,168.074784,0.1169723,0.8426775217063767,0.8,0.78,0.639344262295082,0.960176197411412,0.227316643669751,qm9_gap_bo0_iter10,100.0,0.2927872000000001,0.9407433830070367,0.2339446,0.001641,0.6666666666666666,0.72,0.5625,0.92,0.8518518518518519,0.227316643669751,0.2054794520547945,0.4433080808080812,0.9108910891089108,0.1361616161616161,0.3446489999999999,0.4107,0.39234,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qm9_gap_bo0,-1,0,1000,,qPO-MC-10000,10000.0,0.0,0.1079208850860595,0.1079208850860595,168.074784,0.1159749,0.8597483782177496,0.8,0.74,0.5873015873015873,0.9597383930184792,0.2310777707901944,qm9_gap_bo0_iter10,100.0,0.2926537,0.9400919432764347,0.2319498,0.0018589999999999,0.6666666666666666,0.8,0.6666666666666666,0.84,0.7241379310344828,0.2310777707901944,0.2121212121212121,0.4262536162005786,0.9108910891089108,0.1236363636363636,0.343988,0.4107,0.3911099999999999,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qm9_gap_bo0,-1,0,1000,,qPO-MC-10000,10000.0,0.0,0.1087400913238525,0.1087400913238525,168.074784,0.1168951,0.8452506193857653,0.9,0.78,0.639344262295082,0.9597747947320492,0.2343982193451907,qm9_gap_bo0_iter10,100.0,0.2926648,0.9401461079281928,0.2337902,0.0020263,0.8181818181818182,0.76,0.6129032258064516,0.88,0.7857142857142857,0.2343982193451907,0.2151218184292908,0.4428896103896105,0.9108910891089108,0.1412121212121212,0.345591,0.4107,0.39059,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qm9_gap_bo0,-1,0,1000,,qPO-MC-10000,10000.0,0.0,0.1081562042236328,0.1081562042236328,168.074784,0.1183338999999999,0.8417948461902663,0.7,0.8,0.6666666666666666,0.9709304441960092,0.2334117581774066,qm9_gap_bo0_iter10,100.0,0.2960665,0.9567453778277244,0.2366677999999999,0.0017022,0.5384615384615384,0.8,0.6666666666666666,0.76,0.6129032258064516,0.2334117581774066,0.2133333333333333,0.4509803921568627,0.9108910891089108,0.1458585858585858,0.345944,0.4107,0.39031,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qm9_gap_bo0,-1,0,1000,0.0,qPO-fast-eig,0.0,0.0528647899627685,0.0063779354095458,0.0592427253723144,5.198904,0.0353076044986811,0.9919400465376298,0.8,0.94,0.8867924528301887,0.9964204981656488,0.2407294893705868,qm9_gap_bo0_iter10,100.0,0.3038392,0.9946738092438082,0.0706152089973622,0.0018385709698972,0.6666666666666666,0.84,0.7241379310344828,0.92,0.8518518518518519,0.2407294893705868,0.2142857142857142,0.4683939873417723,0.9108910891089108,0.1624242424242424,0.3469509999999999,0.4107,0.39186,,0.0063033024220934,1.0,0.020250600242374,0.6038767292158631,0.020250600242374,0.0,0.0060445489275374,0.5358137665113728,0.0,0.0,0.0001726313771362,0.0528340339660644,,,,,,,,,,,,,,,,,,,,
qm9_gap_bo0,-1,0,1000,0.0,qPO-factorMC,2000000.0,0.0528647899627685,14.094762086868286,14.147626876831056,480.083096,0.0367679999999999,0.9910058586650524,0.8,0.94,0.8867924528301887,0.9965454445879012,0.2390136913887375,qm9_gap_bo0_iter10,100.0,0.3038772999999999,0.9948597257511927,0.0735359999999999,0.0019424,0.6666666666666666,0.84,0.7241379310344828,0.92,0.8518518518518519,0.2390136913887375,0.2121212121212121,0.4677419354838709,0.9108910891089108,0.161010101010101,0.347001,0.4107,0.39186,,0.0063033024220934,1.0,0.020250600242374,0.6038767292158631,0.020250600242374,0.0,0.0060445489275374,0.5358137665113728,,,,,,,,,,,,,,,,,,,,,,,,
qm9_gap_bo0,-1,0,1000,2.0,qPO-fast-eig,0.0,0.0529191493988037,3.3144259452819824,3.367345094680786,293.599085,0.0102978153031549,0.9987553105387498,0.9,0.98,0.9607843137254902,0.9997196084225038,0.2301588142472968,qm9_gap_bo0_iter10,100.0,0.3048452,0.9995827857905136,0.0205956306063099,0.0003249562989032,0.8181818181818182,0.96,0.9230769230769232,0.96,0.9230769230769232,0.2301588142472968,0.208955223880597,0.4375,0.9108910891089108,0.1337373737373737,0.344185,0.4107,0.39166,,0.0051651167972837,0.8194302686762625,0.0170251956008766,0.6038629938645753,0.020250600242374,5.421010862427522e-20,0.0050721493606044,0.4496162552068095,1024.0,5.655461847802229e-05,0.000172627218845,0.0528340339660644,,,,,,,,,,,,,,,,,,,,
qm9_gap_bo0,-1,0,1000,2.0,qPO-factorMC,2000000.0,0.0529191493988037,16.537374258041382,16.590293407440186,480.083096,0.0132638,0.9978926133374376,0.9,0.96,0.9230769230769232,0.998853509994238,0.2307622814860544,qm9_gap_bo0_iter10,100.0,0.3045811,0.9982940574545446,0.0265276,0.0003725,0.8181818181818182,0.96,0.9230769230769232,0.96,0.9230769230769232,0.2307622814860544,0.2111111111111111,0.4328512078781351,0.9108910891089108,0.1290909090909091,0.3442619999999999,0.4107,0.39166,,0.0051651167972837,0.8194302686762625,0.0170251956008766,0.6038629938645753,0.020250600242374,5.421010862427522e-20,0.0050721493606044,0.4496162552068095,,,,,,,,,,,,,,,,,,,,,,,,
