ackley d=100, 40 iters x batch 10, seeds [0, 1, 2, 3, 4]
/Users/petercotton/github/winning/research/qpo/turbo_race.py:152: UserWarning: The balance properties of Sobol' points require n to be a power of 2.
  X = qmc.Sobol(d, scramble=True, seed=seed).random(n_init)
  cholesky-5k  seed 0: best   9.2315  (371 evals, acq  97.9s, total   423s)
  cholesky-5k  seed 1: best   9.3578  (380 evals, acq  92.2s, total   434s)
  cholesky-5k  seed 2: best   9.1911  (361 evals, acq  92.9s, total   412s)
  cholesky-5k  seed 3: best   9.6316  (377 evals, acq  98.9s, total   440s)
  cholesky-5k  seed 4: best   9.4028  (376 evals, acq 100.9s, total   457s)
  factor-5k    seed 0: best   9.3997  (386 evals, acq  15.2s, total   361s)
  factor-5k    seed 1: best   9.3095  (379 evals, acq  16.8s, total   399s)
  factor-5k    seed 2: best   8.6901  (371 evals, acq  18.5s, total   412s)
  factor-5k    seed 3: best   9.3670  (371 evals, acq  15.5s, total   351s)
  factor-5k    seed 4: best   8.7622  (389 evals, acq  14.8s, total   367s)
  factor-20k   seed 0: best   9.3258  (391 evals, acq  51.6s, total   392s)
  factor-20k   seed 1: best   9.1871  (405 evals, acq  47.6s, total   357s)
  factor-20k   seed 2: best   9.0608  (389 evals, acq  40.4s, total   316s)
