n,family,regime,M,reps,cond,factor_trace_fraction,loading_spread,median_var_ratio,mean_var_ratio,total_var_ratio,median_var_ratio_per_second,total_var_ratio_per_second,seconds_rb,seconds_raw,tv_between_estimators,max_p
200,factor_r5,moderate,256,24,49433459399188.57,0.15602859283699771,0.4971106249973313,1.6903508264961136,4.099474428995154,1.665972905085356,0.0361387492348818,0.03561756299654499,0.03390548612029912,0.0007248802091150234,0.055145711706916165,0.10807291666666667
200,factor_r20,moderate,256,24,17601608429856.84,0.05356077617607988,0.29659038293012546,1.304598994186366,44162.461202814964,1.3781337676676886,0.038700914753299634,0.04088232299643471,0.033227065995257966,0.000985680545757835,0.055835062789534234,0.08056640625
200,decay_a0.25,moderate,256,24,2844627140525.1343,0.014293311540235954,0.11924810674404233,1.0150041712585145,15611325.080096977,1.090918191276078,0.031841343711845986,0.03422281609626986,0.030733618089774,0.0009641336703983446,0.05621571816575077,0.14339192708333334
200,decay_a0.5,moderate,256,24,7430171561767.344,0.03736016836581286,0.19277871556084347,1.276532655336622,673.9278870920468,1.1944464065409397,0.057936381298859065,0.05421083601826022,0.028650586784351617,0.0013003281298248719,0.054369950864100264,0.13590494791666666
200,decay_a1,moderate,256,24,33977754724759.04,0.1706714560458306,0.41203359177691495,1.7967001784858139,2741.902431048814,2.0010326026195386,0.03531091270704753,0.03932669924628304,0.030206414909722906,0.0005936527935167154,0.046973199774332855,0.12239583333333333
200,decay_a2,moderate,256,24,121575590258256.23,0.6106189716332817,0.7800461246105909,3.083499245979263,6.165059069586993,3.3872634169645064,0.06847628472875644,0.07522207585872129,0.028451878499860566,0.0006318402496011307,0.02720775667985732,0.19612630208333334
200,clustered,moderate,256,24,20559344550393.42,0.12155605612838481,0.32132163513562323,1.3028234243781682,23.138956578700984,1.252670795217003,0.04905078009091846,0.04716255369128963,0.022065446168805163,0.000830755210093533,0.031321264301492645,0.24609375
200,random_dense,moderate,256,24,4409573583232.61,0.014745907626696008,0.1485108501086655,1.1125005862480348,74702713.7019505,1.2285900146608912,0.018224980201365214,0.020126756758218557,0.02948242188237297,0.00048298091860488057,0.0671960323080013,0.09537760416666667
200,illcond_1e4,moderate,256,24,9031333386742.068,0.04543925318789962,0.2125256607977919,1.2006746710395677,814.2146436128619,1.5674811473019215,0.028423192392351398,0.03710648629122117,0.03440359199885279,0.0008144253709663948,0.04891727469954259,0.10026041666666667
