eps,nodes,rank,n,tv,ref_self_tv,rel_median,rel_bottom_quartile,rel_top_quartile,n_effective,max_p
1.0,256,4,300,0.01057221290409535,0.0026877500000000044,0.017303370844366263,0.034715250115081545,0.014040618553695434,257,0.047812625
1.0,1024,4,300,0.0030724771720276687,0.0026877500000000044,0.007612286578462632,0.02324447543469623,0.004694165821805699,257,0.047812625
1.0,4096,4,300,0.0020090471640246054,0.0026877500000000044,0.006134224713046782,0.023220037488886024,0.0025011408207062684,257,0.047812625
0.3,256,4,300,0.021742279226648994,0.001986375000000005,0.04551234232062955,0.05525297204827795,0.02723328323481105,199,0.10591825
0.3,1024,4,300,0.005060336218591608,0.001986375000000005,0.015275567836037451,0.030847389309332673,0.008918851897672605,199,0.10591825
0.3,4096,4,300,0.001968673720797452,0.001986375000000005,0.009086615911982194,0.03460097587218114,0.0035363484664350745,199,0.10591825
0.1,256,4,300,0.036666626299710264,0.001637250000000015,0.12353100431532099,0.14924312768395395,0.05879750266754497,127,0.14819275
0.1,1024,4,300,0.0084503830901301,0.001637250000000015,0.031128399375619217,0.05506479625626917,0.018737734446776802,127,0.14819275
0.1,4096,4,300,0.003419607377244083,0.001637250000000015,0.0159047474992213,0.0410914671384285,0.006060518014492436,127,0.14819275
0.03,256,4,300,0.0492235065669791,0.0012142500000000118,0.2773535491061878,0.4709607694108232,0.12572777053062065,86,0.170784125
0.03,1024,4,300,0.014405354741511072,0.0012142500000000118,0.06494925456495285,0.13957003654864839,0.024248746393363767,86,0.170784125
0.03,4096,4,300,0.006259022114322556,0.0012142500000000118,0.036764679627856164,0.07297262081796049,0.01305790849920572,86,0.170784125
0.01,256,4,300,0.05792001275671301,0.0010703749999999928,0.47079752949155806,0.8756325987860417,0.11554174744060766,64,0.178381625
0.01,1024,4,300,0.01924447438261939,0.0010703749999999928,0.10696507521900452,0.3287754287343198,0.029022357088171927,64,0.178381625
0.01,4096,4,300,0.008318989478884249,0.0010703749999999928,0.07723992423537474,0.23734447210350257,0.011952289451365316,64,0.178381625
0.003,256,4,300,0.06352687370522568,0.0010396250000000063,0.5631272089893258,0.9977344928492468,0.07468799565843895,57,0.181318875
0.003,1024,4,300,0.022357475652543483,0.0010396250000000063,0.17477125942415037,0.7895282829923344,0.022926223512035673,57,0.181318875
0.003,4096,4,300,0.009594314162712054,0.0010396250000000063,0.09031681750928096,0.41562483921014215,0.012686567819537533,57,0.181318875
0.001,256,4,300,0.06719969327820653,0.0009425000000000032,0.6590995760000302,0.9972271808491406,0.07756675567277539,51,0.18218425
0.001,1024,4,300,0.023731027665895597,0.0009425000000000032,0.23378608572956408,0.9906078540879789,0.01962362670935406,51,0.18218425
0.001,4096,4,300,0.010641387619877492,0.0009425000000000032,0.09430182226660291,0.4946011982567016,0.02024707020664934,51,0.18218425
0.0001,256,4,300,0.07166466965863216,0.0009133750000000142,0.6325911117243673,1.0,0.07736645417948008,49,0.182513625
0.0001,1024,4,300,0.026284471099433968,0.0009133750000000142,0.1442567452327342,0.9999999998259655,0.02683634293284351,49,0.182513625
0.0001,4096,4,300,0.013151026931302235,0.0009133750000000142,0.10253047793811566,0.6835214819928195,0.021266014315529807,49,0.182513625
