field,method,passes,err_seed0,err_mean,err_max,targets_max_rel,seconds
n=8 rank 2 D 0.1 (sharpness 14),Sobol 2^9,512,0.000713558059056818,0.0005626944753703515,0.000713558059056818,,0.19925283299926377
n=8 rank 2 D 0.1 (sharpness 14),rotate svd 2^9,512,0.000983326641881721,0.0008324784496498358,0.001311724520267843,,0.13238908400126093
n=8 rank 2 D 0.1 (sharpness 14),rotate svd p-weighted 2^9,512,0.001174050723815212,0.0008162515797287429,0.0012752997199252242,,0.12517429199942853
n=8 rank 2 D 0.1 (sharpness 14),rotate reverse (control) 2^9,512,0.0014198115934684896,0.0008883105339419183,0.0014198115934684896,,0.1547143750012765
n=8 rank 2 D 0.1 (sharpness 14),adaptive tree k=8,504,0.002460557863301502,0.0020402020129461178,0.002460557863301502,,2.2364140409990796
n=8 rank 2 D 0.1 (sharpness 14),Sobol 2^11,2048,0.0002648652047010924,0.0003026645318050525,0.000377208757769365,,0.5655757499989704
n=8 rank 2 D 0.1 (sharpness 14),rotate svd 2^11,2048,0.0004756193435577205,0.00027740379079897737,0.0004756193435577205,,0.5001557499999763
n=8 rank 2 D 0.1 (sharpness 14),rotate svd p-weighted 2^11,2048,0.0004763719788943299,0.00028834381551022525,0.0004763719788943299,,0.5365282080001634
n=8 rank 2 D 0.1 (sharpness 14),rotate reverse (control) 2^11,2048,7.807965322548238e-05,0.00017192944404195373,0.00025099912620413223,,0.5122964170004707
n=8 rank 2 D 0.1 (sharpness 14),adaptive tree k=8,2040,0.0003332032017476644,0.0005302363488370009,0.0010820946842561296,,8.36281983399931
n=8 rank 2 D 0.1 (sharpness 14),Sobol 2^13,8192,3.797176531368518e-05,5.527130646416911e-05,7.168878701482861e-05,,2.1308077089997823
n=8 rank 2 D 0.1 (sharpness 14),rotate svd 2^13,8192,5.9397473278488544e-05,5.450724200308649e-05,7.041915675458366e-05,,2.072414457999912
n=8 rank 2 D 0.1 (sharpness 14),rotate svd p-weighted 2^13,8192,6.398362847148675e-05,5.496159356855983e-05,7.390481407587579e-05,,2.0683351249990665
n=8 rank 2 D 0.1 (sharpness 14),rotate reverse (control) 2^13,8192,1.3147858736600737e-05,2.6554781980998865e-05,6.0649120858125016e-05,,2.085906291998981
n=8 rank 2 D 0.1 (sharpness 14),adaptive tree k=8,8184,2.3178596761437575e-05,0.0001273053392327906,0.00023298409017741273,,32.375722916000086
n=8 rank 2 D 0.05 (sharpness 20),Sobol 2^9,512,0.0005182346986102315,0.0006927667398307948,0.0010216689107731547,,0.08743374999903608
n=8 rank 2 D 0.05 (sharpness 20),rotate svd 2^9,512,0.0011821235315230272,0.0010654501230248359,0.0015099525299452354,,0.07714654200026416
n=8 rank 2 D 0.05 (sharpness 20),rotate svd p-weighted 2^9,512,0.0015065425737726262,0.001061651492759219,0.0015065425737726262,,0.07896912500109465
n=8 rank 2 D 0.05 (sharpness 20),rotate reverse (control) 2^9,512,0.0017337370626477888,0.001320880714488673,0.0017337370626477888,,0.07816916699994181
n=8 rank 2 D 0.05 (sharpness 20),adaptive tree k=8,504,0.0036155151102116867,0.003760060734209888,0.006031360462230462,,1.6708158330002334
n=8 rank 2 D 0.05 (sharpness 20),Sobol 2^11,2048,0.0004152703383940026,0.00039651570506832323,0.00042471568783625235,,0.337996624999505
n=8 rank 2 D 0.05 (sharpness 20),rotate svd 2^11,2048,0.0005972063520580662,0.0003304613553580145,0.0005972063520580662,,0.30405904200051737
n=8 rank 2 D 0.05 (sharpness 20),rotate svd p-weighted 2^11,2048,0.0006027100202893876,0.00037804493298105105,0.0006027100202893876,,0.30612762499913515
n=8 rank 2 D 0.05 (sharpness 20),rotate reverse (control) 2^11,2048,0.00012376510094715826,0.00028415419731311724,0.000512738086064557,,0.30281112500051677
n=8 rank 2 D 0.05 (sharpness 20),adaptive tree k=8,2040,0.0004161441441055125,0.0005237987947160141,0.0007531207551001728,,6.935918000001038
n=8 rank 2 D 0.05 (sharpness 20),Sobol 2^13,8192,3.8193182751139476e-05,7.207774693434796e-05,9.214478248814606e-05,,1.2490851670008851
n=8 rank 2 D 0.05 (sharpness 20),rotate svd 2^13,8192,7.281748684623279e-05,5.833019100669537e-05,7.281748684623279e-05,,1.2365489580006397
n=8 rank 2 D 0.05 (sharpness 20),rotate svd p-weighted 2^13,8192,8.621153587229369e-05,6.249882803023403e-05,8.621153587229369e-05,,1.1896091670005262
n=8 rank 2 D 0.05 (sharpness 20),rotate reverse (control) 2^13,8192,2.207221753915828e-05,4.6998531590443024e-05,9.207941527064611e-05,,1.1989662500000122
n=8 rank 2 D 0.05 (sharpness 20),adaptive tree k=8,8184,9.756356914719655e-05,0.00014574396371155873,0.00024502877972343295,,29.303482499999518
n=8 rank 2 D 0.02 (sharpness 31),Sobol 2^9,512,0.0005218612976990444,0.001008190512950674,0.001288137591028915,,0.08442866699988372
n=8 rank 2 D 0.02 (sharpness 31),rotate svd 2^9,512,0.0012909910680604514,0.001512663689599833,0.0020572650144639604,,0.08265483399918594
n=8 rank 2 D 0.02 (sharpness 31),rotate svd p-weighted 2^9,512,0.0016713545338970792,0.001465085133482931,0.0017665392952516124,,0.08409600000049977
n=8 rank 2 D 0.02 (sharpness 31),rotate reverse (control) 2^9,512,0.001921316896133729,0.0018389727822870905,0.0020869677728995034,,0.08013362500059884
n=8 rank 2 D 0.02 (sharpness 31),adaptive tree k=8,504,0.0034786021103731073,0.0029486607604351815,0.003911453419325195,,1.6637122499996622
n=8 rank 2 D 0.02 (sharpness 31),Sobol 2^11,2048,0.0006731721984603034,0.0005582369080912829,0.0006731721984603034,,0.3076558330012631
n=8 rank 2 D 0.02 (sharpness 31),rotate svd 2^11,2048,0.0006444995742306281,0.0004195015600329359,0.0006444995742306281,,0.31045066700062307
n=8 rank 2 D 0.02 (sharpness 31),rotate svd p-weighted 2^11,2048,0.0006833761171582964,0.0005350787466407367,0.0006833761171582964,,0.30893408299925795
n=8 rank 2 D 0.02 (sharpness 31),rotate reverse (control) 2^11,2048,0.0001947476681213034,0.0004339482119326797,0.0008413908827277217,,0.2965889579991199
n=8 rank 2 D 0.02 (sharpness 31),adaptive tree k=8,2040,0.0007259767156710673,0.0011325217533212188,0.0015534716259670844,,6.874739625000075
n=8 rank 2 D 0.02 (sharpness 31),Sobol 2^13,8192,4.2875019239080325e-05,9.85467565089368e-05,0.000148870336740492,,1.2300579589991685
n=8 rank 2 D 0.02 (sharpness 31),rotate svd 2^13,8192,8.579377932604881e-05,6.758475565067645e-05,8.579377932604881e-05,,1.2149423329992715
n=8 rank 2 D 0.02 (sharpness 31),rotate svd p-weighted 2^13,8192,0.00010561477294279698,7.57287327225473e-05,0.00010561477294279698,,1.1923718340003688
n=8 rank 2 D 0.02 (sharpness 31),rotate reverse (control) 2^13,8192,3.87346317494118e-05,7.464288826949158e-05,0.0001225186271079648,,1.1825880000014877
n=8 rank 2 D 0.02 (sharpness 31),adaptive tree k=8,8184,0.00016220599669136693,0.0001688277346455526,0.00022752932393671488,,29.41366483300044
n=8 rank 3 D 0.1 (sharpness 13),Sobol 2^9,512,0.003381670813788068,0.0017237864961478742,0.003381670813788068,,0.09462887500012584
