n,rank,D,seed,margin,sharp,target,truth_p,method,budget,passes,p,abs_err,rel_err,seconds,truth_m,truth_vs_scramble,truth_vs_mc
10000,3,0.05,3,4.0,28.54295419929023,103,0.060232148941081365,fixed scrambled Sobol 2^7,128,128,0.06561655776292663,0.005384408821845266,0.08939426728925534,1.088625915999728,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,366,0.04595252774559,fixed scrambled Sobol 2^7,128,128,0.051232496106073624,0.005279968360483625,0.11490049883034642,1.088625915999728,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,124,0.04495289409033726,fixed scrambled Sobol 2^7,128,128,0.046160713941003254,0.0012078198506659948,0.02686856708800021,1.088625915999728,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,4066,0.04187988340691478,fixed scrambled Sobol 2^7,128,128,0.044621879396078715,0.0027419959891639353,0.06547286587505649,1.088625915999728,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,2479,0.04116822848562994,fixed scrambled Sobol 2^7,128,128,0.0442491985857079,0.003080970100077962,0.07483853965572981,1.088625915999728,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,2242,0.04032043638264809,fixed scrambled Sobol 2^7,128,128,0.03808336158607241,0.002237074796575679,0.05548240538235853,1.088625915999728,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,1424,0.038816327607394126,fixed scrambled Sobol 2^7,128,128,0.03837685660655057,0.00043947100084355817,0.011321807804400418,1.088625915999728,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,5225,0.033273042658792974,fixed scrambled Sobol 2^7,128,128,0.032459257285097264,0.0008137853736957107,0.02445779852599846,1.088625915999728,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,113,0.009862744646621147,fixed scrambled Sobol 2^7,128,128,0.008596261364270785,0.0012664832823503624,0.128410835698179,1.088625915999728,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,5,0.003142182695938184,fixed scrambled Sobol 2^7,128,128,0.0030614425442940774,8.074015164410671e-05,0.025695562434506866,1.088625915999728,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,2905,0.0010051489479957875,fixed scrambled Sobol 2^7,128,128,0.0008597871041639814,0.00014536184383180618,0.14461721730062974,1.088625915999728,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,14,0.0003009383323401281,fixed scrambled Sobol 2^7,128,128,0.0005074118879271363,0.00020647355558700814,0.6860992216626178,1.088625915999728,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,103,0.060232148941081365,fixed scrambled Sobol 2^9,512,512,0.059934836503563,0.0002973124375183628,0.004936108751643438,3.1667824160003875,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,366,0.04595252774559,fixed scrambled Sobol 2^9,512,512,0.04686427238896925,0.0009117446433792517,0.01984101175950545,3.1667824160003875,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,124,0.04495289409033726,fixed scrambled Sobol 2^9,512,512,0.046167853819484565,0.0012149597291473066,0.027027397317416886,3.1667824160003875,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,4066,0.04187988340691478,fixed scrambled Sobol 2^9,512,512,0.03887545645116029,0.003004426955754487,0.0717391432674912,3.1667824160003875,17,2.7259846168109503e-05,0.0009254061786976298
10000,3,0.05,3,4.0,28.54295419929023,2479,0.04116822848562994,fixed scrambled Sobol 2^9,512,512,0.04462689323441436,0.0034586647487844166,0.08401296038258455,3.1667824160003875,17,2.7259846168109503e-05,0.0009254061786976298
