n,rank,D,seed,margin,sharp,target,truth_p,method,budget,passes,p,abs_err,rel_err,seconds,truth_m,truth_vs_scramble,truth_vs_mc
1000,3,0.05,3,4.0,26.007602474594137,1,0.1345564751196651,fixed scrambled Sobol 2^7,128,128,0.14006091128318227,0.0055044361635171735,0.04090799910314174,0.06252774999938993,18,2.18285045883726e-05,0.0002681463772606779
1000,3,0.05,3,4.0,26.007602474594137,322,0.10837868480988935,fixed scrambled Sobol 2^7,128,128,0.12120959673662934,0.01283091192673999,0.11838962568375062,0.06252774999938993,18,2.18285045883726e-05,0.0002681463772606779
1000,3,0.05,3,4.0,26.007602474594137,889,0.0667318008314874,fixed scrambled Sobol 2^7,128,128,0.061739610026135566,0.004992190805351834,0.07480977199998279,0.06252774999938993,18,2.18285045883726e-05,0.0002681463772606779
1000,3,0.05,3,4.0,26.007602474594137,360,0.06374165799594872,fixed scrambled Sobol 2^7,128,128,0.06305755302174215,0.0006841049742065675,0.010732462814978043,0.06252774999938993,18,2.18285045883726e-05,0.0002681463772606779
1000,3,0.05,3,4.0,26.007602474594137,10,0.04597081304392735,fixed scrambled Sobol 2^7,128,128,0.05549735740454349,0.009526544360616146,0.2072302778615873,0.06252774999938993,18,2.18285045883726e-05,0.0002681463772606779
1000,3,0.05,3,4.0,26.007602474594137,231,0.03763305615413756,fixed scrambled Sobol 2^7,128,128,0.04230832117838349,0.0046752650242459295,0.12423293513811283,0.06252774999938993,18,2.18285045883726e-05,0.0002681463772606779
1000,3,0.05,3,4.0,26.007602474594137,211,0.036860824475445884,fixed scrambled Sobol 2^7,128,128,0.0408761579197738,0.004015333444327918,0.10893227434461357,0.06252774999938993,18,2.18285045883726e-05,0.0002681463772606779
1000,3,0.05,3,4.0,26.007602474594137,47,0.0327686724419766,fixed scrambled Sobol 2^7,128,128,0.0314629928573653,0.001305679584611301,0.039845361050963056,0.06252774999938993,18,2.18285045883726e-05,0.0002681463772606779
1000,3,0.05,3,4.0,26.007602474594137,649,0.009800549651053802,fixed scrambled Sobol 2^7,128,128,0.008202736095321232,0.0015978135557325693,0.16303305555528355,0.06252774999938993,18,2.18285045883726e-05,0.0002681463772606779
1000,3,0.05,3,4.0,26.007602474594137,94,0.002551846877906929,fixed scrambled Sobol 2^7,128,128,0.0031602285065545346,0.0006083816286476056,0.23840835980982183,0.06252774999938993,18,2.18285045883726e-05,0.0002681463772606779
1000,3,0.05,3,4.0,26.007602474594137,566,0.0009924840726639665,fixed scrambled Sobol 2^7,128,128,0.0013270117873486608,0.0003345277146846943,0.3370610409764813,0.06252774999938993,18,2.18285045883726e-05,0.0002681463772606779
1000,3,0.05,3,4.0,26.007602474594137,293,0.0003006305611687703,fixed scrambled Sobol 2^7,128,128,0.00046462736487027436,0.00016399680370150408,0.5455094221423427,0.06252774999938993,18,2.18285045883726e-05,0.0002681463772606779
