rank,n,D,seed,margin,points,sharp,method,budget,passes,err,raw_sum,seconds,truth_m,truth_vs_scramble,truth_vs_mc
4,8,0.1,3,4.0,257,13.293679184095348,winning default rule,8192,8192,0.0008719710609548792,,0.32074329199986096,20,8.076078563512556e-06,0.00031474078011900497
4,8,0.1,3,4.0,257,13.293679184095348,fixed Gauss-Hermite Q=15,10929,10929,0.003681671606589887,,0.4198118340000292,20,8.076078563512556e-06,0.00031474078011900497
4,8,0.1,3,4.0,257,13.293679184095348,fixed Gauss-Hermite Q=41,85545,85545,0.00029337484619396115,,3.123514000000114,20,8.076078563512556e-06,0.00031474078011900497
4,8,0.1,3,4.0,257,13.293679184095348,fixed scrambled Sobol 2^7,128,128,0.01909313502925715,,0.006804290999980367,20,8.076078563512556e-06,0.00031474078011900497
4,8,0.1,3,4.0,257,13.293679184095348,fixed scrambled Sobol 2^9,512,512,0.008100239085452252,,0.021258167000041794,20,8.076078563512556e-06,0.00031474078011900497
4,8,0.1,3,4.0,257,13.293679184095348,fixed scrambled Sobol 2^11,2048,2048,0.0019112866324323963,,0.08225049999987277,20,8.076078563512556e-06,0.00031474078011900497
4,8,0.1,3,4.0,257,13.293679184095348,fixed scrambled Sobol 2^13,8192,8192,0.0008719710609548792,,0.322663625000132,20,8.076078563512556e-06,0.00031474078011900497
4,8,0.1,3,4.0,257,13.293679184095348,qmc_ghk (runner contrasts) B=128 (raw),128,0,0.003004429330918712,1.0060888107305828,0.0011054999999942083,20,8.076078563512556e-06,0.00031474078011900497
4,8,0.1,3,4.0,257,13.293679184095348,qmc_ghk (runner contrasts) B=128 (normalised),128,0,0.0010165610078076148,,0.0011054999999942083,20,8.076078563512556e-06,0.00031474078011900497
4,8,0.1,3,4.0,257,13.293679184095348,qmc_ghk (runner contrasts) B=512 (raw),512,0,0.002093459587622859,1.0033415465079636,0.0023112500000479486,20,8.076078563512556e-06,0.00031474078011900497
4,8,0.1,3,4.0,257,13.293679184095348,qmc_ghk (runner contrasts) B=512 (normalised),512,0,0.0008272300855808878,,0.0023112500000479486,20,8.076078563512556e-06,0.00031474078011900497
