rank,n,D,seed,margin,points,sharp,method,budget,passes,err,raw_sum,seconds,truth_m,truth_vs_scramble,truth_vs_mc
1,8,0.05,3,4.0,257,21.06736190678458,winning default rule,169,169,3.1173934963435457e-06,,0.0069388330000492715,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,fixed Gauss-Hermite Q=15,15,15,0.07056023610868695,,0.001221084000007977,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,fixed Gauss-Hermite Q=51,51,51,0.027242433429453483,,0.006069416999935129,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,fixed Gauss-Hermite Q=201,201,201,0.002769922997238994,,0.010952791999898182,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,fixed scrambled Sobol 2^7,128,128,0.0002733706063974273,,0.004833666999957131,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,fixed scrambled Sobol 2^9,512,512,3.559580484768866e-06,,0.018828959000074974,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,fixed scrambled Sobol 2^11,2048,2048,7.052699133591744e-07,,0.06507233399997858,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,fixed scrambled Sobol 2^13,8192,8192,1.8724604090580854e-06,,0.2587397909999254,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,qmc_ghk (runner contrasts) B=128 (raw),128,0,1.7737797649686193e-05,1.0000207415738835,0.0010158330001104332,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,qmc_ghk (runner contrasts) B=128 (normalised),128,0,6.841142896618635e-06,,0.0010158330001104332,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,qmc_ghk (runner contrasts) B=512 (raw),512,0,1.3217316541358493e-05,1.0000136968334605,0.0021418330002234143,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,qmc_ghk (runner contrasts) B=512 (normalised),512,0,6.022217353907067e-06,,0.0021418330002234143,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,qmc_ghk (runner contrasts) B=2048 (raw),2048,0,7.911769056234697e-06,0.999991514057748,0.004629541000213067,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,qmc_ghk (runner contrasts) B=2048 (normalised),2048,0,3.453738461556277e-06,,0.004629541000213067,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,qmc_ghk (runner contrasts) B=8192 (raw),8192,0,1.634887109580596e-07,0.9999998058323609,0.013302208000141036,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,qmc_ghk (runner contrasts) B=8192 (normalised),8192,0,7.134305429756793e-08,,0.013302208000141036,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,qmc_ghk (runner contrasts) B=32768 (raw),32768,0,3.0826373009773533e-07,1.0000003720020578,0.04532275000019581,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,qmc_ghk (runner contrasts) B=32768 (normalised),32768,0,1.212195378519354e-07,,0.04532275000019581,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A per-winner R=32 (raw),32,224,0.00045804245776454033,1.0005569477299303,0.19315866700003426,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A per-winner R=32 (normalised),32,224,0.00021806347404895732,,0.19315866700003426,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A shared R=256 (raw),256,224,0.005232084429194872,1.0046198585297912,0.8197201250000035,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A shared R=256 (normalised),256,224,0.002796148057588488,,0.8197201250000035,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A per-winner R=128 (raw),128,896,1.697242813725186e-05,1.0000056089053064,0.7278139169998212,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A per-winner R=128 (normalised),128,896,1.4310543139717247e-05,,0.7278139169998212,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A shared R=1024 (raw),1024,896,0.0012119802143828462,1.001703544122659,3.2578898750000462,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A shared R=1024 (normalised),1024,896,0.00031649014882240145,,3.2578898750000462,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A per-winner R=512 (raw),512,3584,4.791637003620508e-06,0.9999901491798572,2.8438222089998817,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A per-winner R=512 (normalised),512,3584,8.740495378911639e-06,,2.8438222089998817,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A shared R=4096 (raw),4096,3584,0.0006904512965308918,1.001093261796,12.980976042000066,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A shared R=4096 (normalised),4096,3584,0.00011598325876516213,,12.980976042000066,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A per-winner R=2048 (raw),2048,14336,3.219097392879503e-06,0.9999898180741981,11.240987208999968,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A per-winner R=2048 (normalised),2048,14336,5.459449651690207e-06,,11.240987208999968,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A shared R=16384 (raw),16384,14336,8.106861436329993e-05,1.0001225543900178,51.85234133400036,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.05,3,4.0,257,21.06736190678458,Hybrid A shared R=16384 (normalised),16384,14336,1.668305221469435e-05,,51.85234133400036,18,1.7360422724567058e-08,2.5814662288792256e-05
1,8,0.01,3,4.0,257,47.108053330159905,winning default rule,377,377,5.237931199886248e-10,,0.016336042000148154,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,fixed Gauss-Hermite Q=15,15,15,0.12438175878096891,,0.005068957999810664,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,fixed Gauss-Hermite Q=51,51,51,0.056754421408716615,,0.009529624999686348,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,fixed Gauss-Hermite Q=201,201,201,0.016094463094198097,,0.047667625000030966,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,fixed scrambled Sobol 2^7,128,128,0.0006055345953421831,,0.0054762499999014835,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,fixed scrambled Sobol 2^9,512,512,8.700045340703788e-06,,0.021777291000034893,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,fixed scrambled Sobol 2^11,2048,2048,2.8520296535550216e-07,,0.06889641599991592,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,fixed scrambled Sobol 2^13,8192,8192,7.726316966076723e-10,,0.317925916999684,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,qmc_ghk (runner contrasts) B=128 (raw),128,0,5.23921128703364e-10,1.0000000001704341,0.0009492909998698451,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,qmc_ghk (runner contrasts) B=128 (normalised),128,0,5.53293133531696e-10,,0.0009492909998698451,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,qmc_ghk (runner contrasts) B=512 (raw),512,0,5.239209066587591e-10,1.0000000001704337,0.0020746660002259887,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,qmc_ghk (runner contrasts) B=512 (normalised),512,0,5.53293133531696e-10,,0.0020746660002259887,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,qmc_ghk (runner contrasts) B=2048 (raw),2048,0,5.238046663080809e-10,1.0000000001703173,0.004565541000374651,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,qmc_ghk (runner contrasts) B=2048 (normalised),2048,0,5.532380109585233e-10,,0.004565541000374651,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,qmc_ghk (runner contrasts) B=8192 (raw),8192,0,5.236157063492897e-10,1.0000000001701284,0.013100125000164553,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,qmc_ghk (runner contrasts) B=8192 (normalised),8192,0,5.531483604492848e-10,,0.013100125000164553,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,qmc_ghk (runner contrasts) B=32768 (raw),32768,0,5.231727273624642e-10,1.0000000001696854,0.04501520800022263,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,qmc_ghk (runner contrasts) B=32768 (normalised),32768,0,5.529381397195721e-10,,0.04501520800022263,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A per-winner R=32 (raw),32,96,0.003406790887808875,1.005735223953325,0.11876445899997634,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A per-winner R=32 (normalised),32,96,0.0006814093085318884,,0.11876445899997634,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A shared R=256 (raw),256,96,0.006164842348314492,1.0032045799501748,0.22057091699980447,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A shared R=256 (normalised),256,96,0.0046293725102878325,,0.22057091699980447,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A per-winner R=128 (raw),128,384,9.482766108454e-05,1.000170617566784,0.466935125999953,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A per-winner R=128 (normalised),128,384,1.3864117843098711e-05,,0.466935125999953,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A shared R=1024 (raw),1024,384,0.00047068731672850195,0.9992652375673057,0.87536158399962,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A shared R=1024 (normalised),1024,384,8.464597014135045e-05,,0.87536158399962,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A per-winner R=512 (raw),512,1536,2.7598259021099913e-05,1.0000143020086154,1.852968834999956,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A per-winner R=512 (normalised),512,1536,2.008261743435824e-05,,1.852968834999956,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A shared R=4096 (raw),4096,1536,0.0004294014488389064,1.0003487610841972,3.489404583999658,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A shared R=4096 (normalised),4096,1536,0.0002638156669174663,,3.489404583999658,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A per-winner R=2048 (raw),2048,6144,1.553423062405912e-07,0.9999997565991563,7.366938834999928,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A per-winner R=2048 (normalised),2048,6144,3.984393909250983e-08,,7.366938834999928,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A shared R=16384 (raw),16384,6144,7.621302079319214e-05,1.0001272241655617,13.957588042999305,18,1.8291368419909304e-11,6.387983567401889e-05
1,8,0.01,3,4.0,257,47.108053330159905,Hybrid A shared R=16384 (normalised),16384,6144,1.5840764714170064e-05,,13.957588042999305,18,1.8291368419909304e-11,6.387983567401889e-05
