rank,n,D,seed,margin,points,sharp,method,budget,passes,err,raw_sum,seconds,truth_m,truth_vs_scramble,truth_vs_mc
4,8,0.05,3,4.0,257,18.800101395984544,winning default rule,8192,8192,0.0010129241196753513,,0.3104482920000464,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,fixed Gauss-Hermite Q=15,10929,10929,0.004990677130894683,,0.40102754100007587,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,fixed Gauss-Hermite Q=41,85545,85545,0.0006827238604250468,,3.028424250000171,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,fixed scrambled Sobol 2^7,128,128,0.02078420950661583,,0.0059270420001666935,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,fixed scrambled Sobol 2^9,512,512,0.009267570208836479,,0.019894083000053797,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,fixed scrambled Sobol 2^11,2048,2048,0.0025411808280972337,,0.07571166699995047,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,fixed scrambled Sobol 2^13,8192,8192,0.0010129241196753513,,0.30120354200016664,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,qmc_ghk (runner contrasts) B=128 (raw),128,0,0.003249442649791656,1.0067957837942352,0.001032915999985562,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,qmc_ghk (runner contrasts) B=128 (normalised),128,0,0.0011182895102809787,,0.001032915999985562,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,qmc_ghk (runner contrasts) B=512 (raw),512,0,0.0027176154822799448,1.0040408093336821,0.00219762400001855,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,qmc_ghk (runner contrasts) B=512 (normalised),512,0,0.001173864868482144,,0.00219762400001855,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,qmc_ghk (runner contrasts) B=2048 (raw),2048,0,0.0004309321220972717,0.9993197550933935,0.004905707000034454,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,qmc_ghk (runner contrasts) B=2048 (normalised),2048,0,0.00017196688415455075,,0.004905707000034454,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,qmc_ghk (runner contrasts) B=8192 (raw),8192,0,0.000546706885947934,0.9989723773449609,0.014075082000090333,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,qmc_ghk (runner contrasts) B=8192 (normalised),8192,0,0.00024426925998849436,,0.014075082000090333,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,qmc_ghk (runner contrasts) B=32768 (raw),32768,0,3.0314652680885068e-05,0.9999584007044329,0.04850220700018326,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,qmc_ghk (runner contrasts) B=32768 (normalised),32768,0,1.8062234816484946e-05,,0.04850220700018326,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A per-winner R=32 (raw),32,256,0.019932235952576427,1.0112977804846472,0.8690320000000611,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A per-winner R=32 (normalised),32,256,0.015454690774562574,,0.8690320000000611,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A shared R=256 (raw),256,256,0.05939562609756485,0.9946041313707846,3.618184417000066,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A shared R=256 (normalised),256,256,0.05811986761615617,,3.618184417000066,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A per-winner R=128 (raw),128,1024,0.0063233316630423655,0.9999824072127381,3.4335454160000154,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A per-winner R=128 (normalised),128,1024,0.006324267060194275,,3.4335454160000154,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A shared R=1024 (raw),1024,1024,0.023379072263055467,0.9709532669286802,14.387769833999982,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A shared R=1024 (normalised),1024,1024,0.01526673836844239,,14.387769833999982,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A per-winner R=512 (raw),512,4096,0.003886110432645376,0.9959976166423208,13.705413915999998,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A per-winner R=512 (normalised),512,4096,0.004190114746614057,,13.705413915999998,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A shared R=4096 (raw),4096,4096,0.0044286805736900026,1.0002680153652457,57.01601445899996,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A shared R=4096 (normalised),4096,4096,0.004506417333654811,,57.01601445899996,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A per-winner R=2048 (raw),2048,16383,0.0015563541257406083,0.9996369698830396,54.083897665999984,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A per-winner R=2048 (normalised),2048,16383,0.0015897589192264,,54.083897665999984,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A shared R=16384 (raw),16384,16384,0.0007484528033719906,1.0018432512167694,224.31695241700004,20,1.5720352103419655e-05,0.0003423413547812837
4,8,0.05,3,4.0,257,18.800101395984544,Hybrid A shared R=16384 (normalised),16384,16384,0.0006150369104280379,,224.31695241700004,20,1.5720352103419655e-05,0.0003423413547812837
