rank,n,D,seed,margin,points,sharp,method,budget,passes,err,raw_sum,seconds,truth_m,truth_vs_scramble,truth_vs_mc
5,8,0.1,3,4.0,257,15.357042974845442,winning default rule,8192,8192,0.00032041726387459224,,0.3144609999999375,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,fixed Gauss-Hermite Q=15,83757,83757,0.0038538028125700285,,3.006259540999963,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,fixed Gauss-Hermite Q=41,1061871,1061871,0.0008053235847577667,,37.685457583000016,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,fixed scrambled Sobol 2^7,128,128,0.007493476901138276,,0.0066667080000115675,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,fixed scrambled Sobol 2^9,512,512,0.010156242095304524,,0.02274291699995956,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,fixed scrambled Sobol 2^11,2048,2048,0.0013123951506446851,,0.07580587500001457,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,fixed scrambled Sobol 2^13,8192,8192,0.00032041726387459224,,0.3035362079999686,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,qmc_ghk (runner contrasts) B=128 (raw),128,0,0.0011898274626653271,0.9963896633134472,0.0010197080000580172,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,qmc_ghk (runner contrasts) B=128 (normalised),128,0,0.0008213528644773066,,0.0010197080000580172,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,qmc_ghk (runner contrasts) B=512 (raw),512,0,0.0002584275956137305,0.9992708174449811,0.0021832490001543192,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,qmc_ghk (runner contrasts) B=512 (normalised),512,0,0.00011909523230953234,,0.0021832490001543192,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,qmc_ghk (runner contrasts) B=2048 (raw),2048,0,0.00014204853711491383,0.9997930389490239,0.0048403740001958795,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,qmc_ghk (runner contrasts) B=2048 (normalised),2048,0,7.000959998365586e-05,,0.0048403740001958795,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,qmc_ghk (runner contrasts) B=8192 (raw),8192,0,3.708223292403501e-05,0.999952476345374,0.013531833000342885,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,qmc_ghk (runner contrasts) B=8192 (normalised),8192,0,2.9572318593962255e-05,,0.013531833000342885,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,qmc_ghk (runner contrasts) B=32768 (raw),32768,0,3.132582488249436e-05,1.0000418300769232,0.047139625000454544,20,1.0711546968869556e-05,0.00040702648503498917
5,8,0.1,3,4.0,257,15.357042974845442,qmc_ghk (runner contrasts) B=32768 (normalised),32768,0,2.471336605366914e-05,,0.047139625000454544,20,1.0711546968869556e-05,0.00040702648503498917
