field,method,passes,err_seed0,err_mean,err_max,targets_max_rel,seconds
n=1000 rank 3 D 0.05 (sharpness 26),Sobol 2^9,512,0.0031092307714313157,0.003509815825356371,0.006040155089557769,0.1936426127921037,15.202506749999884
n=1000 rank 3 D 0.05 (sharpness 26),rotate svd 2^9,512,0.00395961859867721,0.003871870069585009,0.004089569071755554,0.24165923952345303,15.202675124999587
n=1000 rank 3 D 0.05 (sharpness 26),rotate svd p-weighted 2^9,512,0.0034468844017978353,0.0040715577744837896,0.005275326954373605,0.29678645112178964,11.98694683299982
n=1000 rank 3 D 0.05 (sharpness 26),rotate reverse (control) 2^9,512,0.003344818401333896,0.0034090324230795065,0.004183841380042089,0.2761724801587076,8.886352999999872
n=1000 rank 3 D 0.05 (sharpness 26),adaptive tree k=8,504,0.006089336934309731,0.007156440822956239,0.0105328028399959,0.3242240089433503,16.28336487500019
n=1000 rank 3 D 0.05 (sharpness 26),Sobol 2^11,2048,0.001470189426700061,0.0016892834708706148,0.0030681690357392544,0.08801448100751832,37.212543542000276
n=1000 rank 3 D 0.05 (sharpness 26),rotate svd 2^11,2048,0.001150891053015711,0.0012285283235261117,0.0015028168519727325,0.10442874204812395,37.31442554100067
n=1000 rank 3 D 0.05 (sharpness 26),rotate svd p-weighted 2^11,2048,0.0007896223558884578,0.0010494195274201095,0.001599714138819125,0.06855636603286652,38.02267504200063
n=1000 rank 3 D 0.05 (sharpness 26),rotate reverse (control) 2^11,2048,0.0010746862725839607,0.001002307909551161,0.001241887788352318,0.1202022452000162,38.23298762500053
n=1000 rank 3 D 0.05 (sharpness 26),adaptive tree k=8,2040,0.0030797998239786573,0.0027624281516338313,0.0033358265743665128,0.13008542109469087,67.12613495900041
n=1000 rank 3 D 0.05 (sharpness 26),Sobol 2^13,8192,0.00026950541124545757,0.0002816169647648782,0.00036813728930028267,0.03933613449922042,148.22960691700064
n=1000 rank 3 D 0.05 (sharpness 26),rotate svd 2^13,8192,0.0003085919226648512,0.0002934324116535634,0.00040194699546106105,0.02551822093218608,148.52765129199906
n=1000 rank 3 D 0.05 (sharpness 26),rotate svd p-weighted 2^13,8192,0.00023513614209856853,0.0002817384298532215,0.00039522070454045544,0.018891487776876378,146.08900116699806
n=1000 rank 3 D 0.05 (sharpness 26),rotate reverse (control) 2^13,8192,0.00032850383258674343,0.0002850199638624821,0.00035405906413629035,0.03183227421219578,146.82735474999936
n=1000 rank 3 D 0.05 (sharpness 26),adaptive tree k=8,8184,0.0013040311367814306,0.0009710192425099566,0.0013040311367814306,0.027281149953982252,283.621533583002
