rank,n,D,seed,margin,points,sharp,method,budget,passes,err,raw_sum,seconds,truth_m,truth_vs_scramble,truth_vs_mc
2,8,0.05,3,4.0,257,19.807623825726992,winning default rule,8192,8192,3.8193182751139476e-05,,0.3330478329999096,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,fixed Gauss-Hermite Q=15,145,145,0.027755682142509175,,0.006456249999928332,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,fixed Gauss-Hermite Q=41,413,413,0.0069784304519005524,,0.021016334000023562,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,fixed scrambled Sobol 2^7,128,128,0.00430662684932176,,0.006153625000024476,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,fixed scrambled Sobol 2^9,512,512,0.0005182346986102315,,0.020705541000097583,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,fixed scrambled Sobol 2^11,2048,2048,0.0004152703383940026,,0.08503983299988249,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,fixed scrambled Sobol 2^13,8192,8192,3.8193182751139476e-05,,0.3218504590001885,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,qmc_ghk (runner contrasts) B=128 (raw),128,0,0.0015908134472410462,1.0012191014571206,0.0010844589999123855,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,qmc_ghk (runner contrasts) B=128 (normalised),128,0,0.0009810245151299912,,0.0010844589999123855,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,qmc_ghk (runner contrasts) B=512 (raw),512,0,0.0005430602191529021,0.9992683729774875,0.002276041999948575,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,qmc_ghk (runner contrasts) B=512 (normalised),512,0,0.00017795169161333169,,0.002276041999948575,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,qmc_ghk (runner contrasts) B=2048 (raw),2048,0,0.00017499208330817861,1.0001608416208276,0.005020583000032275,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,qmc_ghk (runner contrasts) B=2048 (normalised),2048,0,9.468240631382852e-05,,0.005020583000032275,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,qmc_ghk (runner contrasts) B=8192 (raw),8192,0,8.124106733575776e-05,1.0000577809680213,0.014458832999935112,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,qmc_ghk (runner contrasts) B=8192 (normalised),8192,0,5.239295057524185e-05,,0.014458832999935112,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,qmc_ghk (runner contrasts) B=32768 (raw),32768,0,1.8917188809419727e-05,0.9999899750918212,0.052201082999999926,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,qmc_ghk (runner contrasts) B=32768 (normalised),32768,0,1.3912750080669056e-05,,0.052201082999999926,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A per-winner R=32 (raw),32,256,0.009602613703744475,0.9954079784258884,0.4626567079999404,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A per-winner R=32 (normalised),32,256,0.01094258349538152,,0.4626567079999404,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A shared R=256 (raw),256,256,0.005776248097088599,0.9945353058335018,2.2806984169999396,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A shared R=256 (normalised),256,256,0.004237841900666506,,2.2806984169999396,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A per-winner R=128 (raw),128,1024,0.0027736503395015544,1.0001306927101474,1.7781073749999905,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A per-winner R=128 (normalised),128,1024,0.002735946651322041,,1.7781073749999905,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A shared R=1024 (raw),1024,1024,0.004469450425036631,0.994710838492358,9.063692334000052,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A shared R=1024 (normalised),1024,1024,0.003921400902361219,,9.063692334000052,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A per-winner R=512 (raw),512,4096,0.0002039093216109067,0.9998929980981262,6.9026501250000365,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A per-winner R=512 (normalised),512,4096,0.00018268813327337874,,6.9026501250000365,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A shared R=4096 (raw),4096,4096,0.0009373425625275877,1.0006907307117663,36.12741458400001,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A shared R=4096 (normalised),4096,4096,0.0010109246851827264,,36.12741458400001,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A per-winner R=2048 (raw),2048,16384,0.00010728740038301599,0.9999896275525143,27.328044124999906,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A per-winner R=2048 (normalised),2048,16384,0.00011246664175568188,,27.328044124999906,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A shared R=16384 (raw),16384,16384,0.0007980630819542367,0.9988614025763229,142.30169354300006,18,8.33364207364351e-07,0.00033914580453708876
2,8,0.05,3,4.0,257,19.807623825726992,Hybrid A shared R=16384 (normalised),16384,16384,0.00041200872068619665,,142.30169354300006,18,8.33364207364351e-07,0.00033914580453708876
