rank,n,D,seed,margin,points,sharp,method,budget,passes,err,raw_sum,seconds,truth_m,truth_vs_scramble,truth_vs_mc
4,8,0.02,3,4.0,257,29.72557032671114,winning default rule,8192,8192,0.0013496733220961787,,0.30344258400009494,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,fixed Gauss-Hermite Q=15,10929,10929,0.007457463289547536,,0.40434795800001666,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,fixed Gauss-Hermite Q=41,85545,85545,0.0014386188339901573,,2.9633532499999546,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,fixed scrambled Sobol 2^7,128,128,0.021165037957815006,,0.006355708000000959,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,fixed scrambled Sobol 2^9,512,512,0.009784779646926589,,0.020389875000091706,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,fixed scrambled Sobol 2^11,2048,2048,0.003464689060261872,,0.08294224999986,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,fixed scrambled Sobol 2^13,8192,8192,0.0013496733220961787,,0.2969801250001183,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,qmc_ghk (runner contrasts) B=128 (raw),128,0,0.003523396928296285,1.0057756331405736,0.0010830420001184393,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,qmc_ghk (runner contrasts) B=128 (normalised),128,0,0.0018011527352727597,,0.0010830420001184393,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,qmc_ghk (runner contrasts) B=512 (raw),512,0,0.0018377137520094733,1.0030261259806381,0.0022777090002819023,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,qmc_ghk (runner contrasts) B=512 (normalised),512,0,0.0006782723669802038,,0.0022777090002819023,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,qmc_ghk (runner contrasts) B=2048 (raw),2048,0,0.00036906895161309405,0.9991810126283188,0.005022959000143601,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,qmc_ghk (runner contrasts) B=2048 (normalised),2048,0,0.0001264326200903776,,0.005022959000143601,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,qmc_ghk (runner contrasts) B=8192 (raw),8192,0,0.0005229264491284358,0.9990782437979296,0.014399918000208345,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,qmc_ghk (runner contrasts) B=8192 (normalised),8192,0,0.00024995729043453263,,0.014399918000208345,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,qmc_ghk (runner contrasts) B=32768 (raw),32768,0,5.9224575957694814e-05,1.0001465026256682,0.050427710000121806,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,qmc_ghk (runner contrasts) B=32768 (normalised),32768,0,1.5948529157067126e-05,,0.050427710000121806,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,Hybrid A per-winner R=32 (raw),32,256,0.01229761957672601,0.9956285958755718,0.878378874999953,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,Hybrid A per-winner R=32 (normalised),32,256,0.012747050138576271,,0.878378874999953,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,Hybrid A shared R=256 (raw),256,256,0.0510023322208194,0.9808435412430926,3.2382145829999445,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,Hybrid A shared R=256 (normalised),256,256,0.044528658670348,,3.2382145829999445,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,Hybrid A per-winner R=128 (raw),128,1024,0.007064299866088752,0.9948449647945461,3.415671583999938,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,Hybrid A per-winner R=128 (normalised),128,1024,0.0065163447140869635,,3.415671583999938,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,Hybrid A shared R=1024 (raw),1024,1024,0.014309453760283808,0.9815469530920063,12.634359874999973,20,2.637650103046868e-05,0.00018340884907469546
4,8,0.02,3,4.0,257,29.72557032671114,Hybrid A shared R=1024 (normalised),1024,1024,0.007388133142652131,,12.634359874999973,20,2.637650103046868e-05,0.00018340884907469546
