field,method,keep,passes,err_max,targets_max_rel,dropped_mass,seconds,pilot_seconds
n=10000,pruned margin 3.0 Sobol 2^11,852,2048,0.0012273409615866301,0.07011248262511627,5.2932593564771784e-05,13.107093583999813,9.719317125000089
n=10000,pruned margin 3.0 Sobol 2^13,852,8192,0.0004133736797789153,0.009195707821351842,5.2932593564771784e-05,36.275621958000556,9.719317125000089
n=100000,pruned margin 3.0 Sobol 2^11,1753,2048,0.000975667422086518,0.06451086340294382,0.00040687472283296253,15.932344791001015,72.21959525000057
n=100000,pruned margin 3.0 Sobol 2^13,1753,8192,0.00021542846103468548,0.00798394808162103,0.00040687472283296253,64.21370237500014,72.21959525000057
n=10000,pruned margin 3.0 Sobol 2^15,852,32768,6.46929065360631e-05,0.008676011455381431,5.2932593564771784e-05,123.34979195800042,9.719317125000089
n=10000,pruned margin 5.0 Sobol 2^11,3893,2048,0.0012271331714090242,0.07013592618193297,6.10357581791421e-11,36.10148462500001,9.719317125000089
n=10000,pruned margin 5.0 Sobol 2^13,3893,8192,0.00041452785901006234,0.009221383125567575,6.10357581791421e-11,140.30082566700003,9.719317125000089
n=100000,pruned margin 3.0 Sobol 2^15,1753,32768,0.00021542846103468548,0.007392165373000597,0.00040687472283296253,252.52448116699998,72.21959525000057
n=100000,pruned margin 5.0 Sobol 2^11,14896,2048,0.000975975981079194,0.06409818062621427,8.494609893379171e-09,134.70853904199976,72.21959525000057
n=10000,pruned margin 5.0 Sobol 2^15,3893,32768,6.591310860793939e-05,0.008160523588534311,6.10357581791421e-11,571.2911825419997,9.719317125000089
n=10000,pruned margin 8.0 Sobol 2^11,9256,2048,0.001227133169729673,0.07013592619685208,3.0881735326635574e-26,93.55127645799803,9.719317125000089
n=100000,pruned margin 5.0 Sobol 2^13,14896,8192,0.0001830970891449745,0.007519127555426849,8.494609893379171e-09,551.8345801670002,72.21959525000057
n=10000,pruned margin 8.0 Sobol 2^13,9256,8192,0.0004145278695629681,0.009221383360322332,3.0881735326635574e-26,354.4685641670003,9.719317125000089
n=10000,pruned margin 8.0 Sobol 2^15,9256,32768,6.591312711327554e-05,0.008160660124271963,3.0881735326635574e-26,1252.2931786670015,9.719317125000089
n=100000,pruned margin 5.0 Sobol 2^15,14896,32768,0.00010726030776261886,0.007408028525569528,8.494609893379171e-09,1995.1876540839985,72.21959525000057
n=100000,pruned margin 8.0 Sobol 2^11,74580,2048,0.0009759759571430909,0.06409805545030671,2.060801045366953e-21,597.645292125002,72.21959525000057
n=100000,pruned margin 8.0 Sobol 2^13,74580,8192,0.00018309702776987333,0.007519842250054132,2.060801045366953e-21,2316.1602081249985,72.21959525000057
