subject,session,run,block,trial_in_block,dominant_symbol,response1,correct1,response2,correct2,rt1,rt2
1,1,1,2,11,3,5,0,6,0,0.5119,0.5106
1,1,1,2,12,5,2,0,,,0.7398,0.0
1,1,1,2,13,4,2,0,,,0.7992,0.0
1,1,1,2,14,4,4,1,,,0.616,0.0
1,1,1,2,15,6,6,1,,,0.4451,0.0
1,1,1,2,16,6,6,1,,,0.6495,0.0
1,1,1,2,17,4,6,0,,,1.1486,0.0
1,1,1,2,18,5,4,0,,,1.5595,0.0
1,1,1,2,19,3,5,0,2,0,0.8811,1.4085
1,1,1,2,20,3,3,1,,,0.6885,0.0
1,1,1,2,21,5,6,0,,,0.4991,0.0
1,1,1,2,22,1,6,0,,,0.3761,0.0
1,1,1,2,23,4,1,0,4,1,1.3946,0.4291
1,1,1,2,24,2,2,1,,,0.7451,0.0
1,1,1,2,25,2,3,0,,,0.9854,0.0
1,1,1,2,26,2,3,0,,,0.8424,0.0
1,1,1,2,27,5,1,0,4,0,0.866,1.1539
1,1,1,2,28,1,4,0,,,1.5482,0.0
1,1,1,2,29,5,6,0,,,0.3746,0.0
1,1,1,2,30,1,1,1,,,0.6569,0.0
1,1,1,2,31,2,5,0,6,0,0.7246,0.4257
1,1,1,2,32,2,2,1,,,0.6267,0.0
1,1,1,2,33,6,6,1,,,0.4717,0.0
1,1,1,2,34,4,1,0,,,0.6748,0.0
1,1,1,2,35,3,4,0,2,0,1.1528,2.2926
1,1,1,2,36,3,6,0,,,0.5604,0.0
1,1,1,2,37,3,4,0,,,0.9315,0.0
1,1,1,2,38,2,2,1,,,0.6149,0.0
1,1,1,2,39,4,2,0,,,0.6837,0.0
1,1,1,2,40,1,1,1,,,0.4892,0.0
1,1,1,2,41,6,6,1,,,0.5315,0.0
1,1,1,2,42,4,4,1,,,1.5162,0.0
1,1,1,2,43,6,6,1,,,0.3794,0.0
1,1,1,2,44,2,2,1,,,0.5866,0.0
1,1,1,2,45,3,6,0,4,0,0.4322,0.9302
1,1,1,2,46,6,6,1,,,0.3574,0.0
1,1,1,2,47,6,6,1,,,0.3898,0.0
1,1,1,2,48,3,6,0,5,0,0.3715,1.6874
1,1,1,2,49,6,6,1,,,0.3167,0.0
1,1,1,2,50,1,1,1,,,0.6213,0.0
1,1,1,3,1,3,1,0,,,0.9445,0.0
1,1,1,3,2,1,4,0,1,1,1.107,0.5532
1,1,1,3,3,6,6,1,,,0.3526,0.0
1,1,1,3,4,2,4,0,,,1.585,0.0
1,1,1,3,5,2,6,0,2,1,0.3135,1.3439
1,1,1,3,6,5,5,1,,,0.535,0.0
1,1,1,3,7,3,3,1,,,0.9118,0.0
1,1,1,3,8,5,5,1,,,0.8727,0.0
1,1,1,3,9,4,6,0,,,0.4355,0.0
1,1,1,3,10,2,2,1,,,0.6832,0.0
1,1,1,3,11,3,6,0,,,0.4772,0.0
1,1,1,3,12,5,5,1,,,0.4836,0.0
1,1,1,3,13,6,6,1,,,0.4146,0.0
1,1,1,3,14,4,2,0,,,0.5877,0.0
1,1,1,3,15,5,4,0,,,1.0694,0.0
1,1,1,3,16,1,6,0,,,0.2192,0.0
1,1,1,3,17,1,5,0,,,1.1481,0.0
1,1,1,3,18,6,6,1,,,0.2304,0.0
