subject,dominant_color,alternative_color,n_correct,n_wrong
1,1,2,13,5
1,1,3,17,4
1,1,4,13,2
1,2,1,17,0
1,2,3,15,5
1,2,4,8,0
1,3,1,13,1
1,3,2,15,0
1,3,4,15,1
1,4,1,13,7
1,4,2,14,13
1,4,3,8,11
2,1,2,17,1
2,1,3,15,2
2,1,4,18,0
2,2,1,17,0
2,2,3,18,1
2,2,4,20,0
2,3,1,17,1
2,3,2,15,1
2,3,4,14,1
2,4,1,16,1
2,4,2,8,7
2,4,3,13,7
3,1,2,13,4
3,1,3,7,13
3,1,4,8,4
3,2,1,17,1
3,2,3,13,2
3,2,4,16,2
3,3,1,14,1
3,3,2,18,2
3,3,4,16,2
3,4,1,22,1
3,4,2,10,7
3,4,3,12,5
4,1,2,11,6
4,1,3,18,2
4,1,4,17,0
4,2,1,17,1
4,2,3,19,0
4,2,4,15,0
4,3,1,15,0
4,3,2,15,1
4,3,4,17,1
4,4,1,16,2
4,4,2,18,2
4,4,3,13,4
5,1,2,12,4
5,1,3,18,3
5,1,4,21,2
5,2,1,17,2
5,2,3,14,1
5,2,4,11,1
5,3,1,12,2
5,3,2,19,1
5,3,4,18,0
5,4,1,12,0
5,4,2,21,2
5,4,3,15,2
6,1,2,17,3
6,1,3,15,0
6,1,4,16,1
6,2,1,14,1
6,2,3,13,1
6,2,4,13,2
6,3,1,17,3
6,3,2,17,4
6,3,4,18,1
6,4,1,15,3
6,4,2,14,6
6,4,3,13,3
7,1,2,10,4
7,1,3,8,10
7,1,4,13,3
7,2,1,20,1
7,2,3,15,1
7,2,4,16,1
7,3,1,16,1
7,3,2,13,6
7,3,4,17,2
7,4,1,12,7
7,4,2,9,9
7,4,3,11,5
8,1,2,14,5
8,1,3,13,5
8,1,4,19,4
8,2,1,16,0
8,2,3,8,1
8,2,4,15,0
8,3,1,17,0
8,3,2,21,5
8,3,4,18,0
8,4,1,11,1
8,4,2,13,7
8,4,3,15,2
9,1,2,18,0
9,1,3,22,0
9,1,4,14,2
9,2,1,15,2
9,2,3,21,1
9,2,4,16,0
9,3,1,11,2
9,3,2,12,1
9,3,4,14,0
9,4,1,16,3
9,4,2,15,4
9,4,3,15,6
10,1,2,15,2
10,1,3,18,1
10,1,4,10,1
10,2,1,16,2
10,2,3,14,1
10,2,4,21,0
10,3,1,16,0
10,3,2,18,2
10,3,4,17,1
10,4,1,20,4
10,4,2,13,1
10,4,3,11,6
11,1,2,18,3
11,1,3,20,4
11,1,4,12,6
11,2,1,11,3
11,2,3,11,3
11,2,4,19,0
11,3,1,11,0
11,3,2,14,7
11,3,4,19,1
11,4,1,11,6
11,4,2,9,7
11,4,3,8,7
12,1,2,17,1
12,1,3,15,5
12,1,4,14,6
12,2,1,17,0
12,2,3,15,2
12,2,4,18,0
